# PROCESS #
# Power Reactor Optimisation Code #
# PROCESS #
# Power Reactor Optimisation Code #
PROCESS_version__________________________________________________________ (procver)______________________ "0.0.1.dev1+g8f5acce6a" 
Date_of_run______________________________________________________________ (date)_________________________ "24/02/2026 UTC" 
Time_of_run______________________________________________________________ (time)_________________________      "08:48" 
User_____________________________________________________________________ (username)_____________________     "runner" 
PROCESS_run_title________________________________________________________ (runtitle)_____________________        "IFE" 
PROCESS_git_tag__________________________________________________________ (tagno)________________________           "" 
PROCESS_git_branch_______________________________________________________ (branch_name)__________________           "" 
Input_filename___________________________________________________________ (fileprefix)___________________ "/home/runner/work/PROCESS/PROCESS/tests/regression/input_files/IFE.IN.DAT" 
Optimisation_switch______________________________________________________ (ioptimz)______________________            1 
Figure_of_merit_switch___________________________________________________ (minmax)_______________________           18 
# Numerics #
# PROCESS found a feasible solution #
Error_flag_______________________________________________________________ (ifail)________________________            1 
Number_of_iteration_variables____________________________________________ (nvar)_________________________            1 
Number_of_constraints_(total)____________________________________________ (neqns+nineqns)________________            1 
Optimisation_switch______________________________________________________ (ioptimz)______________________            1 
Figure_of_merit_switch___________________________________________________ (minmax)_______________________           18 
Objective_function_name__________________________________________________ (objf_name)____________________ "Null figure of merit  " 
Normalised_objective_function____________________________________________ (norm_objf)____________________ 1.00000000000000000e+00 OP 
Square_root_of_the_sum_of_squares_of_the_constraint_residuals____________ (sqsumsq)______________________ 0.00000000000000000e+00 OP 
VMCON_convergence_parameter______________________________________________ (convergence_parameter)________ 7.09347248205431959e-10 OP 
Number_of_optimising_solver_iterations___________________________________ (nviter)_______________________            3 OP 
edrive___________________________________________________________________ (itvar001)_____________________ 5.01236954784037545e+06 
edrive_(final_value/initial_value)_______________________________________ (xcm001)_______________________ 1.00247390956807503e+00 
edrive_(range_normalised)________________________________________________ (nitvar001)____________________ 9.84442795158391726e-02 
edrive_(upper_bound)_____________________________________________________ (boundu001)____________________ 5.00000000000000000e+07 
edrive_(lower_bound)_____________________________________________________ (boundl001)____________________ 1.00000000000000000e+05 
Net_electric_power_lower_limit____normalised_residue_____________________ (ineq_con016)__________________ 4.36170436399763162e-05 
Net_electric_power_lower_limit____physical_value_________________________ (ineq_value_con016)____________ 1.00004361704363998e+03 
Net_electric_power_lower_limit____symbol_________________________________ (ineq_symbol_con016)___________         '>=' 
Net_electric_power_lower_limit____units__________________________________ (ineq_units_con016)____________         'MW' 
Net_electric_power_lower_limit____physical_bound_________________________ (ineq_bound_con016)____________ 1.00000000000000000e+03 
# Final Feasible Point #
# Radial build #
Chamber_(m)______________________________________________________________ (chrad)________________________ 3.50000000000000000e+00 
First_Wall_(m)___________________________________________________________ (fwdr)_________________________ 5.50000000000000003e-02 
Void_1_(m)_______________________________________________________________ (v1dr)_________________________ 5.00000000000000010e-03 
Blanket_(m)______________________________________________________________ (bldr)_________________________ 5.50000000000000044e-01 
Void_2_(m)_______________________________________________________________ (v2dr)_________________________ 2.18999999999999995e+00 
Shield_(m)_______________________________________________________________ (shdr)_________________________ 2.00000000000000011e-01 
Void_3_(m)_______________________________________________________________ (v3dr)_________________________ 3.50000000000000000e+00 
# Vertical build #
Void_3_lower_(m)_________________________________________________________ (v3dzl)________________________ 0.00000000000000000e+00 
Shield_lower_(m)_________________________________________________________ (shdzl)________________________ 3.49999999999999978e-01 
Void_2_lower_(m)_________________________________________________________ (v2dzl)________________________ 0.00000000000000000e+00 
Blanket_lower_(m)________________________________________________________ (bldzl)________________________ 6.50000000000000022e-01 
Void_1_lower_(m)_________________________________________________________ (v1dzl)________________________ 1.75000000000000000e+00 
First_wall_lower_(m)_____________________________________________________ (fwdzl)________________________ 0.00000000000000000e+00 
Chamber_lower_(m)________________________________________________________ (chdzl)________________________ 3.10000000000000009e+00 
Chamber_upper_(m)________________________________________________________ (chdzu)________________________ 3.70000000000000018e+00 
First_wall_upper_(m)_____________________________________________________ (fwdzu)________________________ 5.50000000000000003e-02 
Void_1_upper_(m)_________________________________________________________ (v1dzu)________________________ 5.00000000000000010e-03 
Blanket_upper_(m)________________________________________________________ (bldzu)________________________ 5.50000000000000044e-01 
Void_2_upper_(m)_________________________________________________________ (v2dzu)________________________ 8.49999999999999978e-01 
Shield_upper_(m)_________________________________________________________ (shdzu)________________________ 2.00000000000000011e-01 
Void_3_upper_(m)_________________________________________________________ (v3dzu)________________________ 1.36400000000000006e+01 
# Physics / Driver Issues #
Driver_energy_(J)________________________________________________________ (edrive)_______________________ 5.01236954784037545e+06 
Driver_efficiency________________________________________________________ (etadrv)_______________________ 2.82049478191361447e-01 
Driver_power_reaching_target_(W)_________________________________________ (pdrive)_______________________ 2.31000000000000000e+07 
Driver_repetition_rate_(Hz)______________________________________________ (reprat)_______________________ 4.60859874347310328e+00 
Target_gain______________________________________________________________ (gain)_________________________ 8.71236954784037607e+01 
Fusion_power_(MW)________________________________________________________ (p_fusion_total_mw)____________ 2.01255736555112662e+03 
Neutron_wall_load_(MW/m2)________________________________________________ (pflux_fw_neutron_mw)__________ 8.90032158191832323e+00 
# First Wall, Blanket, Shield #
First_wall_area_(m2)_____________________________________________________ (a_fw_total)___________________ 1.88024320317349122e+02 
First_wall_mass_(kg)_____________________________________________________ (m_fw_total)___________________ 2.05743661848917181e+04 
Blanket_mass_(kg)________________________________________________________ (m_blkt_total)_________________ 3.47956929287043342e+05 
Blanket_lithium_mass_(kg)________________________________________________ (m_blkt_lithium)_______________ 0.00000000000000000e+00 
Total_mass_of_FLiBe_(kg)_________________________________________________ (mflibe)_______________________ 9.39298959678171203e+05 
Shield_mass_(kg)_________________________________________________________ (whtshld)______________________ 1.06731095937070088e+06 
# Plant Buildings System #
Internal_volume_of_reactor_building_(m3)_________________________________ (vrci)_________________________ 9.94000000000000000e+03 
Dist_from_device_centre_to_bldg_wall_(m)_________________________________ (wrbi)_________________________ 1.00000000000000000e+01 
Effective_floor_area_(m2)________________________________________________ (a_plant_floor_effective)______ 1.28814367771785473e+05 
Reactor_building_volume_(m3)_____________________________________________ (rbv)__________________________ 2.09436479999999974e+04 
Reactor_maintenance_building_volume_(m3)_________________________________ (rmbv)_________________________ 2.94010797499999986e+05 
Warmshop_volume_(m3)_____________________________________________________ (wsv)__________________________ 1.10101885899999994e+05 
Tritium_building_volume_(m3)_____________________________________________ (triv)_________________________ 4.00000000000000000e+04 
Electrical_building_volume_(m3)__________________________________________ (elev)_________________________ 4.00000000000000000e+04 
Control_building_volume_(m3)_____________________________________________ (conv)_________________________ 6.00000000000000000e+04 
Cryogenics_building_volume_(m3)__________________________________________ (cryv)_________________________ 7.82987523071277064e+03 
Administration_building_volume_(m3)______________________________________ (admv)_________________________ 1.00000000000000000e+05 
Shops_volume_(m3)________________________________________________________ (shov)_________________________ 1.00000000000000000e+05 
Total_volume_of_nuclear_buildings_(m3)___________________________________ (volnucb)______________________ 4.61882558630712738e+05 
# AC Power #
Facility_base_load_(MW)__________________________________________________ (basemw)_______________________ 5.00000000000000000e+00 
Total_floor_space_(m2)___________________________________________________ (a_plant_floor_effective)______ 1.28814367771785473e+05 
Power/floor_area_(MW/m2)_________________________________________________ (pmwpm2)_______________________ 1.49999999999999987e-04 
Driver_power_supplies_(MW)_______________________________________________ (p_hcd_electric_total_mw)______ 8.19005237950746903e+01 
Target_delivery_system_(MW)______________________________________________ (tdspmw)_______________________ 1.00000000000000002e-02 
Target_factory_(MW)______________________________________________________ (tfacmw)_______________________ 1.66273235721781165e+00 
Tritium_processing_plant_(MW)____________________________________________ (p_tritium_plant_electric_mw)__ 1.50000000000000000e+01 
Vacuum_pump_motors_(MW)__________________________________________________ (vachtmw)______________________ 5.00000000000000000e-01 
Cryogenic_comp_motors_(MW)_______________________________________________ (p_cryo_plant_electric_mw)_____ 1.00000000000000000e+01 
Heat_transport_system_pump_motors_(MW)___________________________________ (htpmw_ife*reprat/6)___________ 7.68099790578850516e+00 
Total_pulsed_power_(MW)__________________________________________________ (pacpmw)_______________________ 1.41076409223848827e+02 
Total_base_power_reqd_at_all_times_(MW)__________________________________ (p_plant_electric_base_total_mw)_ 2.43221551657678177e+01 
Total_low_voltage_power_(MW)_____________________________________________ (tlvpmw)_______________________ 5.41658854287741391e+01 
# Power / Heat Transport #
Fusion_power_escaping_via_holes_(MW)_____________________________________ (pnucloss)_____________________ 0.00000000000000000e+00 
Power_multiplication_factor______________________________________________ (f_p_blkt_multiplication)______ 1.26000000000000001e+00 
Driver_wall_plug_power_(MW)______________________________________________ (p_hcd_electric_total_mw)______ 8.19005237950746903e+01 
First_wall_nuclear_heating_(MW)__________________________________________ (p_fw_div_heat_deposited_mw)___ 6.08597347342660669e+02 
Blanket_nuclear_heating_(MW)_____________________________________________ (p_blkt_nuclear_heat_total_mw)_ 1.92722493325175901e+03 
Primary_heat_(MW)________________________________________________________ (p_plant_primary_heat_mw)______ 2.53582228059441968e+03 
Secondary_heat_(MW)______________________________________________________ (p_plant_secondary_heat_mw)____ 1.20295411318060317e+02 
Heat_removal_from_driver_power_(MW)______________________________________ (p_hcd_electric_loss_mw)_______ 5.88005237950746960e+01 
Heat_removal_from_cryogenic_plant_(MW)___________________________________ (p_cryo_plant_electric_mw)_____ 1.00000000000000000e+01 
Heat_removal_from_vacuum_pumps_(MW)______________________________________ (vachtmw)______________________ 5.00000000000000000e-01 
Heat_removal_from_target_factory_(MW)____________________________________ (tfacmw)_______________________ 1.66273235721781165e+00 
Heat_removal_from_delivery_system_(MW)___________________________________ (tdspmw)_______________________ 1.00000000000000002e-02 
Heat_removal_from_tritium_plant_(MW)_____________________________________ (p_tritium_plant_electric_mw)__ 1.50000000000000000e+01 
Heat_removal_from_facilities_(MW)________________________________________ (fachtmw)______________________ 2.43221551657678177e+01 
Number_of_primary_heat_exchangers________________________________________ (n_primary_heat_exchangers)____ 3.00000000000000000e+00 
Gross_electric_power_(MW)________________________________________________ (p_plant_electric_gross_mw)____ 1.14112002626748881e+03 
Net_electric_power_(MW)__________________________________________________ (p_plant_electric_net_mw)______ 1.00004361704363998e+03 
Balance_of_plant_aux._power_fraction_____________________________________ (fgrosbop)_____________________ 0.00000000000000000e+00 
# Plant Availability #
Allowable_blanket_neutron_fluence_(MW-yr/m2)_____________________________ (abktflnc)_____________________ 2.00000000000000000e+01 
Allowable_divertor_heat_fluence_(MW-yr/m2)_______________________________ (adivflnc)_____________________ 7.00000000000000000e+00 
First_wall_/_blanket_lifetime_(years)____________________________________ (life_blkt_fpy)________________ 2.99614642248904994e+00 OP 
Divertor_lifetime_(years)________________________________________________ (life_div_fpy)_________________ 0.00000000000000000e+00 OP 
Heating/CD_system_lifetime_(years)_______________________________________ (life_hcd_fpy)_________________ 2.99614642248904994e+00 OP 
Total_plant_lifetime_(years)_____________________________________________ (life_plant)___________________ 3.00000000000000000e+01 
Total_plant_availability_fraction________________________________________ (f_t_plant_available)__________ 7.50000000000000000e-01 
Number_of_fusion_cycles_to_reach_allowable_fw/blanket_DPA________________ (bktcycles)____________________ inf 
# Power Reactor Costs (1990 US$) #
First_wall_/_blanket_life_(years)________________________________________ (life_blkt)____________________ 2.24710981686678757e+00 
Cost_of_electricity_(m$/kWh)_____________________________________________ (coe)__________________________ 9.79214005915874566e+01 
# Replaceable Components Direct Capital Cost #
First_wall_direct_capital_cost_(M$)______________________________________ (fwallcst)_____________________ 1.10823415099031095e+01 
Blanket_direct_capital_cost_(M$)_________________________________________ (blkcst)_______________________ 7.89011126129663722e+01 
IFE_driver_system_direct_cap_cost_(M$)___________________________________ _______________________________ 0.00000000000000000e+00 ITV
Fraction_of_driver_cost_-->_fuel_cost____________________________________ (fcdfuel)______________________ 0.00000000000000000e+00 
# Detailed Costings (1990 US$) #
Acc.22_multiplier_for_Nth_of_a_kind______________________________________ (fkind)________________________ 1.00000000000000000e+00 
Level_of_Safety_Assurance________________________________________________ (lsa)__________________________            4 
# Structures and Site Facilities #
Site_improvements,_facilities,_land_(M$)_________________________________ (c211)_________________________ 3.52000000000000028e+01 
Reactor_building_cost_(M$)_______________________________________________ (c212)_________________________ 8.37745919999999877e+00 
Turbine_building_cost_(M$)_______________________________________________ (c213)_________________________ 3.80000000000000000e+01 
Reactor_maintenance_building_cost_(M$)___________________________________ (c2141)________________________ 7.64428073499999954e+01 
Warm_shop_cost_(M$)______________________________________________________ (c2142)________________________ 5.06468675139999931e+01 
Tritium_building_cost_(M$)_______________________________________________ (c215)_________________________ 1.47999999999999989e+01 
Electrical_equipment_building_cost_(M$)__________________________________ (c216)_________________________ 1.51999999999999993e+01 
Additional_buildings_cost_(M$)___________________________________________ (c2171)________________________ 1.80000000000000000e+01 
Control_room_buildings_cost_(M$)_________________________________________ (c2172)________________________ 2.10000000000000000e+01 
Shop_and_warehouses_cost_(M$)____________________________________________ (c2173)________________________ 1.14999999999999982e+01 
Cryogenic_building_cost_(M$)_____________________________________________ (c2174)________________________ 0.00000000000000000e+00 
Total_account_21_cost_(M$)_______________________________________________ (c21)__________________________ 2.89167134063999981e+02 
# Reactor Systems #
First_wall_cost_(M$)_____________________________________________________ (c2211)________________________ 0.00000000000000000e+00 
Blanket_beryllium_cost_(M$)______________________________________________ (c22121)_______________________ 0.00000000000000000e+00 
Blanket_lithium_oxide_cost_(M$)__________________________________________ (c22122)_______________________ 0.00000000000000000e+00 
Blanket_stainless_steel_cost_(M$)________________________________________ (c22123)_______________________ 0.00000000000000000e+00 
Blanket_vanadium_cost_(M$)_______________________________________________ (c22124)_______________________ 0.00000000000000000e+00 
Blanket_carbon_cloth_cost_(M$)___________________________________________ (c22125)_______________________ 0.00000000000000000e+00 
Blanket_concrete_cost_(M$)_______________________________________________ (c22126)_______________________ 0.00000000000000000e+00 
Blanket_FLiBe_cost_(M$)__________________________________________________ (c22127)_______________________ 7.89011126129663722e+01 
Blanket_lithium_cost_(M$)________________________________________________ (c22128)_______________________ 0.00000000000000000e+00 
Blanket_total_cost_(M$)__________________________________________________ (c2212)________________________ 0.00000000000000000e+00 
Bulk_shield_cost_(M$)____________________________________________________ (c22131)_______________________ 5.33655479685350429e+02 
Penetration_shielding_cost_(M$)__________________________________________ (c22132)_______________________ 0.00000000000000000e+00 
Total_shield_cost_(M$)___________________________________________________ (c2213)________________________ 5.33655479685350429e+02 
Total_support_structure_cost_(M$)________________________________________ (c2214)________________________ 0.00000000000000000e+00 
