 # PROCESS #
 # Power Reactor Optimisation Code #
 # PROCESS #
 # Power Reactor Optimisation Code #
 PROCESS_version_________________________________________________________ (procver)_____________________     "3.1.0"
 Date_of_run_____________________________________________________________ (date)________________________     "17/02/2025 UTC"
 Time_of_run_____________________________________________________________ (time)________________________     "10:37"
 User____________________________________________________________________ (username)____________________     "runner"
 PROCESS_run_title_______________________________________________________ (runtitle)____________________     "HELIAS-5B"
 PROCESS_git_tag_________________________________________________________ (tagno)_______________________     ""
 PROCESS_git_branch______________________________________________________ (branch_name)_________________     ""
 Input_filename__________________________________________________________ (fileprefix)__________________     "/home/runner/work/PROCESS/PROCESS/tests/regression/input_files/helias_5b.IN.DAT"
 Optimisation_switch_____________________________________________________ (ioptimz)_____________________              1    
 # Numerics #
 VMCON_error_flag________________________________________________________ (ifail)_______________________              1    
 # PROCESS found a feasible solution #
 Number_of_iteration_variables___________________________________________ (nvar)________________________              5    
 Number_of_constraints_(total)___________________________________________ (neqns+nineqns)_______________              5    
 Optimisation_switch_____________________________________________________ (ioptimz)_____________________              1    
 Figure_of_merit_switch__________________________________________________ (minmax)______________________              7    
 Objective_function_name_________________________________________________ (objf_name)___________________     "capital cost"                          
 Normalised_objective_function___________________________________________ (norm_objf)___________________      7.3117920601842656E-01 OP 
 Square_root_of_the_sum_of_squares_of_the_constraint_residuals___________ (sqsumsq)_____________________      3.3465874386299941E-07 OP 
 VMCON_convergence_parameter_____________________________________________ (convergence_parameter)_______      3.8493190364926612E-07 OP 
 Number_of_VMCON_iterations______________________________________________ (nviter)______________________              6 OP 
 te______________________________________________________________________ (itvar001)____________________      7.0686060445736647E+00    
 te_(final_value/initial_value)__________________________________________ (xcm001)______________________      1.0098008635105236E+00    
 te_(range_normalised)___________________________________________________ (nitvar001)___________________      1.4612409736065071E-01    
 dene____________________________________________________________________ (itvar002)____________________      2.1100950567384996E+20    
 dene_(final_value/initial_value)________________________________________ (xcm002)______________________      1.0089390153669788E+00    
 dene_(range_normalised)_________________________________________________ (nitvar002)___________________      3.8465194106461886E-01    
 hfact___________________________________________________________________ (itvar003)____________________      1.2198455508644144E+00    
 hfact_(final_value/initial_value)_______________________________________ (xcm003)______________________      1.0009399777339905E+00    
 hfact_(range_normalised)________________________________________________ (nitvar003)___________________      5.8939239519179687E-01    
 fpnetel_________________________________________________________________ (itvar004)____________________      1.0000000000000000E+00    
 fpnetel_(final_value/initial_value)_____________________________________ (xcm004)______________________      1.0000000000000000E+00    
 fpnetel_(range_normalised)______________________________________________ (nitvar004)___________________      1.0000000000000000E+00    
 fiooic__________________________________________________________________ (itvar005)____________________      5.7900648514199449E-01    
 fiooic_(final_value/initial_value)______________________________________ (xcm005)______________________      1.1580129702839890E+00    
 fiooic_(range_normalised)_______________________________________________ (nitvar005)___________________      6.4294380994660116E-01    
 Global_power_balance_consistency__normalised_residue____________________ (eq_con002)___________________      1.0022453755809124E-08    
 Radial_build_consistency__________normalised_residue____________________ (eq_con011)___________________     -0.0000000000000000E+00    
 Net_electric_power_lower_limit____normalised_residue____________________ (eq_con016)___________________      3.3450863257122876E-07    
 beta_>_beta_min_________________________________________________________ (ineq_con084)_________________      3.5426943165698379E+00    
 Beta_upper_limit________________________________________________________ (ineq_con024)_________________      1.0066838126485922E-01    
 # Final Feasible Point #
 # Power Reactor Costs (1990 US$) #
 First_wall_/_blanket_life_(years)_______________________________________ (bktlife_cal)_________________      1.2887372144884676E+01    
 Divertor_life_(years)___________________________________________________ (divlife_cal)_________________      6.1366121822562194E+00    
 Cost_of_electricity_(m$/kWh)____________________________________________ (coe)_________________________      9.8416964489104544E+01    
 # Detailed Costings (1990 US$) #
 Acc.22_multiplier_for_Nth_of_a_kind_____________________________________ (fkind)_______________________      1.0000000000000000E+00    
 Level_of_Safety_Assurance_______________________________________________ (lsa)_________________________              2    
 # Structures and Site Facilities #
 Site_improvements,_facilities,_land_(M$)________________________________ (c211)________________________      3.2640000000000001E+01    
 Reactor_building_cost_(M$)______________________________________________ (c212)________________________      7.6716908025005057E+02    
 Turbine_building_cost_(M$)______________________________________________ (c213)________________________      3.1919999999999998E+01    
 Reactor_maintenance_building_cost_(M$)__________________________________ (c2141)_______________________      5.7764860327022085E+01    
 Warm_shop_cost_(M$)_____________________________________________________ (c2142)_______________________      3.7609117606052678E+01    
 Tritium_building_cost_(M$)______________________________________________ (c215)________________________      1.2431999999999999E+01    
 Electrical_equipment_building_cost_(M$)_________________________________ (c216)________________________      2.0710320417432595E+01    
 Additional_buildings_cost_(M$)__________________________________________ (c2171)_______________________      1.5119999999999999E+01    
 Control_room_buildings_cost_(M$)________________________________________ (c2172)_______________________      1.7640000000000001E+01    
 Shop_and_warehouses_cost_(M$)___________________________________________ (c2173)_______________________      9.6599999999999984E+00    
 Cryogenic_building_cost_(M$)____________________________________________ (c2174)_______________________      8.6828512701791265E+00    
 Total_account_21_cost_(M$)______________________________________________ (c21)_________________________      1.0113482298707371E+03    
 # Reactor Systems #
 First_wall_cost_(M$)____________________________________________________ (c2211)_______________________      1.8760584590219966E+02    
 Blanket_beryllium_cost_(M$)_____________________________________________ (c22121)______________________      2.7266341200970118E+02    
 Blanket_breeder_material_cost_(M$)______________________________________ (c22122)______________________      1.0181910577192454E+02    
 Blanket_stainless_steel_cost_(M$)_______________________________________ (c22123)______________________      1.1006884142082245E+02    
 Blanket_vanadium_cost_(M$)______________________________________________ (c22124)______________________      0.0000000000000000E+00    
 Blanket_total_cost_(M$)_________________________________________________ (c2212)_______________________      4.8455135920244811E+02    
 Bulk_shield_cost_(M$)___________________________________________________ (c22131)______________________      9.5148609343400025E+01    
 Penetration_shielding_cost_(M$)_________________________________________ (c22132)______________________      9.5148609343400025E+01    
 Total_shield_cost_(M$)__________________________________________________ (c2213)_______________________      1.9029721868680005E+02    
 Total_support_structure_cost_(M$)_______________________________________ (c2214)_______________________      0.0000000000000000E+00    
 Divertor_cost_(M$)______________________________________________________ (c2215)_______________________      2.1080419137504546E+01    
 Total_account_221_cost_(M$)_____________________________________________ (c221)________________________      8.8353484292895246E+02    
 # Magnets #
 TF_coil_conductor_cost_(M$)_____________________________________________ (c22211)______________________      3.5238624059221519E+02    
 TF_coil_winding_cost_(M$)_______________________________________________ (c22212)______________________      6.4519974320001040E+01    
 TF_coil_case_cost_(M$)__________________________________________________ (c22213)______________________      8.7199644027249988E+01    
 TF_intercoil_structure_cost_(M$)________________________________________ (c22214)______________________      1.4578056350003834E+02    
 TF_coil_gravity_support_structure_(M$)__________________________________ (c22215)______________________      2.9156112700007672E+01    
 TF_magnet_assemblies_cost_(M$)__________________________________________ (c2221)_______________________      6.7904253513951221E+02    
 PF_coil_conductor_cost_(M$)_____________________________________________ (c22221)______________________      0.0000000000000000E+00    
 PF_coil_winding_cost_(M$)_______________________________________________ (c22222)______________________      0.0000000000000000E+00    
 PF_coil_case_cost_(M$)__________________________________________________ (c22223)______________________      0.0000000000000000E+00    
 PF_coil_support_structure_cost_(M$)_____________________________________ (c22224)______________________      0.0000000000000000E+00    
 PF_magnet_assemblies_cost_(M$)__________________________________________ (c2222)_______________________      0.0000000000000000E+00    
 Vacuum_vessel_assembly_cost_(M$)________________________________________ (c2223)_______________________      4.6116822862749746E+02    
 Total_account_222_cost_(M$)_____________________________________________ (c222)________________________      1.1402107637670097E+03    
 # Power Injection #
