 # PROCESS #
 # Power Reactor Optimisation Code #
 # PROCESS #
 # Power Reactor Optimisation Code #
 PROCESS_version_________________________________________________________ (procver)_____________________     "3.1.0"
 Date_of_run_____________________________________________________________ (date)________________________     "27/08/2025 UTC"
 Time_of_run_____________________________________________________________ (time)________________________     "09:15"
 User____________________________________________________________________ (username)____________________     "runner"
 PROCESS_run_title_______________________________________________________ (runtitle)____________________     "HELIAS-5B"
 PROCESS_git_tag_________________________________________________________ (tagno)_______________________     ""
 PROCESS_git_branch______________________________________________________ (branch_name)_________________     ""
 Input_filename__________________________________________________________ (fileprefix)__________________     "/home/runner/work/PROCESS/PROCESS/tests/regression/input_files/helias_5b.IN.DAT"
 Optimisation_switch_____________________________________________________ (ioptimz)_____________________              1    
 Figure_of_merit_switch__________________________________________________ (minmax)______________________              7    
 # Numerics #
 # PROCESS found a feasible solution #
 Error_flag______________________________________________________________ (ifail)_______________________              1    
 Number_of_iteration_variables___________________________________________ (nvar)________________________              5    
 Number_of_constraints_(total)___________________________________________ (neqns+nineqns)_______________              5    
 Optimisation_switch_____________________________________________________ (ioptimz)_____________________              1    
 Figure_of_merit_switch__________________________________________________ (minmax)______________________              7    
 Objective_function_name_________________________________________________ (objf_name)___________________     "capital cost"                          
 Normalised_objective_function____________________________________________ (norm_objf)____________________ 7.31627370790860598e-01 OP
 Square_root_of_the_sum_of_squares_of_the_constraint_residuals____________ (sqsumsq)______________________ 3.40544304673259214e-07 OP
 VMCON_convergence_parameter______________________________________________ (convergence_parameter)________ 3.95129398653671954e-07 OP
 Number_of_optimising_solver_iterations__________________________________ (nviter)______________________              6 OP 
 te_______________________________________________________________________ (itvar001)_____________________ 7.07844581319692345e+00
 te_(final_value/initial_value)___________________________________________ (xcm001)_______________________ 1.01120654474241767e+00
 te_(range_normalised)____________________________________________________ (nitvar001)____________________ 1.46592657771282081e-01
 te_(upper_bound)_________________________________________________________ (boundu001)____________________ 2.50000000000000000e+01
 te_(lower_bound)_________________________________________________________ (boundl001)____________________ 4.00000000000000000e+00
 dene_____________________________________________________________________ (itvar002)_____________________ 2.11229925265852596e+20
 dene_(final_value/initial_value)_________________________________________ (xcm002)_______________________ 1.00999294857919386e+00
 dene_(range_normalised)__________________________________________________ (nitvar002)____________________ 3.85120470328095654e-01
 dene_(upper_bound)_______________________________________________________ (boundu002)____________________ 5.00500000000000000e+20
 dene_(lower_bound)_______________________________________________________ (boundl002)____________________ 3.00500000000000000e+19
 hfact____________________________________________________________________ (itvar003)_____________________ 1.21880117475297456e+00
 hfact_(final_value/initial_value)________________________________________ (xcm003)_______________________ 1.00008301858781867e+00
 hfact_(range_normalised)_________________________________________________ (nitvar003)____________________ 5.88842723554197089e-01
 hfact_(upper_bound)______________________________________________________ (boundu003)____________________ 2.00000000000000000e+00
 hfact_(lower_bound)______________________________________________________ (boundl003)____________________ 1.00000000000000006e-01
 fp_plant_electric_net_required_mw________________________________________ (itvar004)_____________________ 1.00000000000000000e+00
 fp_plant_electric_net_required_mw_(final_value/initial_value)____________ (xcm004)_______________________ 1.00000000000000000e+00
 fp_plant_electric_net_required_mw_(range_normalised)_____________________ (nitvar004)____________________ 1.00000000000000000e+00
 fp_plant_electric_net_required_mw_(upper_bound)__________________________ (boundu004)____________________ 1.00000000000000000e+00
 fp_plant_electric_net_required_mw_(lower_bound)__________________________ (boundl004)____________________ 9.79999999999999982e-01
 fiooic___________________________________________________________________ (itvar005)_____________________ 5.78923881134083440e-01
 fiooic_(final_value/initial_value)_______________________________________ (xcm005)_______________________ 1.15784776226816688e+00
 fiooic_(range_normalised)________________________________________________ (nitvar005)____________________ 6.42851925621894749e-01
 fiooic_(upper_bound)_____________________________________________________ (boundu005)____________________ 9.00000000000000022e-01
 fiooic_(lower_bound)_____________________________________________________ (boundl005)____________________ 1.00000000000000002e-03
 Global_power_balance_consistency__normalised_residue_____________________ (eq_con002)____________________ 1.05572497410832966e-08
 Radial_build_consistency__________normalised_residue_____________________ (eq_con011)____________________ -1.11022302462515654e-16
 Net_electric_power_lower_limit____normalised_residue_____________________ (eq_con016)____________________ 3.40380622132485655e-07
 beta_>_beta_min_normalised_residue_______________________________________ (ineq_con084)__________________ 3.55478287958444295e+00
 Beta_upper_limit_normalised_residue______________________________________ (ineq_con024)__________________ 8.90434240831113888e-02
 # Final Feasible Point #
 # Power Reactor Costs (1990 US$) #
 First_wall_/_blanket_life_(years)________________________________________ (life_blkt)____________________ 1.28200040340998562e+01
 Divertor_life_(years)____________________________________________________ (divlife_cal)__________________ 6.09139480734624783e+00
 Cost_of_electricity_(m$/kWh)_____________________________________________ (coe)__________________________ 9.74345618285596089e+01
 # Detailed Costings (1990 US$) #
 Acc.22_multiplier_for_Nth_of_a_kind______________________________________ (fkind)________________________ 1.00000000000000000e+00
 Level_of_Safety_Assurance_______________________________________________ (lsa)_________________________              2    
 # Structures and Site Facilities #
 Site_improvements,_facilities,_land_(M$)_________________________________ (c211)_________________________ 3.26400000000000006e+01
 Reactor_building_cost_(M$)_______________________________________________ (c212)_________________________ 7.67368026151557160e+02
 Turbine_building_cost_(M$)_______________________________________________ (c213)_________________________ 3.19199999999999982e+01
 Reactor_maintenance_building_cost_(M$)___________________________________ (c2141)________________________ 5.78276685940233364e+01
 Warm_shop_cost_(M$)______________________________________________________ (c2142)________________________ 3.76264840230157702e+01
 Tritium_building_cost_(M$)_______________________________________________ (c215)_________________________ 1.24319999999999986e+01
 Electrical_equipment_building_cost_(M$)__________________________________ (c216)_________________________ 2.07101569121327351e+01
 Additional_buildings_cost_(M$)___________________________________________ (c2171)________________________ 1.51199999999999992e+01
 Control_room_buildings_cost_(M$)_________________________________________ (c2172)________________________ 1.76400000000000006e+01
 Shop_and_warehouses_cost_(M$)____________________________________________ (c2173)________________________ 9.65999999999999837e+00
 Cryogenic_building_cost_(M$)_____________________________________________ (c2174)________________________ 8.68228024389886777e+00
 Total_account_21_cost_(M$)_______________________________________________ (c21)__________________________ 1.01162661592462791e+03
 # Reactor Systems #
 First_wall_cost_(M$)_____________________________________________________ (c2211)________________________ 1.87605845902199661e+02
 Blanket_beryllium_cost_(M$)______________________________________________ (c22121)_______________________ 2.73201404378951111e+02
 Blanket_breeder_material_cost_(M$)_______________________________________ (c22122)_______________________ 1.02020005120852176e+02
 Blanket_stainless_steel_cost_(M$)________________________________________ (c22123)_______________________ 1.10286018328938283e+02
 Blanket_vanadium_cost_(M$)_______________________________________________ (c22124)_______________________ 0.00000000000000000e+00
 Blanket_total_cost_(M$)__________________________________________________ (c2212)________________________ 4.85507427828741527e+02
 Bulk_shield_cost_(M$)____________________________________________________ (c22131)_______________________ 9.52856485880847401e+01
 Penetration_shielding_cost_(M$)__________________________________________ (c22132)_______________________ 9.52856485880847401e+01
 Total_shield_cost_(M$)___________________________________________________ (c2213)________________________ 1.90571297176169480e+02
 Total_support_structure_cost_(M$)________________________________________ (c2214)________________________ 0.00000000000000000e+00
 Divertor_cost_(M$)_______________________________________________________ (c2215)________________________ 2.10804191375045349e+01
 Total_account_221_cost_(M$)______________________________________________ (c221)_________________________ 8.84764990044615161e+02
 # Magnets #
 TF_coil_conductor_cost_(M$)______________________________________________ (c22211)_______________________ 3.52413128390589293e+02
 TF_coil_winding_cost_(M$)________________________________________________ (c22212)_______________________ 6.45248973273741058e+01
 TF_coil_case_cost_(M$)___________________________________________________ (c22213)_______________________ 8.72024760951757116e+01
 TF_intercoil_structure_cost_(M$)_________________________________________ (c22214)_______________________ 1.45779292269771787e+02
 TF_coil_gravity_support_structure_(M$)___________________________________ (c22215)_______________________ 2.91558584539543553e+01
 TF_magnet_assemblies_cost_(M$)___________________________________________ (c2221)________________________ 6.79075652536865277e+02
