 # PROCESS #
 # Power Reactor Optimisation Code #
 # PROCESS #
 # Power Reactor Optimisation Code #
 PROCESS_version_number__________________________________________________ (procver)_____________________     "3.1.0   R"
 Date_of_run_____________________________________________________________ (date)________________________     "17/01/2025"
 Time_of_run_____________________________________________________________ (time)________________________     "13:53"
 User____________________________________________________________________ (username)____________________     "runner"  
 PROCESS_run_title_______________________________________________________ (runtitle)____________________     "Generic large tokamak                                                                              
 PROCESS_tag_number______________________________________________________ (tagno)_______________________     ""                                                                                                  
 PROCESS_git_branch_name_________________________________________________ (branch_name)_________________     "main"                                                                                              
 PROCESS_last_commit_message_____________________________________________ (commsg)______________________     "Apply FURB ruff rules ([hash]3474)"                                                                
 Input_filename__________________________________________________________ (fileprefix)__________________     "/home/runner/work/PROCESS/PROCESS/tests/regression/input_files/large_tokamak.IN.DAT                                                                                                                                                                                                                                                                                                                             "
 # Numerics #
 VMCON_error_flag________________________________________________________ (ifail)_______________________              1    
 # PROCESS found a feasible solution #
 Number_of_iteration_variables___________________________________________ (nvar)________________________             44    
 Number_of_constraints_(total)___________________________________________ (neqns+nineqns)_______________             26    
 Optimisation_switch_____________________________________________________ (ioptimz)_____________________              1    
 Figure_of_merit_switch__________________________________________________ (minmax)______________________              1    
 Objective_function_name_________________________________________________ (objf_name)___________________     "major radius"                          
 Normalised_objective_function___________________________________________ (norm_objf)___________________      1.6000000000000001E+00 OP 
 Square_root_of_the_sum_of_squares_of_the_constraint_residuals___________ (sqsumsq)_____________________      2.2046234581336980E-06 OP 
 VMCON_convergence_parameter_____________________________________________ (convergence_parameter)_______      5.0890079645255611E-13 OP 
 Number_of_VMCON_iterations______________________________________________ (nviter)______________________              8 OP 
 bt______________________________________________________________________ (itvar001)____________________      5.1847188735671210E+00    
 bt_(final_value/initial_value)__________________________________________ (xcm001)______________________      9.0959980238019666E-01    
 bt_(range_normalised)___________________________________________________ (nitvar001)___________________      1.7254814516729317E-01    
 rmajor__________________________________________________________________ (itvar002)____________________      8.0000000000000000E+00    
 rmajor_(final_value/initial_value)______________________________________ (xcm002)______________________      1.0000000000000000E+00    
 rmajor_(range_normalised)_______________________________________________ (nitvar002)___________________      0.0000000000000000E+00    
 te______________________________________________________________________ (itvar003)____________________      1.2568506375746892E+01    
 te_(final_value/initial_value)__________________________________________ (xcm003)______________________      1.0473755313122410E+00    
 te_(range_normalised)___________________________________________________ (nitvar003)___________________      7.4745158456279409E-02    
 beta____________________________________________________________________ (itvar004)____________________      3.5373164790548216E-02    
 beta_(final_value/initial_value)________________________________________ (xcm004)______________________      1.1791054930182738E+00    
 beta_(range_normalised)_________________________________________________ (nitvar004)___________________      3.4407572362911115E-02    
 dene____________________________________________________________________ (itvar005)____________________      8.1013800162233876E+19    
 dene_(final_value/initial_value)________________________________________ (xcm005)______________________      1.0801840021631184E+00    
 dene_(range_normalised)_________________________________________________ (nitvar005)___________________      6.2258979757381518E-02    
 hfact___________________________________________________________________ (itvar006)____________________      1.1925637271422787E+00    
 hfact_(final_value/initial_value)_______________________________________ (xcm006)______________________      1.0841488428566168E+00    
 hfact_(range_normalised)________________________________________________ (nitvar006)___________________      9.9323975194752601E-01    
 tfcth___________________________________________________________________ (itvar007)____________________      1.2000000000000000E+00    
 tfcth_(final_value/initial_value)_______________________________________ (xcm007)______________________      1.0000000000000000E+00    
 tfcth_(range_normalised)________________________________________________ (nitvar007)___________________      1.1627906976744184E-01    
 fwalld__________________________________________________________________ (itvar008)____________________      5.1230277697594351E-01    
 fwalld_(final_value/initial_value)______________________________________ (xcm008)______________________      5.1230277697594351E-01    
 fwalld_(range_normalised)_______________________________________________ (nitvar008)___________________      5.1181459156751097E-01    
 ohcth___________________________________________________________________ (itvar009)____________________      5.6913581198713370E-01    
 ohcth_(final_value/initial_value)_______________________________________ (xcm009)______________________      1.1382716239742674E+00    
 ohcth_(range_normalised)________________________________________________ (nitvar009)___________________      2.7745959998673575E-02    
 q_______________________________________________________________________ (itvar010)____________________      3.5068029786862538E+00    
 q_(final_value/initial_value)___________________________________________ (xcm010)______________________      1.0019437081960725E+00    
 q_(range_normalised)____________________________________________________ (nitvar010)___________________      1.0783042099707530E-02    
 ft_burn_________________________________________________________________ (itvar011)____________________      9.9929400032824289E-01    
 ft_burn_(final_value/initial_value)_____________________________________ (xcm011)______________________      9.9929400032824289E-01    
 ft_burn_(range_normalised)______________________________________________ (nitvar011)___________________      9.9929329362186481E-01    
 fpnetel_________________________________________________________________ (itvar012)____________________      9.9927947064779343E-01    
 fpnetel_(final_value/initial_value)_____________________________________ (xcm012)______________________      9.9927947064779343E-01    
 fpnetel_(range_normalised)______________________________________________ (nitvar012)___________________      9.9927874939719064E-01    
 ffuspow_________________________________________________________________ (itvar013)____________________      5.4596872781170058E-01    
 ffuspow_(final_value/initial_value)_____________________________________ (xcm013)______________________      5.4596872781170058E-01    
 ffuspow_(range_normalised)______________________________________________ (nitvar013)___________________      5.4551424205375432E-01    
 bore____________________________________________________________________ (itvar014)____________________      2.0312627684059903E+00    
 bore_(final_value/initial_value)________________________________________ (xcm014)______________________      1.0156313842029951E+00    
 bore_(range_normalised)_________________________________________________ (nitvar014)___________________      1.9507704731373637E-01    
 fpeakb__________________________________________________________________ (itvar015)____________________      8.5191906162995223E-01    
 fpeakb_(final_value/initial_value)______________________________________ (xcm015)______________________      8.5191906162995223E-01    
 fpeakb_(range_normalised)_______________________________________________ (nitvar015)___________________      8.5177083246241470E-01    
 fbeta_max_______________________________________________________________ (itvar016)____________________      4.4539361450389015E-01    
 fbeta_max_(final_value/initial_value)___________________________________ (xcm016)______________________      8.9078722900778029E-01    
 fbeta_max_(range_normalised)____________________________________________ (nitvar016)___________________      4.4483845295684699E-01    
 coheof__________________________________________________________________ (itvar017)____________________      2.0561940342427328E+07    
 coheof_(final_value/initial_value)______________________________________ (xcm017)______________________      1.3707960228284886E+00    
 coheof_(range_normalised)_______________________________________________ (nitvar017)___________________      2.0482422765192521E-01    
 fjohc___________________________________________________________________ (itvar018)____________________      5.5902978898597122E-01    
 fjohc_(final_value/initial_value)_______________________________________ (xcm018)______________________      9.3171631497661855E-01    
 fjohc_(range_normalised)________________________________________________ (nitvar018)___________________      5.5457554443027390E-01    
 fjohc0__________________________________________________________________ (itvar019)____________________      5.4115495065762453E-01    
 fjohc0_(final_value/initial_value)______________________________________ (xcm019)______________________      9.0192491776270733E-01    
 fjohc0_(range_normalised)_______________________________________________ (nitvar019)___________________      5.4069564630392841E-01    
 fcohbop_________________________________________________________________ (itvar020)____________________      9.4292236263143858E-01    
 fcohbop_(final_value/initial_value)_____________________________________ (xcm020)______________________      1.0476915140349319E+00    
 fcohbop_(range_normalised)______________________________________________ (nitvar020)___________________      9.4286522785929794E-01    
 fvsbrnni________________________________________________________________ (itvar021)____________________      4.3515386005774465E-01    
 fvsbrnni_(final_value/initial_value)____________________________________ (xcm021)______________________      1.0878846501443615E+00    
 fvsbrnni_(range_normalised)_____________________________________________ (nitvar021)___________________      4.3458844850625089E-01    
 fpinj___________________________________________________________________ (itvar022)____________________      3.9964377564372755E-01    
 fpinj_(final_value/initial_value)_______________________________________ (xcm022)______________________      3.9964377564372755E-01    
 fpinj_(range_normalised)________________________________________________ (nitvar022)___________________      3.9904281846218975E-01    
 fstrcase________________________________________________________________ (itvar023)____________________      9.9822875982991410E-01    
