 # PROCESS #
 # Power Reactor Optimisation Code #
 # PROCESS #
 # Power Reactor Optimisation Code #
 PROCESS_version_________________________________________________________ (procver)_____________________     "3.1.0"
 Date_of_run_____________________________________________________________ (date)________________________     "12/02/2025 UTC"
 Time_of_run_____________________________________________________________ (time)________________________     "13:23"
 User____________________________________________________________________ (username)____________________     "runner"
 PROCESS_run_title_______________________________________________________ (runtitle)____________________     "Generic large tokamak"
 PROCESS_git_tag_________________________________________________________ (tagno)_______________________     ""
 PROCESS_git_branch______________________________________________________ (branch_name)_________________     ""
 Input_filename__________________________________________________________ (fileprefix)__________________     "/home/runner/work/PROCESS/PROCESS/tests/regression/input_files/large_tokamak.IN.DAT"
 Optimisation_switch_____________________________________________________ (ioptimz)_____________________              1    
 # Numerics #
 VMCON_error_flag________________________________________________________ (ifail)_______________________              1    
 # PROCESS found a feasible solution #
 Number_of_iteration_variables___________________________________________ (nvar)________________________             44    
 Number_of_constraints_(total)___________________________________________ (neqns+nineqns)_______________             26    
 Optimisation_switch_____________________________________________________ (ioptimz)_____________________              1    
 Figure_of_merit_switch__________________________________________________ (minmax)______________________              1    
 Objective_function_name_________________________________________________ (objf_name)___________________     "major radius"                          
 Normalised_objective_function___________________________________________ (norm_objf)___________________      1.6000000000000001E+00 OP 
 Square_root_of_the_sum_of_squares_of_the_constraint_residuals___________ (sqsumsq)_____________________      1.6454649278684897E-06 OP 
 VMCON_convergence_parameter_____________________________________________ (convergence_parameter)_______      3.0456353903130315E-13 OP 
 Number_of_VMCON_iterations______________________________________________ (nviter)______________________              8 OP 
 bt______________________________________________________________________ (itvar001)____________________      5.1972006766297190E+00    
 bt_(final_value/initial_value)__________________________________________ (xcm001)______________________      9.1178959239117874E-01    
 bt_(range_normalised)___________________________________________________ (nitvar001)___________________      1.7296434400232477E-01    
 rmajor__________________________________________________________________ (itvar002)____________________      8.0000000000000000E+00    
 rmajor_(final_value/initial_value)______________________________________ (xcm002)______________________      1.0000000000000000E+00    
 rmajor_(range_normalised)_______________________________________________ (nitvar002)___________________      0.0000000000000000E+00    
 te______________________________________________________________________ (itvar003)____________________      1.2574099275412332E+01    
 te_(final_value/initial_value)__________________________________________ (xcm003)______________________      1.0478416062843610E+00    
 te_(range_normalised)___________________________________________________ (nitvar003)___________________      7.4804346024502311E-02    
 beta____________________________________________________________________ (itvar004)____________________      3.5195888359634726E-02    
 beta_(final_value/initial_value)________________________________________ (xcm004)______________________      1.1731962786544909E+00    
 beta_(range_normalised)_________________________________________________ (nitvar004)___________________      3.4230118478112831E-02    
 dene____________________________________________________________________ (itvar005)____________________      8.0943797974514893E+19    
 dene_(final_value/initial_value)________________________________________ (xcm005)______________________      1.0792506396601986E+00    
 dene_(range_normalised)_________________________________________________ (nitvar005)___________________      6.2187548953586635E-02    
 hfact___________________________________________________________________ (itvar006)____________________      1.1937865698110526E+00    
 hfact_(final_value/initial_value)_______________________________________ (xcm006)______________________      1.0852605180100476E+00    
 hfact_(range_normalised)________________________________________________ (nitvar006)___________________      9.9435142710095681E-01    
 dr_tf_inboard___________________________________________________________ (itvar007)____________________      1.2000000000000000E+00    
 dr_tf_inboard_(final_value/initial_value)_______________________________ (xcm007)______________________      1.0000000000000000E+00    
 dr_tf_inboard_(range_normalised)________________________________________ (nitvar007)___________________      1.1627906976744184E-01    
 fwalld__________________________________________________________________ (itvar008)____________________      5.1148303016254015E-01    
 fwalld_(final_value/initial_value)______________________________________ (xcm008)______________________      5.1148303016254015E-01    
 fwalld_(range_normalised)_______________________________________________ (nitvar008)___________________      5.1099402418672690E-01    
 dr_cs___________________________________________________________________ (itvar009)____________________      5.6794972705719626E-01    
 dr_cs_(final_value/initial_value)_______________________________________ (xcm009)______________________      1.1358994541143925E+00    
 dr_cs_(range_normalised)________________________________________________ (nitvar009)___________________      2.7623683201772806E-02    
 q_______________________________________________________________________ (itvar010)____________________      3.5182854761505418E+00    
 q_(final_value/initial_value)___________________________________________ (xcm010)______________________      1.0052244217572976E+00    
 q_(range_normalised)____________________________________________________ (nitvar010)___________________      1.1027350556394510E-02    
 ft_burn_________________________________________________________________ (itvar011)____________________      1.0000464531887372E+00    
 ft_burn_(final_value/initial_value)_____________________________________ (xcm011)______________________      1.0000464531887372E+00    
 ft_burn_(range_normalised)______________________________________________ (nitvar011)___________________      1.0000000000000000E+00    
 fpnetel_________________________________________________________________ (itvar012)____________________      9.9932211894150813E-01    
 fpnetel_(final_value/initial_value)_____________________________________ (xcm012)______________________      9.9932211894150813E-01    
 fpnetel_(range_normalised)______________________________________________ (nitvar012)___________________      9.9932144038188997E-01    
 ffuspow_________________________________________________________________ (itvar013)____________________      5.4509516747469178E-01    
 ffuspow_(final_value/initial_value)_____________________________________ (xcm013)______________________      5.4509516747469178E-01    
 ffuspow_(range_normalised)______________________________________________ (nitvar013)___________________      5.4463980728197370E-01    
 dr_bore_________________________________________________________________ (itvar014)____________________      2.0286067185805008E+00    
 dr_bore_(final_value/initial_value)_____________________________________ (xcm014)______________________      1.0143033592902504E+00    
 dr_bore_(range_normalised)______________________________________________ (nitvar014)___________________      1.9480875945257581E-01    
 fpeakb__________________________________________________________________ (itvar015)____________________      8.5397000158410852E-01    
 fpeakb_(final_value/initial_value)______________________________________ (xcm015)______________________      8.5397000158410852E-01    
 fpeakb_(range_normalised)_______________________________________________ (nitvar015)___________________      8.5382382540951807E-01    
 fbeta_max_______________________________________________________________ (itvar016)____________________      4.4379472999419461E-01    
 fbeta_max_(final_value/initial_value)___________________________________ (xcm016)______________________      8.8758945998838923E-01    
 fbeta_max_(range_normalised)____________________________________________ (nitvar016)___________________      4.4323796796215675E-01    
 coheof__________________________________________________________________ (itvar017)____________________      2.0580688753366731E+07    
 coheof_(final_value/initial_value)______________________________________ (xcm017)______________________      1.3720459168911154E+00    
 coheof_(range_normalised)_______________________________________________ (nitvar017)___________________      2.0501189943310041E-01    
 fjohc___________________________________________________________________ (itvar018)____________________      5.5853578014047334E-01    
 fjohc_(final_value/initial_value)_______________________________________ (xcm018)______________________      9.3089296690078871E-01    
