 # PROCESS #
 # Power Reactor Optimisation Code #
 # PROCESS #
 # Power Reactor Optimisation Code #
 PROCESS_version_________________________________________________________ (procver)_____________________     "3.1.0"
 Date_of_run_____________________________________________________________ (date)________________________     "01/09/2025 UTC"
 Time_of_run_____________________________________________________________ (time)________________________     "12:22"
 User____________________________________________________________________ (username)____________________     "runner"
 PROCESS_run_title_______________________________________________________ (runtitle)____________________     "Generic large tokamak"
 PROCESS_git_tag_________________________________________________________ (tagno)_______________________     ""
 PROCESS_git_branch______________________________________________________ (branch_name)_________________     ""
 Input_filename__________________________________________________________ (fileprefix)__________________     "/home/runner/work/PROCESS/PROCESS/tests/regression/input_files/large_tokamak.IN.DAT"
 Optimisation_switch_____________________________________________________ (ioptimz)_____________________              1    
 Figure_of_merit_switch__________________________________________________ (minmax)______________________              1    
 # Numerics #
 # PROCESS found a feasible solution #
 Error_flag______________________________________________________________ (ifail)_______________________              1    
 Number_of_iteration_variables___________________________________________ (nvar)________________________             43    
 Number_of_constraints_(total)___________________________________________ (neqns+nineqns)_______________             26    
 Optimisation_switch_____________________________________________________ (ioptimz)_____________________              1    
 Figure_of_merit_switch__________________________________________________ (minmax)______________________              1    
 Objective_function_name_________________________________________________ (objf_name)___________________     "major radius"                          
 Normalised_objective_function____________________________________________ (norm_objf)____________________ 1.60000000000000009e+00 OP
 Square_root_of_the_sum_of_squares_of_the_constraint_residuals____________ (sqsumsq)______________________ 1.03062101391881592e-05 OP
 VMCON_convergence_parameter______________________________________________ (convergence_parameter)________ 2.55965780156452889e-12 OP
 Number_of_optimising_solver_iterations__________________________________ (nviter)______________________             13 OP 
 bt_______________________________________________________________________ (itvar001)_____________________ 4.82923898501051951e+00
 bt_(final_value/initial_value)___________________________________________ (xcm001)_______________________ 8.47234909650968371e-01
 bt_(range_normalised)____________________________________________________ (nitvar001)____________________ 1.60694864455169062e-01
 bt_(upper_bound)_________________________________________________________ (boundu001)____________________ 2.99999999999999964e+01
 bt_(lower_bound)_________________________________________________________ (boundl001)____________________ 1.00000000000000002e-02
 rmajor___________________________________________________________________ (itvar002)_____________________ 8.00000000000000000e+00
 rmajor_(final_value/initial_value)_______________________________________ (xcm002)_______________________ 1.00000000000000000e+00
 rmajor_(range_normalised)________________________________________________ (nitvar002)____________________ 0.00000000000000000e+00
 rmajor_(upper_bound)_____________________________________________________ (boundu002)____________________ 9.00000000000000000e+00
 rmajor_(lower_bound)_____________________________________________________ (boundl002)____________________ 8.00000000000000000e+00
 te_______________________________________________________________________ (itvar003)_____________________ 1.23499000625952320e+01
 te_(final_value/initial_value)___________________________________________ (xcm003)_______________________ 1.02915833854960259e+00
 te_(range_normalised)____________________________________________________ (nitvar003)____________________ 7.24317294932004807e-02
 te_(upper_bound)_________________________________________________________ (boundu003)____________________ 9.99999999999999858e+01
 te_(lower_bound)_________________________________________________________ (boundl003)____________________ 5.50549999999999962e+00
 beta_____________________________________________________________________ (itvar004)_____________________ 4.17686742681270401e-02
 beta_(final_value/initial_value)_________________________________________ (xcm004)_______________________ 1.39228914227090139e+00
 beta_(range_normalised)__________________________________________________ (nitvar004)____________________ 4.08094837518789139e-02
 beta_(upper_bound)_______________________________________________________ (boundu004)____________________ 1.00000000000000000e+00
 beta_(lower_bound)_______________________________________________________ (boundl004)____________________ 1.00000000000000024e-03
 dene_____________________________________________________________________ (itvar005)_____________________ 8.53377378796818268e+19
 dene_(final_value/initial_value)_________________________________________ (xcm005)_______________________ 1.13783650506242440e+00
 dene_(range_normalised)__________________________________________________ (nitvar005)____________________ 6.66711611017161560e-02
 dene_(upper_bound)_______________________________________________________ (boundu005)____________________ 1.00000000000000000e+21
 dene_(lower_bound)_______________________________________________________ (boundl005)____________________ 2.00000000000000000e+19
 hfact____________________________________________________________________ (itvar006)_____________________ 1.13380865869351055e+00
 hfact_(final_value/initial_value)________________________________________ (xcm006)_______________________ 1.03073514426682777e+00
 hfact_(range_normalised)_________________________________________________ (nitvar006)____________________ 9.39826053357736946e-01
 hfact_(upper_bound)______________________________________________________ (boundu006)____________________ 1.19999999999999996e+00
 hfact_(lower_bound)______________________________________________________ (boundl006)____________________ 1.00000000000000006e-01
 fpflux_fw_neutron_max_mw_________________________________________________ (itvar007)_____________________ 5.56173022678120410e-01
 fpflux_fw_neutron_max_mw_(final_value/initial_value)_____________________ (xcm007)_______________________ 5.56173022678120410e-01
 fpflux_fw_neutron_max_mw_(range_normalised)______________________________ (nitvar007)____________________ 5.55728751429549916e-01
 fpflux_fw_neutron_max_mw_(upper_bound)___________________________________ (boundu007)____________________ 1.00000000000000000e+00
 fpflux_fw_neutron_max_mw_(lower_bound)___________________________________ (boundl007)____________________ 1.00000000000000002e-03
 dr_cs____________________________________________________________________ (itvar008)_____________________ 5.73099483458538672e-01
 dr_cs_(final_value/initial_value)________________________________________ (xcm008)_______________________ 1.14619896691707734e+00
 dr_cs_(range_normalised)_________________________________________________ (nitvar008)____________________ 2.81545859235606925e-02
 dr_cs_(upper_bound)______________________________________________________ (boundu008)____________________ 1.00000000000000000e+01
 dr_cs_(lower_bound)______________________________________________________ (boundl008)____________________ 2.99999999999999989e-01
 q95______________________________________________________________________ (itvar009)_____________________ 3.10086205113609736e+00
 q95_(final_value/initial_value)__________________________________________ (xcm009)_______________________ 8.85960586038884945e-01
 q95_(range_normalised)___________________________________________________ (nitvar009)____________________ 2.14600108800207419e-03
 q95_(upper_bound)________________________________________________________ (boundu009)____________________ 5.00000000000000000e+01
 q95_(lower_bound)________________________________________________________ (boundl009)____________________ 3.00000000000000000e+00
 ft_burn_min______________________________________________________________ (itvar010)_____________________ 9.91441142539096876e-01
 ft_burn_min_(final_value/initial_value)__________________________________ (xcm010)_______________________ 9.91441142539096876e-01
 ft_burn_min_(range_normalised)___________________________________________ (nitvar010)____________________ 9.91432575114211123e-01
 ft_burn_min_(upper_bound)________________________________________________ (boundu010)____________________ 1.00000000000000000e+00
 ft_burn_min_(lower_bound)________________________________________________ (boundl010)____________________ 1.00000000000000002e-03
 fp_plant_electric_net_required_mw________________________________________ (itvar011)_____________________ 9.27292699695419498e-01
 fp_plant_electric_net_required_mw_(final_value/initial_value)____________ (xcm011)_______________________ 9.27292699695419498e-01
 fp_plant_electric_net_required_mw_(range_normalised)_____________________ (nitvar011)____________________ 9.27219919615034582e-01
 fp_plant_electric_net_required_mw_(upper_bound)__________________________ (boundu011)____________________ 1.00000000000000000e+00
 fp_plant_electric_net_required_mw_(lower_bound)__________________________ (boundl011)____________________ 1.00000000000000002e-03
 fp_fusion_total_max_mw___________________________________________________ (itvar012)_____________________ 5.92719008968682237e-01
 fp_fusion_total_max_mw_(final_value/initial_value)_______________________ (xcm012)_______________________ 5.92719008968682237e-01
 fp_fusion_total_max_mw_(range_normalised)________________________________ (nitvar012)____________________ 5.92311320288971155e-01
 fp_fusion_total_max_mw_(upper_bound)_____________________________________ (boundu012)____________________ 1.00000000000000000e+00
 fp_fusion_total_max_mw_(lower_bound)_____________________________________ (boundl012)____________________ 1.00000000000000002e-03
 dr_bore__________________________________________________________________ (itvar013)_____________________ 2.10115523199076915e+00
 dr_bore_(final_value/initial_value)______________________________________ (xcm013)_______________________ 1.05057761599538457e+00
 dr_bore_(range_normalised)_______________________________________________ (nitvar013)____________________ 2.02136892120279688e-01
 dr_bore_(upper_bound)____________________________________________________ (boundu013)____________________ 1.00000000000000000e+01
 dr_bore_(lower_bound)____________________________________________________ (boundl013)____________________ 1.00000000000000006e-01
 fb_tf_inboard_max________________________________________________________ (itvar014)_____________________ 7.81545458120707526e-01
 fb_tf_inboard_max_(final_value/initial_value)____________________________ (xcm014)_______________________ 7.81545458120707526e-01
 fb_tf_inboard_max_(range_normalised)_____________________________________ (nitvar014)____________________ 7.81326784905613136e-01
 fb_tf_inboard_max_(upper_bound)__________________________________________ (boundu014)____________________ 1.00000000000000000e+00
 fb_tf_inboard_max_(lower_bound)__________________________________________ (boundl014)____________________ 1.00000000000000002e-03
 fbeta_max________________________________________________________________ (itvar015)_____________________ 6.00723269911989655e-01
 fbeta_max_(final_value/initial_value)____________________________________ (xcm015)_______________________ 1.20144653982397931e+00
 fbeta_max_(range_normalised)_____________________________________________ (nitvar015)____________________ 6.00323593505495134e-01
 fbeta_max_(upper_bound)__________________________________________________ (boundu015)____________________ 1.00000000000000000e+00
 fbeta_max_(lower_bound)__________________________________________________ (boundl015)____________________ 1.00000000000000002e-03
 j_cs_flat_top_end________________________________________________________ (itvar016)_____________________ 2.06960657714927047e+07
 j_cs_flat_top_end_(final_value/initial_value)____________________________ (xcm016)_______________________ 1.37973771809951362e+00
 j_cs_flat_top_end_(range_normalised)_____________________________________ (nitvar016)____________________ 2.06166824539466526e-01
 j_cs_flat_top_end_(upper_bound)__________________________________________ (boundu016)____________________ 1.00000000000000000e+08
 j_cs_flat_top_end_(lower_bound)__________________________________________ (boundl016)____________________ 1.00000000000000000e+05
 fjohc____________________________________________________________________ (itvar017)_____________________ 5.75724477424969794e-01
 fjohc_(final_value/initial_value)________________________________________ (xcm017)_______________________ 9.59540795708282990e-01
 fjohc_(range_normalised)_________________________________________________ (nitvar017)____________________ 5.71438866085827946e-01
 fjohc_(upper_bound)______________________________________________________ (boundu017)____________________ 1.00000000000000000e+00
 fjohc_(lower_bound)______________________________________________________ (boundl017)____________________ 1.00000000000000002e-02
 fjohc0___________________________________________________________________ (itvar018)_____________________ 5.25251008808106046e-01
 fjohc0_(final_value/initial_value)_______________________________________ (xcm018)_______________________ 8.75418348013510150e-01
 fjohc0_(range_normalised)________________________________________________ (nitvar018)____________________ 5.24775784592698802e-01
 fjohc0_(upper_bound)_____________________________________________________ (boundu018)____________________ 1.00000000000000000e+00
 fjohc0_(lower_bound)_____________________________________________________ (boundl018)____________________ 1.00000000000000002e-03
 f_j_cs_start_pulse_end_flat_top__________________________________________ (itvar019)_____________________ 9.25871507490766965e-01
 f_j_cs_start_pulse_end_flat_top_(final_value/initial_value)______________ (xcm019)_______________________ 1.02874611943418559e+00
 f_j_cs_start_pulse_end_flat_top_(range_normalised)_______________________ (nitvar019)____________________ 9.25797304795562548e-01
 f_j_cs_start_pulse_end_flat_top_(upper_bound)____________________________ (boundu019)____________________ 1.00000000000000000e+00
 f_j_cs_start_pulse_end_flat_top_(lower_bound)____________________________ (boundl019)____________________ 9.99999999999999804e-04
 f_c_plasma_non_inductive_________________________________________________ (itvar020)_____________________ 4.54486384741878746e-01
 f_c_plasma_non_inductive_(final_value/initial_value)_____________________ (xcm020)_______________________ 1.13621596185469675e+00
 f_c_plasma_non_inductive_(range_normalised)______________________________ (nitvar020)____________________ 4.53940325066945649e-01
 f_c_plasma_non_inductive_(upper_bound)___________________________________ (boundu020)____________________ 1.00000000000000000e+00
 f_c_plasma_non_inductive_(lower_bound)___________________________________ (boundl020)____________________ 1.00000000000000002e-03
 fp_hcd_injected_max______________________________________________________ (itvar021)_____________________ 4.79448435557652208e-01
 fp_hcd_injected_max_(final_value/initial_value)__________________________ (xcm021)_______________________ 4.79448435557652208e-01
 fp_hcd_injected_max_(range_normalised)___________________________________ (nitvar021)____________________ 4.78927362920572808e-01
 fp_hcd_injected_max_(upper_bound)________________________________________ (boundu021)____________________ 1.00000000000000000e+00
 fp_hcd_injected_max_(lower_bound)________________________________________ (boundl021)____________________ 1.00000000000000002e-03
 fstrcase_________________________________________________________________ (itvar022)_____________________ 9.70083990853510381e-01
 fstrcase_(final_value/initial_value)_____________________________________ (xcm022)_______________________ 9.70083990853510381e-01
 fstrcase_(range_normalised)______________________________________________ (nitvar022)____________________ 9.70054044898408740e-01
 fstrcase_(upper_bound)___________________________________________________ (boundu022)____________________ 1.00000000000000000e+00
 fstrcase_(lower_bound)___________________________________________________ (boundl022)____________________ 1.00000000000000002e-03
 fstrcond_________________________________________________________________ (itvar023)_____________________ 8.38751366917268371e-01
 fstrcond_(final_value/initial_value)_____________________________________ (xcm023)_______________________ 8.38751366917268371e-01
 fstrcond_(range_normalised)______________________________________________ (nitvar023)____________________ 8.38589956874142506e-01
 fstrcond_(upper_bound)___________________________________________________ (boundu023)____________________ 1.00000000000000000e+00
 fstrcond_(lower_bound)___________________________________________________ (boundl023)____________________ 1.00000000000000002e-03
 fiooic___________________________________________________________________ (itvar024)_____________________ 7.38268578119690044e-01
 fiooic_(final_value/initial_value)_______________________________________ (xcm024)_______________________ 1.13579781249183087e+00
 fiooic_(range_normalised)________________________________________________ (nitvar024)____________________ 7.38006584704394508e-01
 fiooic_(upper_bound)_____________________________________________________ (boundu024)____________________ 1.00000000000000000e+00
 fiooic_(lower_bound)_____________________________________________________ (boundl024)____________________ 1.00000000000000002e-03
 fvdump___________________________________________________________________ (itvar025)_____________________ 9.45601946405307148e-01
 fvdump_(final_value/initial_value)_______________________________________ (xcm025)_______________________ 9.45601946405307148e-01
 fvdump_(range_normalised)________________________________________________ (nitvar025)____________________ 9.45547493899206337e-01
 fvdump_(upper_bound)_____________________________________________________ (boundu025)____________________ 1.00000000000000000e+00
 fvdump_(lower_bound)_____________________________________________________ (boundl025)____________________ 1.00000000000000002e-03
 fjprot___________________________________________________________________ (itvar026)_____________________ 9.65900434018623133e-01
 fjprot_(final_value/initial_value)_______________________________________ (xcm026)_______________________ 9.65900434018623133e-01
 fjprot_(range_normalised)________________________________________________ (nitvar026)____________________ 9.65866300318942050e-01
 fjprot_(upper_bound)_____________________________________________________ (boundu026)____________________ 1.00000000000000000e+00
 fjprot_(lower_bound)_____________________________________________________ (boundl026)____________________ 1.00000000000000002e-03
 ftmargtf_________________________________________________________________ (itvar027)_____________________ 9.64140858470152184e-01
 ftmargtf_(final_value/initial_value)_____________________________________ (xcm027)_______________________ 9.64140858470152184e-01
 ftmargtf_(range_normalised)______________________________________________ (nitvar027)____________________ 9.64104963433585760e-01
 ftmargtf_(upper_bound)___________________________________________________ (boundu027)____________________ 1.00000000000000000e+00
 ftmargtf_(lower_bound)___________________________________________________ (boundl027)____________________ 1.00000000000000002e-03
 tdmptf___________________________________________________________________ (itvar028)_____________________ 1.48811259918412979e+01
 tdmptf_(final_value/initial_value)_______________________________________ (xcm028)_______________________ 5.95245039673651943e-01
 tdmptf_(range_normalised)________________________________________________ (nitvar028)____________________ 1.47959219137550529e-01
 tdmptf_(upper_bound)_____________________________________________________ (boundu028)____________________ 1.00000000000000000e+02
 tdmptf_(lower_bound)_____________________________________________________ (boundl028)____________________ 1.00000000000000006e-01
 dr_tf_nose_case__________________________________________________________ (itvar029)_____________________ 1.94384059192914349e-01
