 # PROCESS #
 # Power Reactor Optimisation Code #
 # PROCESS #
 # Power Reactor Optimisation Code #
 PROCESS_version_________________________________________________________ (procver)_____________________     "3.1.0"
 Date_of_run_____________________________________________________________ (date)________________________     "08/04/2025 UTC"
 Time_of_run_____________________________________________________________ (time)________________________     "10:46"
 User____________________________________________________________________ (username)____________________     "runner"
 PROCESS_run_title_______________________________________________________ (runtitle)____________________     "Generic large tokamak"
 PROCESS_git_tag_________________________________________________________ (tagno)_______________________     ""
 PROCESS_git_branch______________________________________________________ (branch_name)_________________     ""
 Input_filename__________________________________________________________ (fileprefix)__________________     "/home/runner/work/PROCESS/PROCESS/tests/regression/input_files/large_tokamak.IN.DAT"
 Optimisation_switch_____________________________________________________ (ioptimz)_____________________              1    
 # Numerics #
 VMCON_error_flag________________________________________________________ (ifail)_______________________              1    
 # PROCESS found a feasible solution #
 Number_of_iteration_variables___________________________________________ (nvar)________________________             44    
 Number_of_constraints_(total)___________________________________________ (neqns+nineqns)_______________             26    
 Optimisation_switch_____________________________________________________ (ioptimz)_____________________              1    
 Figure_of_merit_switch__________________________________________________ (minmax)______________________              1    
 Objective_function_name_________________________________________________ (objf_name)___________________     "major radius"                          
 Normalised_objective_function____________________________________________ (norm_objf)____________________ 1.60000000000000009e+00 OP
 Square_root_of_the_sum_of_squares_of_the_constraint_residuals____________ (sqsumsq)______________________ 6.41352031749140841e-04 OP
 VMCON_convergence_parameter______________________________________________ (convergence_parameter)________ 5.34019068850729592e-08 OP
 Number_of_VMCON_iterations______________________________________________ (nviter)______________________              8 OP 
 bt_______________________________________________________________________ (itvar001)_____________________ 5.15698290780365731e+00
 bt_(final_value/initial_value)___________________________________________ (xcm001)_______________________ 9.04733843474325838e-01
 bt_(range_normalised)____________________________________________________ (nitvar001)____________________ 1.71623304695020268e-01
 rmajor___________________________________________________________________ (itvar002)_____________________ 8.00000000000000000e+00
 rmajor_(final_value/initial_value)_______________________________________ (xcm002)_______________________ 1.00000000000000000e+00
 rmajor_(range_normalised)________________________________________________ (nitvar002)____________________ 0.00000000000000000e+00
 te_______________________________________________________________________ (itvar003)_____________________ 1.26026886821464519e+01
 te_(final_value/initial_value)___________________________________________ (xcm003)_______________________ 1.05022405684553766e+00
 te_(range_normalised)____________________________________________________ (nitvar003)____________________ 7.51068970378853118e-02
 beta_____________________________________________________________________ (itvar004)_____________________ 3.61137349340415470e-02
 beta_(final_value/initial_value)_________________________________________ (xcm004)_______________________ 1.20379116446805168e+00
 beta_(range_normalised)__________________________________________________ (nitvar004)____________________ 3.51488838178594040e-02
 dene_____________________________________________________________________ (itvar005)_____________________ 8.15942029851984855e+19
 dene_(final_value/initial_value)_________________________________________ (xcm005)_______________________ 1.08792270646931311e+00
 dene_(range_normalised)__________________________________________________ (nitvar005)____________________ 6.28512275359168204e-02
 hfact____________________________________________________________________ (itvar006)_____________________ 1.18356920862181481e+00
 hfact_(final_value/initial_value)________________________________________ (xcm006)_______________________ 1.07597200783801328e+00
 hfact_(range_normalised)_________________________________________________ (nitvar006)____________________ 9.85062916928922450e-01
 dr_tf_inboard____________________________________________________________ (itvar007)_____________________ 1.19999999999999996e+00
 dr_tf_inboard_(final_value/initial_value)________________________________ (xcm007)_______________________ 1.00000000000000000e+00
 dr_tf_inboard_(range_normalised)_________________________________________ (nitvar007)____________________ 1.16279069767441845e-01
 fwalld___________________________________________________________________ (itvar008)_____________________ 5.24323563604280785e-01
 fwalld_(final_value/initial_value)_______________________________________ (xcm008)_______________________ 5.24323563604280785e-01
 fwalld_(range_normalised)________________________________________________ (nitvar008)____________________ 5.23847411015296083e-01
 dr_cs____________________________________________________________________ (itvar009)_____________________ 5.65364518806108718e-01
 dr_cs_(final_value/initial_value)________________________________________ (xcm009)_______________________ 1.13072903761221744e+00
 dr_cs_(range_normalised)_________________________________________________ (nitvar009)____________________ 2.73571668872277067e-02
 q95______________________________________________________________________ (itvar010)_____________________ 3.46309139010946732e+00
 q95_(final_value/initial_value)__________________________________________ (xcm010)_______________________ 9.89454682888419201e-01
 q95_(range_normalised)___________________________________________________ (nitvar010)____________________ 9.85300830020143480e-03
 ft_burn__________________________________________________________________ (itvar011)_____________________ 9.89153074596431092e-01
 ft_burn_(final_value/initial_value)______________________________________ (xcm011)_______________________ 9.89153074596431092e-01
 ft_burn_(range_normalised)_______________________________________________ (nitvar011)____________________ 9.89142216813244324e-01
 fpnetel__________________________________________________________________ (itvar012)_____________________ 9.80321656556841114e-01
 fpnetel_(final_value/initial_value)______________________________________ (xcm012)_______________________ 9.80321656556841114e-01
 fpnetel_(range_normalised)_______________________________________________ (nitvar012)____________________ 9.80301958515356509e-01
 ffuspow__________________________________________________________________ (itvar013)_____________________ 5.58784015044900162e-01
 ffuspow_(final_value/initial_value)______________________________________ (xcm013)_______________________ 5.58784015044900162e-01
 ffuspow_(range_normalised)_______________________________________________ (nitvar013)____________________ 5.58342357402302425e-01
 dr_bore__________________________________________________________________ (itvar014)_____________________ 2.01910493056104379e+00
 dr_bore_(final_value/initial_value)______________________________________ (xcm014)_______________________ 1.00955246528052189e+00
 dr_bore_(range_normalised)_______________________________________________ (nitvar014)____________________ 1.93848982884953891e-01
 fpeakb___________________________________________________________________ (itvar015)_____________________ 8.47363971983025155e-01
 fpeakb_(final_value/initial_value)_______________________________________ (xcm015)_______________________ 8.47363971983025155e-01
 fpeakb_(range_normalised)________________________________________________ (nitvar015)____________________ 8.47211183166191373e-01
 fbeta_max________________________________________________________________ (itvar016)_____________________ 5.38258733375724385e-01
 fbeta_max_(final_value/initial_value)____________________________________ (xcm016)_______________________ 1.07651746675144877e+00
 fbeta_max_(range_normalised)_____________________________________________ (nitvar016)____________________ 5.37796529905629983e-01
 j_cs_flat_top_end________________________________________________________ (itvar017)_____________________ 2.06571873757158034e+07
 j_cs_flat_top_end_(final_value/initial_value)____________________________ (xcm017)_______________________ 1.37714582504772021e+00
 j_cs_flat_top_end_(range_normalised)_____________________________________ (nitvar017)____________________ 2.05777651408566603e-01
 fjohc____________________________________________________________________ (itvar018)_____________________ 5.82462187457252978e-01
 fjohc_(final_value/initial_value)________________________________________ (xcm018)_______________________ 9.70770312428755000e-01
 fjohc_(range_normalised)_________________________________________________ (nitvar018)____________________ 5.78244633795204965e-01
 fjohc0___________________________________________________________________ (itvar019)_____________________ 5.41690402271626126e-01
 fjohc0_(final_value/initial_value)_______________________________________ (xcm019)_______________________ 9.02817337119376839e-01
 fjohc0_(range_normalised)________________________________________________ (nitvar019)____________________ 5.41231633905531639e-01
 f_j_cs_start_pulse_end_flat_top__________________________________________ (itvar020)_____________________ 9.33055691707048496e-01
 f_j_cs_start_pulse_end_flat_top_(final_value/initial_value)______________ (xcm020)_______________________ 1.03672854634116507e+00
 f_j_cs_start_pulse_end_flat_top_(range_normalised)_______________________ (nitvar020)____________________ 9.32988680387435987e-01
 fvsbrnni_________________________________________________________________ (itvar021)_____________________ 4.50934131236729596e-01
 fvsbrnni_(final_value/initial_value)_____________________________________ (xcm021)_______________________ 1.12733532809182391e+00
 fvsbrnni_(range_normalised)______________________________________________ (nitvar021)____________________ 4.50384515752482062e-01
 fpinj____________________________________________________________________ (itvar022)_____________________ 4.32205491581215961e-01
 fpinj_(final_value/initial_value)________________________________________ (xcm022)_______________________ 4.32205491581215961e-01
 fpinj_(range_normalised)_________________________________________________ (nitvar022)____________________ 4.31637128709925877e-01
 fstrcase_________________________________________________________________ (itvar023)_____________________ 9.84322121533819150e-01
 fstrcase_(final_value/initial_value)_____________________________________ (xcm023)_______________________ 9.84322121533819150e-01
 fstrcase_(range_normalised)______________________________________________ (nitvar023)____________________ 9.84306427961780916e-01
 fstrcond_________________________________________________________________ (itvar024)_____________________ 8.38163279406025308e-01
 fstrcond_(final_value/initial_value)_____________________________________ (xcm024)_______________________ 8.38163279406025308e-01
 fstrcond_(range_normalised)______________________________________________ (nitvar024)____________________ 8.38001280686711980e-01
 fiooic___________________________________________________________________ (itvar025)_____________________ 7.18124469338508709e-01
 fiooic_(final_value/initial_value)_______________________________________ (xcm025)_______________________ 1.10480687590539794e+00
 fiooic_(range_normalised)________________________________________________ (nitvar025)____________________ 7.17842311650158882e-01
 fvdump___________________________________________________________________ (itvar026)_____________________ 9.18458804592476974e-01
 fvdump_(final_value/initial_value)_______________________________________ (xcm026)_______________________ 9.18458804592476974e-01
 fvdump_(range_normalised)________________________________________________ (nitvar026)____________________ 9.18377181774251206e-01
 fjprot___________________________________________________________________ (itvar027)_____________________ 9.81423034747639589e-01
 fjprot_(final_value/initial_value)_______________________________________ (xcm027)_______________________ 9.81423034747639589e-01
 fjprot_(range_normalised)________________________________________________ (nitvar027)____________________ 9.81404439186826405e-01
 ftmargtf_________________________________________________________________ (itvar028)_____________________ 9.68192719377703348e-01
 ftmargtf_(final_value/initial_value)_____________________________________ (xcm028)_______________________ 9.68192719377703348e-01
 ftmargtf_(range_normalised)______________________________________________ (nitvar028)____________________ 9.68160880257961320e-01
 tdmptf___________________________________________________________________ (itvar029)_____________________ 1.84850542235587625e+01
 tdmptf_(final_value/initial_value)_______________________________________ (xcm029)_______________________ 7.39402168942350446e-01
 tdmptf_(range_normalised)________________________________________________ (nitvar029)____________________ 1.84034576812400014e-01
 thkcas___________________________________________________________________ (itvar030)_____________________ 2.57315231127353272e-01
 thkcas_(final_value/initial_value)_______________________________________ (xcm030)_______________________ 5.14630462254706544e-01
 thkcas_(range_normalised)________________________________________________ (nitvar030)____________________ 2.18226559081424520e-01
 thwcndut_________________________________________________________________ (itvar031)_____________________ 8.06264113321366639e-03
 thwcndut_(final_value/initial_value)_____________________________________ (xcm031)_______________________ 1.00783014165170837e+00
 thwcndut_(range_normalised)______________________________________________ (nitvar031)____________________ 6.80881882757249286e-04
 fcutfsu__________________________________________________________________ (itvar032)_____________________ 8.53343029456546831e-01
 fcutfsu_(final_value/initial_value)______________________________________ (xcm032)_______________________ 1.06667878682068351e+00
 fcutfsu_(range_normalised)_______________________________________________ (nitvar032)____________________ 8.03052339673970272e-01
 cpttf____________________________________________________________________ (itvar033)_____________________ 8.46116035645407246e+04
 cpttf_(final_value/initial_value)________________________________________ (xcm033)_______________________ 1.30171697791601115e+00
 cpttf_(range_normalised)_________________________________________________ (nitvar033)____________________ 7.84464142581629109e-01
 fl_h_threshold___________________________________________________________ (itvar034)_____________________ 6.02608315942132711e-01
 fl_h_threshold_(final_value/initial_value)_______________________________ (xcm034)_______________________ 6.02608315942132711e-01
