 # PROCESS #
 # Power Reactor Optimisation Code #
 # PROCESS #
 # Power Reactor Optimisation Code #
 PROCESS_version_________________________________________________________ (procver)_____________________     "3.1.0"
 Date_of_run_____________________________________________________________ (date)________________________     "16/05/2025 UTC"
 Time_of_run_____________________________________________________________ (time)________________________     "14:51"
 User____________________________________________________________________ (username)____________________     "runner"
 PROCESS_run_title_______________________________________________________ (runtitle)____________________     "Generic large tokamak"
 PROCESS_git_tag_________________________________________________________ (tagno)_______________________     ""
 PROCESS_git_branch______________________________________________________ (branch_name)_________________     ""
 Input_filename__________________________________________________________ (fileprefix)__________________     "/home/runner/work/PROCESS/PROCESS/tests/regression/input_files/large_tokamak_nof.IN.DAT"
 Optimisation_switch_____________________________________________________ (ioptimz)_____________________              1    
 # Numerics #
 VMCON_error_flag________________________________________________________ (ifail)_______________________              1    
 # PROCESS found a feasible solution #
 Number_of_iteration_variables___________________________________________ (nvar)________________________             21    
 Number_of_constraints_(total)___________________________________________ (neqns+nineqns)_______________             26    
 Optimisation_switch_____________________________________________________ (ioptimz)_____________________              1    
 Figure_of_merit_switch__________________________________________________ (minmax)______________________              1    
 Objective_function_name_________________________________________________ (objf_name)___________________     "major radius"                          
 Normalised_objective_function____________________________________________ (norm_objf)____________________ 1.60000000000000409e+00 OP
 Square_root_of_the_sum_of_squares_of_the_constraint_residuals____________ (sqsumsq)______________________ 5.05612092338873157e-05 OP
 VMCON_convergence_parameter______________________________________________ (convergence_parameter)________ 4.04374197535171718e-12 OP
 Number_of_VMCON_iterations______________________________________________ (nviter)______________________             54 OP 
 bt_______________________________________________________________________ (itvar001)_____________________ 4.86305085629619782e+00
 bt_(final_value/initial_value)___________________________________________ (xcm001)_______________________ 8.53166816894069813e-01
 bt_(range_normalised)____________________________________________________ (nitvar001)____________________ 1.61822302644087979e-01
 rmajor___________________________________________________________________ (itvar002)_____________________ 8.00000000000001954e+00
 rmajor_(final_value/initial_value)_______________________________________ (xcm002)_______________________ 1.00000000000000244e+00
 rmajor_(range_normalised)________________________________________________ (nitvar002)____________________ 1.95399252334027551e-14
 te_______________________________________________________________________ (itvar003)_____________________ 1.36021453532422232e+01
 te_(final_value/initial_value)___________________________________________ (xcm003)_______________________ 1.13351211277018527e+00
 te_(range_normalised)____________________________________________________ (nitvar003)____________________ 8.56837736930956273e-02
 beta_____________________________________________________________________ (itvar004)_____________________ 4.63009412840299922e-02
 beta_(final_value/initial_value)_________________________________________ (xcm004)_______________________ 1.54336470946766635e+00
 beta_(range_normalised)__________________________________________________ (nitvar004)____________________ 4.53462875716015845e-02
 dene_____________________________________________________________________ (itvar005)_____________________ 8.71676429884982886e+19
 dene_(final_value/initial_value)_________________________________________ (xcm005)_______________________ 1.16223523984664379e+00
 dene_(range_normalised)__________________________________________________ (nitvar005)____________________ 6.85384112127533501e-02
 hfact____________________________________________________________________ (itvar006)_____________________ 1.14149516135921880e+00
 hfact_(final_value/initial_value)________________________________________ (xcm006)_______________________ 1.03772287396292606e+00
 hfact_(range_normalised)_________________________________________________ (nitvar006)____________________ 9.46813783053835234e-01
 dr_tf_inboard____________________________________________________________ (itvar007)_____________________ 1.19999999999999996e+00
 dr_tf_inboard_(final_value/initial_value)________________________________ (xcm007)_______________________ 1.00000000000000000e+00
 dr_tf_inboard_(range_normalised)_________________________________________ (nitvar007)____________________ 1.16279069767441845e-01
 dr_cs____________________________________________________________________ (itvar008)_____________________ 4.26573922103015424e-01
 dr_cs_(final_value/initial_value)________________________________________ (xcm008)_______________________ 8.53147844206030848e-01
 dr_cs_(range_normalised)_________________________________________________ (nitvar008)____________________ 1.30488579487644790e-02
 q95______________________________________________________________________ (itvar009)_____________________ 3.00310993536484361e+00
 q95_(final_value/initial_value)__________________________________________ (xcm009)_______________________ 8.58031410104240999e-01
 q95_(range_normalised)___________________________________________________ (nitvar009)____________________ 6.61688375498651905e-05
