 # PROCESS #
 # Power Reactor Optimisation Code #
 # PROCESS #
 # Power Reactor Optimisation Code #
 PROCESS_version_________________________________________________________ (procver)_____________________     "3.1.0"
 Date_of_run_____________________________________________________________ (date)________________________     "19/03/2025 UTC"
 Time_of_run_____________________________________________________________ (time)________________________     "15:38"
 User____________________________________________________________________ (username)____________________     "runner"
 PROCESS_run_title_______________________________________________________ (runtitle)____________________     "Generic large tokamak"
 PROCESS_git_tag_________________________________________________________ (tagno)_______________________     ""
 PROCESS_git_branch______________________________________________________ (branch_name)_________________     ""
 Input_filename__________________________________________________________ (fileprefix)__________________     "/home/runner/work/PROCESS/PROCESS/tests/regression/input_files/large_tokamak_nof.IN.DAT"
 Optimisation_switch_____________________________________________________ (ioptimz)_____________________              1    
 # Numerics #
 VMCON_error_flag________________________________________________________ (ifail)_______________________              1    
 # PROCESS found a feasible solution #
 Number_of_iteration_variables___________________________________________ (nvar)________________________             21    
 Number_of_constraints_(total)___________________________________________ (neqns+nineqns)_______________             26    
 Optimisation_switch_____________________________________________________ (ioptimz)_____________________              1    
 Figure_of_merit_switch__________________________________________________ (minmax)______________________              1    
 Objective_function_name_________________________________________________ (objf_name)___________________     "major radius"                          
 Normalised_objective_function____________________________________________ (norm_objf)____________________ 1.60000000000000009e+00 OP
 Square_root_of_the_sum_of_squares_of_the_constraint_residuals____________ (sqsumsq)______________________ 2.22044604925031308e-16 OP
 VMCON_convergence_parameter______________________________________________ (convergence_parameter)________ 1.17981164596340292e-19 OP
 Number_of_VMCON_iterations______________________________________________ (nviter)______________________             13 OP 
 bt_______________________________________________________________________ (itvar001)_____________________ 4.81441608961426493e+00
 bt_(final_value/initial_value)___________________________________________ (xcm001)_______________________ 8.44634401686713110e-01
 bt_(range_normalised)____________________________________________________ (nitvar001)____________________ 1.60200603188204921e-01
 rmajor___________________________________________________________________ (itvar002)_____________________ 8.00000000000000000e+00
 rmajor_(final_value/initial_value)_______________________________________ (xcm002)_______________________ 1.00000000000000000e+00
 rmajor_(range_normalised)________________________________________________ (nitvar002)____________________ 0.00000000000000000e+00
 te_______________________________________________________________________ (itvar003)_____________________ 1.24987987176138624e+01
 te_(final_value/initial_value)___________________________________________ (xcm003)_______________________ 1.04156655980115520e+00
 te_(range_normalised)____________________________________________________ (nitvar003)____________________ 7.40074683459234633e-02
 beta_____________________________________________________________________ (itvar004)_____________________ 4.09447940234207788e-02
 beta_(final_value/initial_value)_________________________________________ (xcm004)_______________________ 1.36482646744735936e+00
 beta_(range_normalised)__________________________________________________ (nitvar004)____________________ 3.99847788022229950e-02
 dene_____________________________________________________________________ (itvar005)_____________________ 8.21646327029968896e+19
 dene_(final_value/initial_value)_________________________________________ (xcm005)_______________________ 1.09552843603995842e+00
 dene_(range_normalised)__________________________________________________ (nitvar005)____________________ 6.34332986765274304e-02
 hfact____________________________________________________________________ (itvar006)_____________________ 1.18534680294641181e+00
 hfact_(final_value/initial_value)________________________________________ (xcm006)_______________________ 1.07758800267855603e+00
 hfact_(range_normalised)_________________________________________________ (nitvar006)____________________ 9.86678911769465206e-01
 dr_tf_inboard____________________________________________________________ (itvar007)_____________________ 1.19999999999999996e+00
 dr_tf_inboard_(final_value/initial_value)________________________________ (xcm007)_______________________ 1.00000000000000000e+00
 dr_tf_inboard_(range_normalised)_________________________________________ (nitvar007)____________________ 1.16279069767441845e-01
 dr_cs____________________________________________________________________ (itvar008)_____________________ 5.60278343860155514e-01
 dr_cs_(final_value/initial_value)________________________________________ (xcm008)_______________________ 1.12055668772031103e+00
 dr_cs_(range_normalised)_________________________________________________ (nitvar008)____________________ 2.68328189546552104e-02
 q95______________________________________________________________________ (itvar009)_____________________ 3.21073084543991794e+00
 q95_(final_value/initial_value)__________________________________________ (xcm009)_______________________ 9.17351670125690855e-01
 q95_(range_normalised)___________________________________________________ (nitvar009)____________________ 4.48363500935996129e-03
 dr_bore__________________________________________________________________ (itvar010)_____________________ 2.09899190968366556e+00
 dr_bore_(final_value/initial_value)______________________________________ (xcm010)_______________________ 1.04949595484183278e+00
 dr_bore_(range_normalised)_______________________________________________ (nitvar010)____________________ 2.01918374715521765e-01
 j_cs_flat_top_end________________________________________________________ (itvar011)_____________________ 1.96515552894611694e+07
 j_cs_flat_top_end_(final_value/initial_value)____________________________ (xcm011)_______________________ 1.31010368596407800e+00
 j_cs_flat_top_end_(range_normalised)_____________________________________ (nitvar011)____________________ 1.95711264158770465e-01
 fvsbrnni_________________________________________________________________ (itvar012)_____________________ 4.45952493368434177e-01
 fvsbrnni_(final_value/initial_value)_____________________________________ (xcm012)_______________________ 1.11488123342108536e+00
 fvsbrnni_(range_normalised)______________________________________________ (nitvar012)____________________ 4.45397891259693868e-01
 tdmptf___________________________________________________________________ (itvar013)_____________________ 1.96244947934198493e+01
 tdmptf_(final_value/initial_value)_______________________________________ (xcm013)_______________________ 7.84979791736793997e-01
 tdmptf_(range_normalised)________________________________________________ (nitvar013)____________________ 1.95440388322521030e-01
 thkcas___________________________________________________________________ (itvar014)_____________________ 1.98742204704394437e-01
 thkcas_(final_value/initial_value)_______________________________________ (xcm014)_______________________ 3.97484409408788875e-01
 thkcas_(range_normalised)________________________________________________ (nitvar014)____________________ 1.56570741794099411e-01
 thwcndut_________________________________________________________________ (itvar015)_____________________ 8.08741177364583931e-03
 thwcndut_(final_value/initial_value)_____________________________________ (xcm015)_______________________ 1.01092647170572980e+00
 thwcndut_(range_normalised)______________________________________________ (nitvar015)____________________ 9.50127974411287056e-04
 fcutfsu__________________________________________________________________ (itvar016)_____________________ 8.65764794841244356e-01
 fcutfsu_(final_value/initial_value)______________________________________ (xcm016)_______________________ 1.08220599355155533e+00
 fcutfsu_(range_normalised)_______________________________________________ (nitvar016)____________________ 8.31283624639191809e-01
 cpttf____________________________________________________________________ (itvar017)_____________________ 7.83046319110003387e+04
 cpttf_(final_value/initial_value)________________________________________ (xcm017)_______________________ 1.20468664478462051e+00
 cpttf_(range_normalised)_________________________________________________ (nitvar017)____________________ 5.32185276440013344e-01
 f_nd_alpha_electron______________________________________________________ (itvar018)_____________________ 8.86272534282459418e-02
 f_nd_alpha_electron_(final_value/initial_value)__________________________ (xcm018)_______________________ 8.86272534282459334e-01
 f_nd_alpha_electron_(range_normalised)___________________________________ (nitvar018)____________________ 7.72545068564918669e-01
 f_a_cs_steel_____________________________________________________________ (itvar019)_____________________ 5.03184813595529135e-01
 f_a_cs_steel_(final_value/initial_value)_________________________________ (xcm019)_______________________ 6.28981016994411446e-01
 f_a_cs_steel_(range_normalised)__________________________________________ (nitvar019)____________________ 5.29172617065889583e-01
 fimp(13)_________________________________________________________________ (itvar020)_____________________ 5.96035978000641485e-04
 fimp(13)_(final_value/initial_value)_____________________________________ (xcm020)_______________________ 1.56851573158063529e+00
 fimp(13)_(range_normalised)______________________________________________ (nitvar020)____________________ 5.96026574027215400e-02
 dr_tf_wp_________________________________________________________________ (itvar021)_____________________ 4.92623092656701789e-01
 dr_tf_wp_(final_value/initial_value)_____________________________________ (xcm021)_______________________ 9.85246185313403577e-01
 dr_tf_wp_(range_normalised)______________________________________________ (nitvar021)____________________ 5.78894329104386041e-02
 Beta_consistency__________________normalised_residue_____________________ (eq_con001)____________________ -2.22044604925031308e-16
 Global_power_balance_consistency__normalised_residue_____________________ (eq_con002)____________________ -0.00000000000000000e+00
 Radial_build_consistency__________normalised_residue_____________________ (eq_con011)____________________ -0.00000000000000000e+00
 Injection_power_upper_limit_normalised_residue___________________________ (ineq_con030)__________________ 1.38667245545038087e+00
 L-H_power_threshold_limit_normalised_residue_____________________________ (ineq_con015)__________________ 4.34003633650555942e-01
 Net_electric_power_lower_limit_normalised_residue________________________ (ineq_con016)__________________ -0.00000000000000000e+00
 Beta_upper_limit_normalised_residue______________________________________ (ineq_con024)__________________ 1.00699220156745595e+00
 Peak_toroidal_field_upper_limit_normalised_residue_______________________ (ineq_con025)__________________ 2.64105269262778997e-01
 CS_coil_EOF_current_density_limit_normalised_residue_____________________ (ineq_con026)__________________ 1.37824469617546042e+00
 CS_coil_BOP_current_density_limit_normalised_residue_____________________ (ineq_con027)__________________ 8.65716894126384195e-01
 I_op_/_I_critical_(TF_coil)_normalised_residue___________________________ (ineq_con033)__________________ 5.06830531537232787e-01
 Dump_voltage_upper_limit_normalised_residue______________________________ (ineq_con034)__________________ 2.40185219418010298e-01
 J_winding_pack/J_protection_limit_normalised_residue_____________________ (ineq_con035)__________________ 1.63803146758045859e-02
 TF_coil_temp._margin_lower_limit_normalised_residue______________________ (ineq_con036)__________________ 3.15452255995021247e-01
 CS_temperature_margin_lower_limit_normalised_residue_____________________ (ineq_con060)__________________ 1.00368790466866642e-01
 f_alpha_energy_confinement_normalised_residue____________________________ (ineq_con062)__________________ 4.89068929658424301e-01
 Dump_time_set_by_VV_stress_normalised_residue____________________________ (ineq_con065)__________________ 1.79198687140935897e+00
 CS_Tresca_yield_criterion_normalised_residue_____________________________ (ineq_con072)__________________ 1.30452388738788727e-02
 ne0_>_neped_normalised_residue___________________________________________ (ineq_con081)__________________ 6.76783479349186035e-01
 Upper_Lim._on_Psep_*_Bt_/_q_A_R_normalised_residue_______________________ (ineq_con068)__________________ -0.00000000000000000e+00
 TF_coil_case_stress_upper_limit_normalised_residue_______________________ (ineq_con031)__________________ 3.30062520518579205e-02
 TF_coil_conduit_stress_upper_lim_normalised_residue______________________ (ineq_con032)__________________ 2.19876184368103189e-01
 Density_upper_limit_normalised_residue___________________________________ (ineq_con005)__________________ 2.22044604925031308e-16
 Neutron_wall_load_upper_limit_normalised_residue_________________________ (ineq_con008)__________________ 9.50371590906235575e-01
 Fusion_power_upper_limit_normalised_residue______________________________ (ineq_con009)__________________ 8.30109194806794015e-01
 Burn_time_lower_limit_normalised_residue_________________________________ (ineq_con013)__________________ 3.47836824942746592e-02
 # Final Feasible Point #
 # Power Reactor Costs (1990 US$) #
 First_wall_/_blanket_life_(years)________________________________________ (bktlife_cal)__________________ 4.87592897726558938e+00
 Divertor_life_(years)____________________________________________________ (divlife_cal)__________________ 3.65249182373404890e+00
 Cost_of_electricity_(m$/kWh)_____________________________________________ (coe)__________________________ 5.04056424171861977e+02
 # Detailed Costings (1990 US$) #
 Acc.22_multiplier_for_Nth_of_a_kind______________________________________ (fkind)________________________ 1.00000000000000000e+00
 Level_of_Safety_Assurance_______________________________________________ (lsa)_________________________              4    
 # Structures and Site Facilities #
 Site_improvements,_facilities,_land_(M$)_________________________________ (c211)_________________________ 3.52000000000000028e+01
 Reactor_building_cost_(M$)_______________________________________________ (c212)_________________________ 4.46441131974611210e+02
 Turbine_building_cost_(M$)_______________________________________________ (c213)_________________________ 3.80000000000000000e+01
 Reactor_maintenance_building_cost_(M$)___________________________________ (c2141)________________________ 1.03067666768745809e+02
 Warm_shop_cost_(M$)______________________________________________________ (c2142)________________________ 5.76412769151048892e+01
 Tritium_building_cost_(M$)_______________________________________________ (c215)_________________________ 1.47999999999999989e+01
 Electrical_equipment_building_cost_(M$)__________________________________ (c216)_________________________ 1.89946126180895405e+01
 Additional_buildings_cost_(M$)___________________________________________ (c2171)________________________ 1.80000000000000000e+01
 Control_room_buildings_cost_(M$)_________________________________________ (c2172)________________________ 2.10000000000000000e+01
 Shop_and_warehouses_cost_(M$)____________________________________________ (c2173)________________________ 1.14999999999999982e+01
 Cryogenic_building_cost_(M$)_____________________________________________ (c2174)________________________ 7.39614309734905007e+00
 Total_account_21_cost_(M$)_______________________________________________ (c21)__________________________ 7.72040831373900460e+02
 # Reactor Systems #
 First_wall_cost_(M$)_____________________________________________________ (c2211)________________________ 1.91300792106019372e+02
 Blanket_beryllium_cost_(M$)______________________________________________ (c22121)_______________________ 2.61092739746854420e+02
 Blanket_breeder_material_cost_(M$)_______________________________________ (c22122)_______________________ 6.39846060645797252e+02
 Blanket_stainless_steel_cost_(M$)________________________________________ (c22123)_______________________ 8.07261782413769993e+01
 Blanket_vanadium_cost_(M$)_______________________________________________ (c22124)_______________________ 0.00000000000000000e+00
 Blanket_total_cost_(M$)__________________________________________________ (c2212)________________________ 9.81664978634028785e+02
 Bulk_shield_cost_(M$)____________________________________________________ (c22131)_______________________ 7.83942026831749388e+01
 Penetration_shielding_cost_(M$)__________________________________________ (c22132)_______________________ 7.83942026831749388e+01
 Total_shield_cost_(M$)___________________________________________________ (c2213)________________________ 1.56788405366349878e+02
 Total_support_structure_cost_(M$)________________________________________ (c2214)________________________ 3.95262985454108460e+01
 Divertor_cost_(M$)_______________________________________________________ (c2215)________________________ 4.16600318607235351e+01
 Total_account_221_cost_(M$)______________________________________________ (c221)_________________________ 1.41094050651253247e+03
 # Magnets #
 TF_coil_conductor_cost_(M$)______________________________________________ (c22211)_______________________ 1.13078499696597660e+02
 TF_coil_winding_cost_(M$)________________________________________________ (c22212)_______________________ 5.63212430979612861e+01
 TF_coil_case_cost_(M$)___________________________________________________ (c22213)_______________________ 3.67799601188527106e+02
