 # PROCESS #
 # Power Reactor Optimisation Code #
 # PROCESS #
 # Power Reactor Optimisation Code #
 PROCESS_version_________________________________________________________ (procver)_____________________     "3.1.0"
 Date_of_run_____________________________________________________________ (date)________________________     "07/08/2025 UTC"
 Time_of_run_____________________________________________________________ (time)________________________     "10:00"
 User____________________________________________________________________ (username)____________________     "runner"
 PROCESS_run_title_______________________________________________________ (runtitle)____________________     "Generic large tokamak"
 PROCESS_git_tag_________________________________________________________ (tagno)_______________________     ""
 PROCESS_git_branch______________________________________________________ (branch_name)_________________     ""
 Input_filename__________________________________________________________ (fileprefix)__________________     "/home/runner/work/PROCESS/PROCESS/tests/regression/input_files/large_tokamak_nof.IN.DAT"
 Optimisation_switch_____________________________________________________ (ioptimz)_____________________              1    
 Figure_of_merit_switch__________________________________________________ (minmax)______________________              1    
 # Numerics #
 # PROCESS found a feasible solution #
 Error_flag______________________________________________________________ (ifail)_______________________              1    
 Number_of_iteration_variables___________________________________________ (nvar)________________________             20    
 Number_of_constraints_(total)___________________________________________ (neqns+nineqns)_______________             26    
 Optimisation_switch_____________________________________________________ (ioptimz)_____________________              1    
 Figure_of_merit_switch__________________________________________________ (minmax)______________________              1    
 Objective_function_name_________________________________________________ (objf_name)___________________     "major radius"                          
 Normalised_objective_function____________________________________________ (norm_objf)____________________ 1.60000000000000009e+00 OP
 Square_root_of_the_sum_of_squares_of_the_constraint_residuals____________ (sqsumsq)______________________ 3.14018491736755033e-16 OP
 VMCON_convergence_parameter______________________________________________ (convergence_parameter)________ 3.14562660828589756e-22 OP
 Number_of_optimising_solver_iterations__________________________________ (nviter)______________________             14 OP 
 bt_______________________________________________________________________ (itvar001)_____________________ 5.11453525226414740e+00
 bt_(final_value/initial_value)___________________________________________ (xcm001)_______________________ 8.97286886362131053e-01
 bt_(range_normalised)____________________________________________________ (nitvar001)____________________ 1.70207911045820198e-01
 bt_(upper_bound)_________________________________________________________ (boundu001)____________________ 2.99999999999999964e+01
 bt_(lower_bound)_________________________________________________________ (boundl001)____________________ 1.00000000000000002e-02
 rmajor___________________________________________________________________ (itvar002)_____________________ 8.00000000000000000e+00
 rmajor_(final_value/initial_value)_______________________________________ (xcm002)_______________________ 1.00000000000000000e+00
 rmajor_(range_normalised)________________________________________________ (nitvar002)____________________ 0.00000000000000000e+00
 rmajor_(upper_bound)_____________________________________________________ (boundu002)____________________ 9.00000000000000000e+00
 rmajor_(lower_bound)_____________________________________________________ (boundl002)____________________ 8.00000000000000000e+00
 te_______________________________________________________________________ (itvar003)_____________________ 1.29610476048824239e+01
