 # PROCESS #
 # Power Reactor Optimisation Code #
 # PROCESS #
 # Power Reactor Optimisation Code #
 PROCESS_version_________________________________________________________ (procver)_____________________     "3.1.0"
 Date_of_run_____________________________________________________________ (date)________________________     "31/01/2025 UTC"
 Time_of_run_____________________________________________________________ (time)________________________     "13:00"
 User____________________________________________________________________ (username)____________________     "runner"
 PROCESS_run_title_______________________________________________________ (runtitle)____________________     "Generic large tokamak"
 PROCESS_git_tag_________________________________________________________ (tagno)_______________________     ""
 PROCESS_git_branch______________________________________________________ (branch_name)_________________     ""
 Input_filename__________________________________________________________ (fileprefix)__________________     "/home/runner/work/PROCESS/PROCESS/tests/regression/input_files/large_tokamak_nof.IN.DAT"
 Optimisation_switch_____________________________________________________ (ioptimz)_____________________              1    
 # Cryostat build #
 Cryostat_thickness_(m)__________________________________________________ (dr_cryostat)_________________      1.5000000000000002E-01    
 Cryostat_intenral_half_height_(m)_______________________________________ (z_cryostat_half_inside)______      0.0000000000000000E+00    
 Vertical_clearance_from_highest_PF_coil_to_cryostat_(m)_________________ (dz_pf_cryostat)______________      0.0000000000000000E+00    
 Cryostat_structure_volume_(m^3)_________________________________________ (vol_cryostat)________________      0.0000000000000000E+00    
 Cryostat_internal_volume_(m^3)__________________________________________ (vol_cryostat_internal)_______      0.0000000000000000E+00    
 # Cryostat build #
 Cryostat_thickness_(m)__________________________________________________ (dr_cryostat)_________________      1.5000000000000002E-01    
 Cryostat_intenral_half_height_(m)_______________________________________ (z_cryostat_half_inside)______      1.5360561749555249E+01    
 Vertical_clearance_from_highest_PF_coil_to_cryostat_(m)_________________ (dz_pf_cryostat)______________      5.3778882086570876E+00    
 Cryostat_structure_volume_(m^3)_________________________________________ (vol_cryostat)________________      8.2863655571831987E+02    
 Cryostat_internal_volume_(m^3)__________________________________________ (vol_cryostat_internal)_______      3.0985669092917611E+04    
 # Cryostat build #
 Cryostat_thickness_(m)__________________________________________________ (dr_cryostat)_________________      1.5000000000000002E-01    
 Cryostat_intenral_half_height_(m)_______________________________________ (z_cryostat_half_inside)______      1.5483454814282624E+01    
 Vertical_clearance_from_highest_PF_coil_to_cryostat_(m)_________________ (dz_pf_cryostat)______________      5.3779431982790866E+00    
 Cryostat_structure_volume_(m^3)_________________________________________ (vol_cryostat)________________      8.3281615993725791E+02    
 Cryostat_internal_volume_(m^3)__________________________________________ (vol_cryostat_internal)_______      3.1234210472844727E+04    
 # Cryostat build #
 Cryostat_thickness_(m)__________________________________________________ (dr_cryostat)_________________      1.5000000000000002E-01    
 Cryostat_intenral_half_height_(m)_______________________________________ (z_cryostat_half_inside)______      1.5483615151707529E+01    
