# PROCESS #
# Power Reactor Optimisation Code #
# PROCESS #
# Power Reactor Optimisation Code #
PROCESS_version__________________________________________________________ (procver)______________________      "3.1.0" 
Date_of_run______________________________________________________________ (date)_________________________ "08/09/2025 UTC" 
Time_of_run______________________________________________________________ (time)_________________________      "10:49" 
User_____________________________________________________________________ (username)_____________________     "runner" 
PROCESS_run_title________________________________________________________ (runtitle)_____________________ "Generic large tokamak" 
PROCESS_git_tag__________________________________________________________ (tagno)________________________           "" 
PROCESS_git_branch_______________________________________________________ (branch_name)__________________           "" 
Input_filename___________________________________________________________ (fileprefix)___________________ "/home/runner/work/PROCESS/PROCESS/tests/regression/input_files/large_tokamak_nof.IN.DAT" 
Optimisation_switch______________________________________________________ (ioptimz)______________________            1 
Figure_of_merit_switch___________________________________________________ (minmax)_______________________            1 
# Numerics #
# PROCESS found a feasible solution #
Error_flag_______________________________________________________________ (ifail)________________________            1 
Number_of_iteration_variables____________________________________________ (nvar)_________________________           20 
Number_of_constraints_(total)____________________________________________ (neqns+nineqns)________________           26 
Optimisation_switch______________________________________________________ (ioptimz)______________________            1 
Figure_of_merit_switch___________________________________________________ (minmax)_______________________            1 
Objective_function_name__________________________________________________ (objf_name)____________________ "major radius" 
Normalised_objective_function____________________________________________ (norm_objf)____________________ 1.60000000000000009e+00 OP 
Square_root_of_the_sum_of_squares_of_the_constraint_residuals____________ (sqsumsq)______________________ 4.00296604248672097e-16 OP 
VMCON_convergence_parameter______________________________________________ (convergence_parameter)________ 2.80403010743841043e-22 OP 
Number_of_optimising_solver_iterations___________________________________ (nviter)_______________________           13 OP 
bt_______________________________________________________________________ (itvar001)_____________________ 5.11464770987879636e+00 
bt_(final_value/initial_value)___________________________________________ (xcm001)_______________________ 8.97306615768209803e-01 
bt_(range_normalised)____________________________________________________ (nitvar001)____________________ 1.70211660882920862e-01 
bt_(upper_bound)_________________________________________________________ (boundu001)____________________ 2.99999999999999964e+01 
bt_(lower_bound)_________________________________________________________ (boundl001)____________________ 1.00000000000000002e-02 
rmajor___________________________________________________________________ (itvar002)_____________________ 8.00000000000000000e+00 
rmajor_(final_value/initial_value)_______________________________________ (xcm002)_______________________ 1.00000000000000000e+00 
rmajor_(range_normalised)________________________________________________ (nitvar002)____________________ 0.00000000000000000e+00 
rmajor_(upper_bound)_____________________________________________________ (boundu002)____________________ 9.00000000000000000e+00 
rmajor_(lower_bound)_____________________________________________________ (boundl002)____________________ 8.00000000000000000e+00 
te_______________________________________________________________________ (itvar003)_____________________ 1.29613862276610767e+01 
te_(final_value/initial_value)___________________________________________ (xcm003)_______________________ 1.08011551897175639e+00 
te_(range_normalised)____________________________________________________ (nitvar003)____________________ 7.89028591892763920e-02 
te_(upper_bound)_________________________________________________________ (boundu003)____________________ 9.99999999999999858e+01 
te_(lower_bound)_________________________________________________________ (boundl003)____________________ 5.50549999999999962e+00 
beta_____________________________________________________________________ (itvar004)_____________________ 3.79858191052994121e-02 
beta_(final_value/initial_value)_________________________________________ (xcm004)_______________________ 1.26619397017664714e+00 
beta_(range_normalised)__________________________________________________ (nitvar004)____________________ 3.70228419472466500e-02 
beta_(upper_bound)_______________________________________________________ (boundu004)____________________ 1.00000000000000000e+00 
