# PROCESS #
# Power Reactor Optimisation Code #
# PROCESS #
# Power Reactor Optimisation Code #
PROCESS_version__________________________________________________________ (procver)______________________ "0.0.1.dev1+g0c2c6b127" 
Date_of_run______________________________________________________________ (date)_________________________ "16/04/2026 UTC" 
Time_of_run______________________________________________________________ (time)_________________________      "09:10" 
User_____________________________________________________________________ (username)_____________________     "runner" 
PROCESS_run_title________________________________________________________ (runtitle)_____________________ "EU-DEMO LAR 2023 baseline" 
PROCESS_git_tag__________________________________________________________ (tagno)________________________           "" 
PROCESS_git_branch_______________________________________________________ (branch_name)__________________           "" 
Input_filename___________________________________________________________ (fileprefix)___________________ "/home/runner/work/PROCESS/PROCESS/tests/regression/input_files/low_aspect_ratio_DEMO.IN.DAT" 
Optimisation_switch______________________________________________________ (ioptimz)______________________            1 
Figure_of_merit_switch___________________________________________________ (minmax)_______________________          -14 
# Numerics #
# PROCESS found a feasible solution #
Error_flag_______________________________________________________________ (ifail)________________________            1 
Number_of_iteration_variables____________________________________________ (nvar)_________________________           19 
Number_of_constraints_(total)____________________________________________ (neqns+nineqns)________________           25 
Optimisation_switch______________________________________________________ (ioptimz)______________________            1 
Figure_of_merit_switch___________________________________________________ (minmax)_______________________          -14 
Objective_function_name__________________________________________________ (objf_name)____________________ "pulse length          " 
Normalised_objective_function____________________________________________ (norm_objf)____________________ -4.09063056228689881e-01 OP 
Square_root_of_the_sum_of_squares_of_the_constraint_residuals____________ (sqsumsq)______________________ 4.06747171719482009e-13 OP 
VMCON_convergence_parameter______________________________________________ (convergence_parameter)________ 1.65561792260941047e-10 OP 
Number_of_optimising_solver_iterations___________________________________ (nviter)_______________________           29 OP 
b_plasma_toroidal_on_axis________________________________________________ (itvar001)_____________________ 4.40048579693890840e+00 
b_plasma_toroidal_on_axis_(final_value/initial_value)____________________ (xcm001)_______________________ 1.00081734019229418e+00 
b_plasma_toroidal_on_axis_(range_normalised)_____________________________ (nitvar001)____________________ 2.19634106900395615e-01 
b_plasma_toroidal_on_axis_(upper_bound)__________________________________ (boundu001)____________________ 2.00000000000000000e+01 
b_plasma_toroidal_on_axis_(lower_bound)__________________________________ (boundl001)____________________ 1.00000000000000002e-02 
rmajor___________________________________________________________________ (itvar002)_____________________ 8.59999999998214548e+00 
rmajor_(final_value/initial_value)_______________________________________ (xcm002)_______________________ 9.99999999997923994e-01 
rmajor_(range_normalised)________________________________________________ (nitvar002)____________________ 9.99999999970243914e-01 
rmajor_(upper_bound)_____________________________________________________ (boundu002)____________________ 8.59999999999999964e+00 
rmajor_(lower_bound)_____________________________________________________ (boundl002)____________________ 8.00000000000000000e+00 
temp_plasma_electron_vol_avg_kev_________________________________________ (itvar003)_____________________ 1.10141274856304410e+01 
temp_plasma_electron_vol_avg_kev_(final_value/initial_value)_____________ (xcm003)_______________________ 1.00108320390635974e+00 
temp_plasma_electron_vol_avg_kev_(range_normalised)______________________ (nitvar003)____________________ 4.14767412802099361e-02 
temp_plasma_electron_vol_avg_kev_(upper_bound)___________________________ (boundu003)____________________ 1.50000000000000000e+02 
temp_plasma_electron_vol_avg_kev_(lower_bound)___________________________ (boundl003)____________________ 5.00000000000000000e+00 
beta_total_vol_avg_______________________________________________________ (itvar004)_____________________ 3.72064654591774124e-02 
beta_total_vol_avg_(final_value/initial_value)___________________________ (xcm004)_______________________ 1.00026622803604104e+00 
beta_total_vol_avg_(range_normalised)____________________________________ (nitvar004)____________________ 3.62427081673447546e-02 
beta_total_vol_avg_(upper_bound)_________________________________________ (boundu004)____________________ 1.00000000000000000e+00 
beta_total_vol_avg_(lower_bound)_________________________________________ (boundl004)____________________ 1.00000000000000002e-03 
nd_plasma_electrons_vol_avg______________________________________________ (itvar005)_____________________ 6.88922665981530522e+19 
nd_plasma_electrons_vol_avg_(final_value/initial_value)__________________ (xcm005)_______________________ 1.00081734018408564e+00 
nd_plasma_electrons_vol_avg_(range_normalised)___________________________ (nitvar005)____________________ 4.98900679572990349e-02 
nd_plasma_electrons_vol_avg_(upper_bound)________________________________ (boundu005)____________________ 1.00000000000000000e+21 
nd_plasma_electrons_vol_avg_(lower_bound)________________________________ (boundl005)____________________ 2.00000000000000000e+19 
dr_tf_inboard____________________________________________________________ (itvar006)_____________________ 9.59487837042176772e-01 
dr_tf_inboard_(final_value/initial_value)________________________________ (xcm006)_______________________ 9.59673300458027567e-01 
dr_tf_inboard_(range_normalised)_________________________________________ (nitvar006)____________________ 1.40316561072803575e-01 
dr_tf_inboard_(upper_bound)______________________________________________ (boundu006)____________________ 5.00000000000000000e+00 
dr_tf_inboard_(lower_bound)______________________________________________ (boundl006)____________________ 2.99999999999999989e-01 
dr_cs____________________________________________________________________ (itvar007)_____________________ 6.62746063262830032e-01 
dr_cs_(final_value/initial_value)________________________________________ (xcm007)_______________________ 1.02231863968184533e+00 
dr_cs_(range_normalised)_________________________________________________ (nitvar007)____________________ 5.68430366932151515e-02 
dr_cs_(upper_bound)______________________________________________________ (boundu007)____________________ 1.00000000000000000e+01 
dr_cs_(lower_bound)______________________________________________________ (boundl007)____________________ 1.00000000000000006e-01 
q95______________________________________________________________________ (itvar008)_____________________ 3.60000000001791109e+00 
q95_(final_value/initial_value)__________________________________________ (xcm008)_______________________ 1.00000000000497535e+00 
q95_(range_normalised)___________________________________________________ (nitvar008)____________________ 3.86018803129280923e-13 
q95_(upper_bound)________________________________________________________ (boundu008)____________________ 5.00000000000000000e+01 
q95_(lower_bound)________________________________________________________ (boundl008)____________________ 3.59999999999999964e+00 
dr_bore__________________________________________________________________ (itvar009)_____________________ 2.05345487055548936e+00 
dr_bore_(final_value/initial_value)______________________________________ (xcm009)_______________________ 1.01321840945407082e+00 
dr_bore_(range_normalised)_______________________________________________ (nitvar009)____________________ 1.97318673793483751e-01 
dr_bore_(upper_bound)____________________________________________________ (boundu009)____________________ 1.00000000000000000e+01 
dr_bore_(lower_bound)____________________________________________________ (boundl009)____________________ 1.00000000000000006e-01 
j_cs_flat_top_end________________________________________________________ (itvar010)_____________________ 1.60262821077372804e+07 
j_cs_flat_top_end_(final_value/initial_value)____________________________ (xcm010)_______________________ 9.80262223639068897e-01 
j_cs_flat_top_end_(range_normalised)_____________________________________ (nitvar010)____________________ 1.59422243320693463e-01 
j_cs_flat_top_end_(upper_bound)__________________________________________ (boundu010)____________________ 1.00000000000000015e+08 
j_cs_flat_top_end_(lower_bound)__________________________________________ (boundl010)____________________ 1.00000000000000015e+05 
f_j_cs_start_pulse_end_flat_top__________________________________________ (itvar011)_____________________ 8.64939667019211988e-01 
f_j_cs_start_pulse_end_flat_top_(final_value/initial_value)______________ (xcm011)_______________________ 1.01595775488251538e+00 
f_j_cs_start_pulse_end_flat_top_(range_normalised)_______________________ (nitvar011)____________________ 8.64804471490702720e-01 
f_j_cs_start_pulse_end_flat_top_(upper_bound)____________________________ (boundu011)____________________ 1.00000000000000000e+00 
f_j_cs_start_pulse_end_flat_top_(lower_bound)____________________________ (boundl011)____________________ 1.00000000000000002e-03 
f_c_plasma_non_inductive_________________________________________________ (itvar012)_____________________ 4.87736065206095137e-01 
f_c_plasma_non_inductive_(final_value/initial_value)_____________________ (xcm012)_______________________ 9.89969490367453853e-01 
f_c_plasma_non_inductive_(range_normalised)______________________________ (nitvar012)____________________ 4.87223288494589735e-01 
f_c_plasma_non_inductive_(upper_bound)___________________________________ (boundu012)____________________ 1.00000000000000000e+00 
f_c_plasma_non_inductive_(lower_bound)___________________________________ (boundl012)____________________ 1.00000000000000002e-03 
t_tf_superconductor_quench_______________________________________________ (itvar013)_____________________ 2.30475431406112463e+01 
t_tf_superconductor_quench_(final_value/initial_value)___________________ (xcm013)_______________________ 9.93776134366981867e-01 
t_tf_superconductor_quench_(range_normalised)____________________________ (nitvar013)____________________ 2.29705136542655092e-01 
t_tf_superconductor_quench_(upper_bound)_________________________________ (boundu013)____________________ 1.00000000000000014e+02 
t_tf_superconductor_quench_(lower_bound)_________________________________ (boundl013)____________________ 1.00000000000000019e-01 
dr_tf_nose_case__________________________________________________________ (itvar014)_____________________ 2.58272565680577104e-01 
dr_tf_nose_case_(final_value/initial_value)______________________________ (xcm014)_______________________ 9.96955157279523108e-01 
dr_tf_nose_case_(range_normalised)_______________________________________ (nitvar014)____________________ 2.19234279663765352e-01 
dr_tf_nose_case_(upper_bound)____________________________________________ (boundu014)____________________ 1.00000000000000000e+00 
dr_tf_nose_case_(lower_bound)____________________________________________ (boundl014)____________________ 5.00000000000000028e-02 
dx_tf_turn_steel_________________________________________________________ (itvar015)_____________________ 8.00000000025128354e-03 
dx_tf_turn_steel_(final_value/initial_value)_____________________________ (xcm015)_______________________ 1.00000000003141043e+00 
dx_tf_turn_steel_(range_normalised)______________________________________ (nitvar015)____________________ 2.73134172284303743e-12 
dx_tf_turn_steel_(upper_bound)___________________________________________ (boundu015)____________________ 1.00000000000000006e-01 
dx_tf_turn_steel_(lower_bound)___________________________________________ (boundl015)____________________ 8.00000000000000017e-03 
f_a_tf_turn_cable_copper_________________________________________________ (itvar016)_____________________ 9.14862535009440148e-01 
f_a_tf_turn_cable_copper_(final_value/initial_value)_____________________ (xcm016)_______________________ 1.01111306791026911e+00 
f_a_tf_turn_cable_copper_(range_normalised)______________________________ (nitvar016)____________________ 9.42869397748728022e-01 
f_a_tf_turn_cable_copper_(upper_bound)___________________________________ (boundu016)____________________ 9.39999999999999836e-01 
f_a_tf_turn_cable_copper_(lower_bound)___________________________________ (boundl016)____________________ 5.00000000000000000e-01 
f_nd_alpha_electron______________________________________________________ (itvar017)_____________________ 6.16094558862776281e-02 
f_nd_alpha_electron_(final_value/initial_value)__________________________ (xcm017)_______________________ 1.00185227179163250e+00 
f_nd_alpha_electron_(range_normalised)___________________________________ (nitvar017)____________________ 1.16094558862776281e-01 
f_nd_alpha_electron_(upper_bound)________________________________________ (boundu017)____________________ 1.49999999999999994e-01 
f_nd_alpha_electron_(lower_bound)________________________________________ (boundl017)____________________ 5.00000000000000028e-02 
f_a_cs_turn_steel________________________________________________________ (itvar018)_____________________ 7.62656504137227409e-01 
f_a_cs_turn_steel_(final_value/initial_value)____________________________ (xcm018)_______________________ 1.00379347168761490e+00 
f_a_cs_turn_steel_(range_normalised)_____________________________________ (nitvar018)____________________ 8.02588518585065747e-01 
f_a_cs_turn_steel_(upper_bound)__________________________________________ (boundu018)____________________ 9.49999999999999956e-01 
f_a_cs_turn_steel_(lower_bound)__________________________________________ (boundl018)____________________ 1.00000000000000002e-03 
f_nd_impurity_electrons(13)______________________________________________ (itvar019)_____________________ 4.00708097298772554e-04 
f_nd_impurity_electrons(13)_(final_value/initial_value)__________________ (xcm019)_______________________ 2.67138731532515061e+00 
f_nd_impurity_electrons(13)_(range_normalised)___________________________ (nitvar019)____________________ 4.00698497997270600e-02 
f_nd_impurity_electrons(13)_(upper_bound)________________________________ (boundu019)____________________ 1.00000000000000002e-02 
f_nd_impurity_electrons(13)_(lower_bound)________________________________ (boundl019)____________________ 1.00000000000000002e-08 
Beta_consistency__________________normalised_residue_____________________ (eq_con001)____________________ 1.00586206031039183e-13 
Beta_consistency__________________residual_______________________________ (res_eq_con001)________________ 3.74006381420599610e-15 
Beta_consistency__________________constraint_value_______________________ (val_eq_con001)________________ 3.72064654591811525e-02 
Beta_consistency__________________units__________________________________ (eq_units_con001)______________           '' 
Global_power_balance_consistency__normalised_residue_____________________ (eq_con002)____________________ 3.83471032705529069e-13 
Global_power_balance_consistency__residual_______________________________ (res_eq_con002)________________ 5.09037256790634274e-14 
Global_power_balance_consistency__constraint_value_______________________ (val_eq_con002)________________ 1.32739241484290060e-01 
Global_power_balance_consistency__units__________________________________ (eq_units_con002)______________      'MW/m3' 
Radial_build_consistency__________normalised_residue_____________________ (eq_con011)____________________ 3.66373598126301658e-14 
Radial_build_consistency__________residual_______________________________ (res_eq_con011)________________ 3.14415160573844332e-13 
Radial_build_consistency__________constraint_value_______________________ (val_eq_con011)________________ 8.59999999998246167e+00 
Radial_build_consistency__________units__________________________________ (eq_units_con011)______________          'm' 
Injection_power_upper_limit_______normalised_residue_____________________ (eq_con030)____________________ 8.32667268468867405e-14 
Injection_power_upper_limit_______residual_______________________________ (res_eq_con030)________________ -4.16378043155418709e-12 
Injection_power_upper_limit_______constraint_value_______________________ (val_eq_con030)________________ 4.99999999999958362e+01 
Injection_power_upper_limit_______units__________________________________ (eq_units_con030)______________         'MW' 
Density_upper_limit_______________normalised_residue_____________________ (ineq_con005)__________________ 6.77058409337405465e-12 
Density_upper_limit_______________physical_value_________________________ (ineq_value_con005)____________ 7.62945902721423114e+19 
Density_upper_limit_______________symbol_________________________________ (ineq_symbol_con005)___________         '<=' 
Density_upper_limit_______________units__________________________________ (ineq_units_con005)____________        '/m3' 
Density_upper_limit_______________physical_bound_________________________ (ineq_bound_con005)____________ 7.62945902726588662e+19 
Neutron_wall_load_upper_limit_____normalised_residue_____________________ (ineq_con008)__________________ 8.97248983513422083e-01 
Neutron_wall_load_upper_limit_____physical_value_________________________ (ineq_value_con008)____________ 8.22008131892623783e-01 
Neutron_wall_load_upper_limit_____symbol_________________________________ (ineq_symbol_con008)___________         '<=' 
Neutron_wall_load_upper_limit_____units__________________________________ (ineq_units_con008)____________      'MW/m2' 
Neutron_wall_load_upper_limit_____physical_bound_________________________ (ineq_bound_con008)____________ 8.00000000000000000e+00 
Burn_time_lower_limit_____________normalised_residue_____________________ (ineq_con013)__________________ 6.36252224914759523e-01 
Burn_time_lower_limit_____________physical_value_________________________ (ineq_value_con013)____________ 8.18126112457379713e+03 
Burn_time_lower_limit_____________symbol_________________________________ (ineq_symbol_con013)___________         '>=' 
Burn_time_lower_limit_____________units__________________________________ (ineq_units_con013)____________        'sec' 
Burn_time_lower_limit_____________physical_bound_________________________ (ineq_bound_con013)____________ 5.00000000000000000e+03 
L-H_power_threshold_limit_________normalised_residue_____________________ (ineq_con015)__________________ 2.62856815020382495e-02 
L-H_power_threshold_limit_________physical_value_________________________ (ineq_value_con015)____________ 1.08348037465019331e+02 
L-H_power_threshold_limit_________symbol_________________________________ (ineq_symbol_con015)___________         '>=' 
L-H_power_threshold_limit_________units__________________________________ (ineq_units_con015)____________         'MW' 
L-H_power_threshold_limit_________physical_bound_________________________ (ineq_bound_con015)____________ 1.05572979744241067e+02 
Net_electric_power_lower_limit____normalised_residue_____________________ (ineq_con016)__________________ 9.81481562689623388e-12 
Net_electric_power_lower_limit____physical_value_________________________ (ineq_value_con016)____________ 3.50000000003435218e+02 
Net_electric_power_lower_limit____symbol_________________________________ (ineq_symbol_con016)___________         '>=' 
Net_electric_power_lower_limit____units__________________________________ (ineq_units_con016)____________         'MW' 
Net_electric_power_lower_limit____physical_bound_________________________ (ineq_bound_con016)____________ 3.50000000000000000e+02 
Beta_upper_limit__________________normalised_residue_____________________ (ineq_con024)__________________ 5.18051420088311732e-01 
Beta_upper_limit__________________physical_value_________________________ (ineq_value_con024)____________ 3.25198276016455956e-02 
Beta_upper_limit__________________symbol_________________________________ (ineq_symbol_con024)___________         '<=' 
Beta_upper_limit__________________units__________________________________ (ineq_units_con024)____________           '' 
Beta_upper_limit__________________physical_bound_________________________ (ineq_bound_con024)____________ 6.74757203509230991e-02 
CS_coil_EOF_current_density_limit_normalised_residue_____________________ (ineq_con026)__________________ 1.10486962343509632e-01 
CS_coil_EOF_current_density_limit_physical_value_________________________ (ineq_value_con026)____________ 6.22659126359543236e-01 
CS_coil_EOF_current_density_limit_symbol_________________________________ (ineq_symbol_con026)___________         '<=' 
CS_coil_EOF_current_density_limit_units__________________________________ (ineq_units_con026)____________       'A/m2' 
CS_coil_EOF_current_density_limit_physical_bound_________________________ (ineq_bound_con026)____________ 6.99999999999999956e-01 
CS_coil_BOP_current_density_limit_normalised_residue_____________________ (ineq_con027)__________________ 3.65775549262825961e-01 
CS_coil_BOP_current_density_limit_physical_value_________________________ (ineq_value_con027)____________ 4.43957115516021794e-01 
CS_coil_BOP_current_density_limit_symbol_________________________________ (ineq_symbol_con027)___________         '<=' 
CS_coil_BOP_current_density_limit_units__________________________________ (ineq_units_con027)____________       'A/m2' 
CS_coil_BOP_current_density_limit_physical_bound_________________________ (ineq_bound_con027)____________ 6.99999999999999956e-01 
TF_coil_case_stress_upper_limit___normalised_residue_____________________ (ineq_con031)__________________ 1.27545751738011859e-11 
TF_coil_case_stress_upper_limit___physical_value_________________________ (ineq_value_con031)____________ 5.79999999992602348e+08 
TF_coil_case_stress_upper_limit___symbol_________________________________ (ineq_symbol_con031)___________         '<=' 
