 # PROCESS #
 # Power Reactor Optimisation Code #
 # PROCESS #
 # Power Reactor Optimisation Code #
 PROCESS_version_number__________________________________________________ (procver)_____________________     "3.1.0   R"
 Date_of_run_____________________________________________________________ (date)________________________     "06/12/2024"
 Time_of_run_____________________________________________________________ (time)________________________     "14:01"
 User____________________________________________________________________ (username)____________________     "runner"  
 PROCESS_run_title_______________________________________________________ (runtitle)____________________     "ST Regression                                                                                      
 PROCESS_tag_number______________________________________________________ (tagno)_______________________     ""                                                                                                  
 PROCESS_git_branch_name_________________________________________________ (branch_name)_________________     "main"                                                                                              
 PROCESS_last_commit_message_____________________________________________ (commsg)______________________     "3258 add divertor and fwblanket lifetimes to st availability model ([hash]3414)"                   
 Input_filename__________________________________________________________ (fileprefix)__________________     "/home/runner/work/PROCESS/PROCESS/tests/regression/input_files/st_regression.IN.DAT                                                                                                                                                                                                                                                                                                                             "
 # Numerics #
 VMCON_error_flag________________________________________________________ (ifail)_______________________              1    
 # PROCESS found a feasible solution #
 Number_of_iteration_variables___________________________________________ (nvar)________________________             27    
 Number_of_constraints_(total)___________________________________________ (neqns+nineqns)_______________             17    
 Optimisation_switch_____________________________________________________ (ioptimz)_____________________              1    
 Figure_of_merit_switch__________________________________________________ (minmax)______________________             -5    
 Objective_function_name_________________________________________________ (objf_name)___________________     "fusion gain"                           
 Normalised_objective_function___________________________________________ (norm_objf)___________________     -1.7424373384957903E+01 OP 
 Square_root_of_the_sum_of_squares_of_the_constraint_residuals___________ (sqsumsq)_____________________      5.0267485386043072E-15 OP 
 VMCON_convergence_parameter_____________________________________________ (convergence_parameter)_______      1.8292650319315028E-14 OP 
 Number_of_VMCON_iterations______________________________________________ (nviter)______________________             15 OP 
 te______________________________________________________________________ (itvar001)____________________      1.1805857412322185E+01    
 te_(final_value/initial_value)__________________________________________ (xcm001)______________________      7.8705716082147903E-01    
 te_(range_normalised)___________________________________________________ (nitvar001)___________________      3.4029287061610924E-01    
 beta____________________________________________________________________ (itvar002)____________________      1.3127174828347121E-01    
 beta_(final_value/initial_value)________________________________________ (xcm002)______________________      6.5635874141735606E-01    
 beta_(range_normalised)_________________________________________________ (nitvar002)___________________      1.2249671543784969E-01    
 dene____________________________________________________________________ (itvar003)____________________      9.7015428061700293E+19    
 dene_(final_value/initial_value)________________________________________ (xcm003)______________________      6.4676952041133529E-01    
 dene_(range_normalised)_________________________________________________ (nitvar003)___________________      1.0447872902600065E-01    
