 # PROCESS #
 # Power Reactor Optimisation Code #
 # PROCESS #
 # Power Reactor Optimisation Code #
 PROCESS_version_________________________________________________________ (procver)_____________________     "3.1.0"
 Date_of_run_____________________________________________________________ (date)________________________     "13/05/2025 UTC"
 Time_of_run_____________________________________________________________ (time)________________________     "12:06"
 User____________________________________________________________________ (username)____________________     "runner"
 PROCESS_run_title_______________________________________________________ (runtitle)____________________     "ST Regression"
 PROCESS_git_tag_________________________________________________________ (tagno)_______________________     ""
 PROCESS_git_branch______________________________________________________ (branch_name)_________________     ""
 Input_filename__________________________________________________________ (fileprefix)__________________     "/home/runner/work/PROCESS/PROCESS/tests/regression/input_files/st_regression.IN.DAT"
 Optimisation_switch_____________________________________________________ (ioptimz)_____________________              1    
 # Numerics #
 VMCON_error_flag________________________________________________________ (ifail)_______________________              1    
 # PROCESS found a feasible solution #
 Number_of_iteration_variables___________________________________________ (nvar)________________________             29    
 Number_of_constraints_(total)___________________________________________ (neqns+nineqns)_______________             18    
 Optimisation_switch_____________________________________________________ (ioptimz)_____________________              1    
 Figure_of_merit_switch__________________________________________________ (minmax)______________________             -5    
 Objective_function_name_________________________________________________ (objf_name)___________________     "fusion gain"                           
 Normalised_objective_function____________________________________________ (norm_objf)____________________ -1.75135674873103007e+01 OP
 Square_root_of_the_sum_of_squares_of_the_constraint_residuals____________ (sqsumsq)______________________ 4.19823610634974581e-14 OP
 VMCON_convergence_parameter______________________________________________ (convergence_parameter)________ 2.14444622688844986e-13 OP
 Number_of_VMCON_iterations______________________________________________ (nviter)______________________             24 OP 
 te_______________________________________________________________________ (itvar001)_____________________ 1.17898315161969034e+01
 te_(final_value/initial_value)___________________________________________ (xcm001)_______________________ 7.85988767746460204e-01
 te_(range_normalised)____________________________________________________ (nitvar001)____________________ 3.39491575809845125e-01
 beta_____________________________________________________________________ (itvar002)_____________________ 1.31315518093595734e-01
 beta_(final_value/initial_value)_________________________________________ (xcm002)_______________________ 6.56577590467978589e-01
 beta_(range_normalised)__________________________________________________ (nitvar002)____________________ 1.22540927367268390e-01
 dene_____________________________________________________________________ (itvar003)_____________________ 9.65986557168890348e+19
 dene_(final_value/initial_value)_________________________________________ (xcm003)_______________________ 6.43991038112593617e-01
 dene_(range_normalised)__________________________________________________ (nitvar003)____________________ 1.03552568259753439e-01
 fdene____________________________________________________________________ (itvar004)_____________________ 1.00000000000000000e+00
 fdene_(final_value/initial_value)________________________________________ (xcm004)_______________________ 1.00000000000000000e+00
 fdene_(range_normalised)_________________________________________________ (nitvar004)____________________ 1.00000000000000000e+00
 hfact____________________________________________________________________ (itvar005)_____________________ 1.19999999999999996e+00
 hfact_(final_value/initial_value)________________________________________ (xcm005)_______________________ 1.19999999999999996e+00
 hfact_(range_normalised)_________________________________________________ (nitvar005)____________________ 1.00000000000000000e+00
 dr_cs____________________________________________________________________ (itvar006)_____________________ 1.85993318304268324e-01
 dr_cs_(final_value/initial_value)________________________________________ (xcm006)_______________________ 7.43973273217073294e-01
 dr_cs_(range_normalised)_________________________________________________ (nitvar006)____________________ 3.31900677243124109e-01
 q95______________________________________________________________________ (itvar007)_____________________ 5.83564174368755406e+00
 q95_(final_value/initial_value)__________________________________________ (xcm007)_______________________ 9.72606957281259010e-01
 q95_(range_normalised)___________________________________________________ (nitvar007)____________________ 1.66802455511032621e-01
 fpnetel__________________________________________________________________ (itvar008)_____________________ 5.11071964270404688e-01
 fpnetel_(final_value/initial_value)______________________________________ (xcm008)_______________________ 5.11071964270404688e-01
 fpnetel_(range_normalised)_______________________________________________ (nitvar008)____________________ 5.10582546817221927e-01
 ffuspow__________________________________________________________________ (itvar009)_____________________ 1.00000000000000000e+00
 ffuspow_(final_value/initial_value)______________________________________ (xcm009)_______________________ 1.00000000000000000e+00
 ffuspow_(range_normalised)_______________________________________________ (nitvar009)____________________ 1.00000000000000000e+00
 fradpwr__________________________________________________________________ (itvar010)_____________________ 7.10719195590587716e-01
 fradpwr_(final_value/initial_value)______________________________________ (xcm010)_______________________ 1.11049874311029328e+00
 fradpwr_(range_normalised)_______________________________________________ (nitvar010)____________________ 7.10429625215803551e-01
 dr_bore__________________________________________________________________ (itvar011)_____________________ 2.09459673269101226e-01
 dr_bore_(final_value/initial_value)______________________________________ (xcm011)_______________________ 6.98198910897004144e-01
