 # PROCESS #
 # Power Reactor Optimisation Code #
 # PROCESS #
 # Power Reactor Optimisation Code #
 PROCESS_version_________________________________________________________ (procver)_____________________     "3.1.0"
 Date_of_run_____________________________________________________________ (date)________________________     "04/04/2025 UTC"
 Time_of_run_____________________________________________________________ (time)________________________     "13:46"
 User____________________________________________________________________ (username)____________________     "runner"
 PROCESS_run_title_______________________________________________________ (runtitle)____________________     "ST Regression"
 PROCESS_git_tag_________________________________________________________ (tagno)_______________________     ""
 PROCESS_git_branch______________________________________________________ (branch_name)_________________     ""
 Input_filename__________________________________________________________ (fileprefix)__________________     "/home/runner/work/PROCESS/PROCESS/tests/regression/input_files/st_regression.IN.DAT"
 Optimisation_switch_____________________________________________________ (ioptimz)_____________________              1    
 # Numerics #
 VMCON_error_flag________________________________________________________ (ifail)_______________________              1    
 # PROCESS found a feasible solution #
 Number_of_iteration_variables___________________________________________ (nvar)________________________             27    
 Number_of_constraints_(total)___________________________________________ (neqns+nineqns)_______________             17    
 Optimisation_switch_____________________________________________________ (ioptimz)_____________________              1    
 Figure_of_merit_switch__________________________________________________ (minmax)______________________             -5    
 Objective_function_name_________________________________________________ (objf_name)___________________     "fusion gain"                           
 Normalised_objective_function____________________________________________ (norm_objf)____________________ -1.74831718368068252e+01 OP
 Square_root_of_the_sum_of_squares_of_the_constraint_residuals____________ (sqsumsq)______________________ 8.08349869506825298e-15 OP
 VMCON_convergence_parameter______________________________________________ (convergence_parameter)________ 1.63419645275731209e-14 OP
 Number_of_VMCON_iterations______________________________________________ (nviter)______________________             17 OP 
 te_______________________________________________________________________ (itvar001)_____________________ 1.18190323675928184e+01
 te_(final_value/initial_value)___________________________________________ (xcm001)_______________________ 7.87935491172854552e-01
 te_(range_normalised)____________________________________________________ (nitvar001)____________________ 3.40951618379640886e-01
 beta_____________________________________________________________________ (itvar002)_____________________ 1.31354509022514304e-01
 beta_(final_value/initial_value)_________________________________________ (xcm002)_______________________ 6.56772545112571438e-01
 beta_(range_normalised)__________________________________________________ (nitvar002)____________________ 1.22580312143953818e-01
