 # PROCESS #
 # Power Reactor Optimisation Code #
 # PROCESS #
 # Power Reactor Optimisation Code #
 PROCESS_version_________________________________________________________ (procver)_____________________     "3.1.0"
 Date_of_run_____________________________________________________________ (date)________________________     "17/02/2025 UTC"
 Time_of_run_____________________________________________________________ (time)________________________     "17:22"
 User____________________________________________________________________ (username)____________________     "runner"
 PROCESS_run_title_______________________________________________________ (runtitle)____________________     "ST Regression"
 PROCESS_git_tag_________________________________________________________ (tagno)_______________________     ""
 PROCESS_git_branch______________________________________________________ (branch_name)_________________     ""
 Input_filename__________________________________________________________ (fileprefix)__________________     "/home/runner/work/PROCESS/PROCESS/tests/regression/input_files/st_regression.IN.DAT"
 Optimisation_switch_____________________________________________________ (ioptimz)_____________________              1    
 # Numerics #
 VMCON_error_flag________________________________________________________ (ifail)_______________________              1    
 # PROCESS found a feasible solution #
 Number_of_iteration_variables___________________________________________ (nvar)________________________             27    
 Number_of_constraints_(total)___________________________________________ (neqns+nineqns)_______________             17    
 Optimisation_switch_____________________________________________________ (ioptimz)_____________________              1    
 Figure_of_merit_switch__________________________________________________ (minmax)______________________             -5    
 Objective_function_name_________________________________________________ (objf_name)___________________     "fusion gain"                           
 Normalised_objective_function___________________________________________ (norm_objf)___________________     -1.7455086019782019E+01 OP 
 Square_root_of_the_sum_of_squares_of_the_constraint_residuals___________ (sqsumsq)_____________________      3.7472946442733551E-14 OP 
 VMCON_convergence_parameter_____________________________________________ (convergence_parameter)_______      4.5811002606729298E-13 OP 
 Number_of_VMCON_iterations______________________________________________ (nviter)______________________             17 OP 
 te______________________________________________________________________ (itvar001)____________________      1.1813281388906821E+01    
 te_(final_value/initial_value)__________________________________________ (xcm001)______________________      7.8755209259378811E-01    
 te_(range_normalised)___________________________________________________ (nitvar001)___________________      3.4066406944534106E-01    
 beta____________________________________________________________________ (itvar002)____________________      1.3133573502418788E-01    
 beta_(final_value/initial_value)________________________________________ (xcm002)______________________      6.5667867512093936E-01    
 beta_(range_normalised)_________________________________________________ (nitvar002)___________________      1.2256134850928066E-01    
 dene____________________________________________________________________ (itvar003)____________________      9.6994179076980031E+19    
 dene_(final_value/initial_value)________________________________________ (xcm003)______________________      6.4662786051320020E-01    
 dene_(range_normalised)_________________________________________________ (nitvar003)___________________      1.0443150905995563E-01    
 fdene___________________________________________________________________ (itvar004)____________________      1.0000000000000000E+00    
 fdene_(final_value/initial_value)_______________________________________ (xcm004)______________________      1.0000000000000000E+00    
 fdene_(range_normalised)________________________________________________ (nitvar004)___________________      1.0000000000000000E+00    
 hfact___________________________________________________________________ (itvar005)____________________      1.2000000000000000E+00    
 hfact_(final_value/initial_value)_______________________________________ (xcm005)______________________      1.2000000000000000E+00    
 hfact_(range_normalised)________________________________________________ (nitvar005)___________________      1.0000000000000000E+00    
 dr_cs___________________________________________________________________ (itvar006)____________________      2.0020452085769497E-01    
 dr_cs_(final_value/initial_value)_______________________________________ (xcm006)______________________      8.0081808343077987E-01    
 dr_cs_(range_normalised)________________________________________________ (nitvar006)___________________      3.6213727842062760E-01    
 q_______________________________________________________________________ (itvar007)____________________      5.8355092454042383E+00    
 q_(final_value/initial_value)___________________________________________ (xcm007)______________________      9.7258487423403972E-01    
 q_(range_normalised)____________________________________________________ (nitvar007)___________________      1.6679466149436697E-01    
 fradpwr_________________________________________________________________ (itvar008)____________________      7.1094196383984143E-01    
 fradpwr_(final_value/initial_value)_____________________________________ (xcm008)______________________      1.1108468184997520E+00    
 fradpwr_(range_normalised)______________________________________________ (nitvar008)___________________      7.1065261645629763E-01    
 dr_bore_________________________________________________________________ (itvar009)____________________      2.3378675551809988E-01    
 dr_bore_(final_value/initial_value)_____________________________________ (xcm009)______________________      7.7928918506033285E-01    
 dr_bore_(range_normalised)______________________________________________ (nitvar009)___________________      1.9112393645442841E-01    
 fbeta_max_______________________________________________________________ (itvar010)____________________      8.7342707024077493E-01    
 fbeta_max_(final_value/initial_value)___________________________________ (xcm010)______________________      1.1645694269876996E+00    
 fbeta_max_(range_normalised)____________________________________________ (nitvar010)___________________      8.7214855579876249E-01    
 fpinj___________________________________________________________________ (itvar011)____________________      9.5483154008921955E-01    
 fpinj_(final_value/initial_value)_______________________________________ (xcm011)______________________      9.5483154008921955E-01    
 fpinj_(range_normalised)________________________________________________ (nitvar011)___________________      3.9425726676579942E-01    
 fstrcase________________________________________________________________ (itvar012)____________________      4.7414285384584859E-01    
 fstrcase_(final_value/initial_value)____________________________________ (xcm012)______________________      4.7414285384584859E-01    
 fstrcase_(range_normalised)_____________________________________________ (nitvar012)___________________      4.6883116550085718E-01    
 fstrcond________________________________________________________________ (itvar013)____________________      4.3599170562009726E-01    
 fstrcond_(final_value/initial_value)____________________________________ (xcm013)______________________      4.3599170562009726E-01    
 fstrcond_(range_normalised)_____________________________________________ (nitvar013)___________________      4.3542713275285011E-01    
 fiooic__________________________________________________________________ (itvar014)____________________      9.9488381771440637E-01    
 fiooic_(final_value/initial_value)______________________________________ (xcm014)______________________      9.9488381771440637E-01    
 fiooic_(range_normalised)_______________________________________________ (nitvar014)___________________      9.9483213910546098E-01    
 thkcas__________________________________________________________________ (itvar015)____________________      1.2928828305773107E-01    
 thkcas_(final_value/initial_value)______________________________________ (xcm015)______________________      3.2322070764432770E-01    
 thkcas_(range_normalised)_______________________________________________ (nitvar015)___________________      2.4344547562802257E-01    
 fipir___________________________________________________________________ (itvar016)____________________      5.4609565842779251E-01    
 fipir_(final_value/initial_value)_______________________________________ (xcm016)______________________      9.4154423866860792E-01    
 fipir_(range_normalised)________________________________________________ (nitvar016)___________________      5.4564129972752007E-01    
 dr_shld_inboard_________________________________________________________ (itvar017)____________________      3.9319346866108495E-01    
 dr_shld_inboard_(final_value/initial_value)_____________________________ (xcm017)______________________      9.8298367165271228E-01    
 dr_shld_inboard_(range_normalised)______________________________________ (nitvar017)___________________      3.8706410975867162E-01    
 fpsepr__________________________________________________________________ (itvar018)____________________      1.0000000000000000E+00    
 fpsepr_(final_value/initial_value)______________________________________ (xcm018)______________________      1.0000000000000000E+00    
 fpsepr_(range_normalised)_______________________________________________ (nitvar018)___________________      1.0000000000000000E+00    
 fl_h_threshold__________________________________________________________ (itvar019)____________________      2.9030149750694969E+00    
 fl_h_threshold_(final_value/initial_value)______________________________ (xcm019)______________________      2.9030149750694969E+00    
 fl_h_threshold_(range_normalised)_______________________________________ (nitvar019)___________________      1.9030168780863750E-06    
 f_nd_alpha_electron_____________________________________________________ (itvar020)____________________      8.8708140255256196E-02    
 f_nd_alpha_electron_(final_value/initial_value)_________________________ (xcm020)______________________      4.4354070127628092E-01    
 f_nd_alpha_electron_(range_normalised)__________________________________ (nitvar020)___________________      8.7795936191447627E-02    
 falpha_energy_confinement_______________________________________________ (itvar021)____________________      1.0000000000000000E+00    
 falpha_energy_confinement_(final_value/initial_value)___________________ (xcm021)______________________      1.0000000000000000E+00    
 falpha_energy_confinement_(range_normalised)____________________________ (nitvar021)___________________      1.0000000000000000E+00    
 fradwall________________________________________________________________ (itvar022)____________________      4.1877269746285273E-01    
 fradwall_(final_value/initial_value)____________________________________ (xcm022)______________________      4.1877269746285273E-01    
 fradwall_(range_normalised)_____________________________________________ (nitvar022)___________________      4.1290171460894215E-01    
 fimp(13)________________________________________________________________ (itvar023)____________________      1.0070272004387270E-03    
