# PROCESS #
# Power Reactor Optimisation Code #
# PROCESS #
# Power Reactor Optimisation Code #
PROCESS_version__________________________________________________________ (procver)______________________ "0.0.1.dev1+gf4541d832" 
Date_of_run______________________________________________________________ (date)_________________________ "24/07/2026 UTC" 
Time_of_run______________________________________________________________ (time)_________________________      "14:38" 
User_____________________________________________________________________ (username)_____________________     "runner" 
PROCESS_run_title________________________________________________________ (runtitle)_____________________ "ST Regression" 
PROCESS_git_tag__________________________________________________________ (tagno)________________________           "" 
PROCESS_git_branch_______________________________________________________ (branch_name)__________________           "" 
Input_filename___________________________________________________________ (fileprefix)___________________ "/home/runner/work/PROCESS/PROCESS/tests/regression/input_files/st_regression.IN.DAT" 
Optimisation_switch______________________________________________________ (ioptimz)______________________            1 
Figure_of_merit_switch___________________________________________________ (minmax)_______________________           -5 
# Numerics #
# PROCESS found a feasible solution #
Error_flag_______________________________________________________________ (ifail)________________________            1 
Number_of_iteration_variables____________________________________________ (nvar)_________________________           14 
Number_of_constraints_(total)____________________________________________ (neqns+nineqns)________________           18 
Optimisation_switch______________________________________________________ (ioptimz)______________________            1 
Figure_of_merit_switch___________________________________________________ (minmax)_______________________           -5 
Objective_function_name__________________________________________________ (objf_name)____________________ "Fusion gain (Qₚₗₐₛₘₐ)" 
Normalised_objective_function____________________________________________ (norm_objf)____________________ -1.65885765081157324e+01 OP 
Square_root_of_the_sum_of_squares_of_the_constraint_residuals____________ (sqsumsq)______________________ 5.62665469909042576e-11 OP 
VMCON_convergence_parameter______________________________________________ (convergence_parameter)________ 0.00000000000000000e+00 OP 
Number_of_optimising_solver_iterations___________________________________ (nviter)_______________________           18 OP 
temp_plasma_electron_vol_avg_kev_________________________________________ (itvar001)_____________________ 1.08722526184848647e+01 
temp_plasma_electron_vol_avg_kev_(final_value/initial_value)_____________ (xcm001)_______________________ 7.24816841232324371e-01 
temp_plasma_electron_vol_avg_kev_(range_normalised)______________________ (nitvar001)____________________ 2.93612630924243279e-01 
temp_plasma_electron_vol_avg_kev_(upper_bound)___________________________ (boundu001)____________________ 2.50000000000000000e+01 
temp_plasma_electron_vol_avg_kev_(lower_bound)___________________________ (boundl001)____________________ 5.00000000000000000e+00 
beta_total_vol_avg_______________________________________________________ (itvar002)_____________________ 1.12830613003095478e-01 
