 # PROCESS #
 # Power Reactor Optimisation Code #
 # PROCESS #
 # Power Reactor Optimisation Code #
 PROCESS_version_number__________________________________________________ (procver)_____________________     "3.1.0   R"
 Date_of_run_____________________________________________________________ (date)________________________     "21/10/2024"
 Time_of_run_____________________________________________________________ (time)________________________     "14:40"
 User____________________________________________________________________ (username)____________________     "runner"  
 PROCESS_run_title_______________________________________________________ (runtitle)____________________     "HELIAS_DEMO_6                                                                                      
 PROCESS_tag_number______________________________________________________ (tagno)_______________________     ""                                                                                                  
 PROCESS_git_branch_name_________________________________________________ (branch_name)_________________     "main"                                                                                              
 PROCESS_last_commit_message_____________________________________________ (commsg)______________________     "Remove plasma_profiles.f90 ([hash]3349)"                                                           
 Input_filename__________________________________________________________ (fileprefix)__________________     "/home/runner/work/PROCESS/PROCESS/tests/regression/input_files/stellarator.IN.DAT                                                                                                                                                                                                                                                                                                                               "
 # Numerics #
 VMCON_error_flag________________________________________________________ (ifail)_______________________              1    
 # PROCESS found a feasible solution #
 Number_of_iteration_variables___________________________________________ (nvar)________________________             11    
 Number_of_constraints_(total)___________________________________________ (neqns+nineqns)_______________             17    
 Optimisation_switch_____________________________________________________ (ioptimz)_____________________              1    
 Figure_of_merit_switch__________________________________________________ (minmax)______________________              7    
 Objective_function_name_________________________________________________ (objf_name)___________________     "capital cost"                          
 Normalised_objective_function___________________________________________ (norm_objf)___________________      6.9175997325187455E-01 OP 
 Square_root_of_the_sum_of_squares_of_the_constraint_residuals___________ (sqsumsq)_____________________      5.4389598220420729E-16 OP 
 VMCON_convergence_parameter_____________________________________________ (convergence_parameter)_______      7.0441981435134467E-16 OP 
 Number_of_VMCON_iterations______________________________________________ (nviter)______________________             17 OP 
 bt______________________________________________________________________ (itvar001)____________________      4.7426558152662102E+00    
 bt_(final_value/initial_value)__________________________________________ (xcm001)______________________      9.0508698764622320E-01    
 bt_(range_normalised)___________________________________________________ (nitvar001)___________________      1.7208513539568482E-01    
 rmajor__________________________________________________________________ (itvar002)____________________      2.2555562331358999E+01    
 rmajor_(final_value/initial_value)______________________________________ (xcm002)______________________      1.0178502857111462E+00    
 rmajor_(range_normalised)_______________________________________________ (nitvar002)___________________      8.9372010136343472E-01    
 te______________________________________________________________________ (itvar003)____________________      7.3529782907804861E+00    
 te_(final_value/initial_value)__________________________________________ (xcm003)______________________      1.2216278934674341E+00    
 te_(range_normalised)___________________________________________________ (nitvar003)___________________      3.0588447375888489E-01    
 dene____________________________________________________________________ (itvar004)____________________      1.6359097575846170E+20    
 dene_(final_value/initial_value)________________________________________ (xcm004)______________________      7.8996637029283345E-01    
 dene_(range_normalised)_________________________________________________ (nitvar004)___________________      1.8004075542309327E-02    
 hfact___________________________________________________________________ (itvar005)____________________      1.3000000000000000E+00    
 hfact_(final_value/initial_value)_______________________________________ (xcm005)______________________      1.3000000000000000E+00    
 hfact_(range_normalised)________________________________________________ (nitvar005)___________________      1.0000000000000000E+00    
 fpnetel_________________________________________________________________ (itvar006)____________________      1.0000000000000000E+00    
 fpnetel_(final_value/initial_value)_____________________________________ (xcm006)______________________      1.5698587127158552E+00    
 fpnetel_(range_normalised)______________________________________________ (nitvar006)___________________      1.0000000000000000E+00    
 fiooic__________________________________________________________________ (itvar007)____________________      9.0000000000000002E-01    
 fiooic_(final_value/initial_value)______________________________________ (xcm007)______________________      1.2857142857142856E+00    
 fiooic_(range_normalised)_______________________________________________ (nitvar007)___________________      1.0000000000000000E+00    
 tdmptf__________________________________________________________________ (itvar008)____________________      7.5088976814029289E+00    
 tdmptf_(final_value/initial_value)______________________________________ (xcm008)______________________      3.9027534726626451E-01    
 tdmptf_(range_normalised)_______________________________________________ (nitvar008)___________________      3.7539676105395166E-02    
 fcutfsu_________________________________________________________________ (itvar009)____________________      7.6453864836586727E-01    
 fcutfsu_(final_value/initial_value)_____________________________________ (xcm009)______________________      1.0107730778644179E+00    
 fcutfsu_(range_normalised)______________________________________________ (nitvar009)___________________      7.5899177669560081E-01    
 ralpne__________________________________________________________________ (itvar010)____________________      4.8834662130845925E-02    
 ralpne_(final_value/initial_value)______________________________________ (xcm010)______________________      3.3912959813087445E-01    
 ralpne_(range_normalised)_______________________________________________ (nitvar010)___________________      1.2186712210764172E-01    
 te0_ecrh_achievable_____________________________________________________ (itvar011)____________________      1.4895274881738040E+01    
 te0_ecrh_achievable_(final_value/initial_value)_________________________ (xcm011)______________________      9.5358443062796727E-01    
 te0_ecrh_achievable_(range_normalised)__________________________________ (nitvar011)___________________      3.5146048005606578E-01    
 Global_power_balance_consistency__normalised_residue____________________ (eq_con002)___________________      2.2204460492503131E-16    
 Net_electric_power_lower_limit____normalised_residue____________________ (eq_con016)___________________     -4.4408920985006262E-16    
 Radial_build_consistency__________normalised_residue____________________ (eq_con011)___________________      2.2204460492503131E-16    
 Dump_voltage_upper_limit________________________________________________ (ineq_con034)_________________      1.9927303997762169E-01    
 Dump_time_set_by_VV_stress______________________________________________ (ineq_con065)_________________      4.9670733683581734E+00    
 J_winding_pack/J_protection_limit_______________________________________ (ineq_con035)_________________     -0.0000000000000000E+00    
 toroidalgap_>__tftort___________________________________________________ (ineq_con082)_________________      4.9055964977969668E-01    
 beta_>_betalim_lower____________________________________________________ (ineq_con084)_________________      3.7490874199380606E+00    
 Beta_upper_limit________________________________________________________ (ineq_con024)_________________      1.5799313529463688E-01    
 available_space_>_required_space________________________________________ (ineq_con083)_________________      2.2204460492503131E-16    
 TF_coil_conduit_stress_upper_lim________________________________________ (ineq_con032)_________________      2.5400186654189363E+00    
 Divertor_heat_load_upper_limit__________________________________________ (ineq_con018)_________________      3.2109995378166820E+00    
 Radiation_fraction_upper_limit__________________________________________ (ineq_con017)_________________      5.3332975504199238E+00    
 ECRH_ignitability_______________________________________________________ (ineq_con091)_________________      4.4408920985006262E-16    
 Neutron_wall_load_upper_limit___________________________________________ (ineq_con008)_________________      8.8817841970012523E-16    
 taup/taueff_____________________________________________________________ (ineq_con062)_________________      2.2204460492503131E-16    
 Upper_Lim._on_Radiation_Wall_load_______________________________________ (ineq_con067)_________________      4.4251959779110428E-01    
 # Final Feasible Point #
 # Power Reactor Costs (1990 US$) #
 First_wall_/_blanket_life_(years)_______________________________________ (fwbllife)____________________      6.6666666666666705E+00    
 Divertor_life_(years)___________________________________________________ (divlife.)____________________      3.2752218627463079E+00    
 Cost_of_electricity_(m$/kWh)____________________________________________ (coe)_________________________      9.4165815109499064E+01    
 # Detailed Costings (1990 US$) #
 Acc.22_multiplier_for_Nth_of_a_kind_____________________________________ (fkind)_______________________      1.0000000000000000E+00    
 Level_of_Safety_Assurance_______________________________________________ (lsa)_________________________              2    
 # Structures and Site Facilities #
 Site_improvements,_facilities,_land_(M$)________________________________ (c211)________________________      3.2640000000000001E+01    
 Reactor_building_cost_(M$)______________________________________________ (c212)________________________      7.6185695331577540E+02    
 Turbine_building_cost_(M$)______________________________________________ (c213)________________________      3.1919999999999998E+01    
 Reactor_maintenance_building_cost_(M$)__________________________________ (c2141)_______________________      5.0775640423301169E+01    
 Warm_shop_cost_(M$)_____________________________________________________ (c2142)_______________________      3.5859430925647118E+01    
 Tritium_building_cost_(M$)______________________________________________ (c215)________________________      1.2431999999999999E+01    
 Electrical_equipment_building_cost_(M$)_________________________________ (c216)________________________      1.8862177842009459E+01    
 Additional_buildings_cost_(M$)__________________________________________ (c2171)_______________________      1.5119999999999999E+01    
 Control_room_buildings_cost_(M$)________________________________________ (c2172)_______________________      1.7640000000000001E+01    
 Shop_and_warehouses_cost_(M$)___________________________________________ (c2173)_______________________      9.6599999999999984E+00    
 Cryogenic_building_cost_(M$)____________________________________________ (c2174)_______________________      7.9000186954184031E+00    
 Total_account_21_cost_(M$)______________________________________________ (c21)_________________________      9.9466622120215152E+02    
 # Reactor Systems #
 First_wall_cost_(M$)____________________________________________________ (c2211)_______________________      1.8873389877876940E+02    
 Blanket_beryllium_cost_(M$)_____________________________________________ (c22121)______________________      2.1949962802903335E+02    
 Blanket_breeder_material_cost_(M$)______________________________________ (c22122)______________________      8.1966464361529603E+01    
 Blanket_stainless_steel_cost_(M$)_______________________________________ (c22123)______________________      8.8607670429201505E+01    
 Blanket_vanadium_cost_(M$)______________________________________________ (c22124)______________________      0.0000000000000000E+00    
 Blanket_total_cost_(M$)_________________________________________________ (c2212)_______________________      3.9007376281976445E+02    
 Bulk_shield_cost_(M$)___________________________________________________ (c22131)______________________      3.5627052654277158E+01    
 Penetration_shielding_cost_(M$)_________________________________________ (c22132)______________________      3.5627052654277158E+01    
 Total_shield_cost_(M$)__________________________________________________ (c2213)_______________________      7.1254105308554315E+01    
 Total_support_structure_cost_(M$)_______________________________________ (c2214)_______________________      0.0000000000000000E+00    
 Divertor_cost_(M$)______________________________________________________ (c2215)_______________________      3.8350179588310063E+01    
 Total_account_221_cost_(M$)_____________________________________________ (c221)________________________      6.8841194649539830E+02    
 # Magnets #
 TF_coil_conductor_cost_(M$)_____________________________________________ (c22211)______________________      4.1164075969399124E+02    
 TF_coil_winding_cost_(M$)_______________________________________________ (c22212)______________________      1.7555629959777545E+02    
 TF_coil_case_cost_(M$)__________________________________________________ (c22213)______________________      7.6827571039003402E+01    
 TF_intercoil_structure_cost_(M$)________________________________________ (c22214)______________________      1.1215727428276858E+02    
 TF_coil_gravity_support_structure_(M$)__________________________________ (c22215)______________________      2.2431454856553717E+01    
 TF_magnet_assemblies_cost_(M$)__________________________________________ (c2221)_______________________      7.9861335947009229E+02    
 PF_coil_conductor_cost_(M$)_____________________________________________ (c22221)______________________      0.0000000000000000E+00    
 PF_coil_winding_cost_(M$)_______________________________________________ (c22222)______________________      0.0000000000000000E+00    
 PF_coil_case_cost_(M$)__________________________________________________ (c22223)______________________      0.0000000000000000E+00    
 PF_coil_support_structure_cost_(M$)_____________________________________ (c22224)______________________      0.0000000000000000E+00    
 PF_magnet_assemblies_cost_(M$)__________________________________________ (c2222)_______________________      0.0000000000000000E+00    
 Vacuum_vessel_assembly_cost_(M$)________________________________________ (c2223)_______________________      5.7290912391740869E+02    
