 # PROCESS #
 # Power Reactor Optimisation Code #
 # PROCESS #
 # Power Reactor Optimisation Code #
 PROCESS_version_________________________________________________________ (procver)_____________________     "3.1.0"
 Date_of_run_____________________________________________________________ (date)________________________     "11/02/2025 UTC"
 Time_of_run_____________________________________________________________ (time)________________________     "11:30"
 User____________________________________________________________________ (username)____________________     "runner"
 PROCESS_run_title_______________________________________________________ (runtitle)____________________     "HELIAS_DEMO_6"
 PROCESS_git_tag_________________________________________________________ (tagno)_______________________     ""
 PROCESS_git_branch______________________________________________________ (branch_name)_________________     ""
 Input_filename__________________________________________________________ (fileprefix)__________________     "/home/runner/work/PROCESS/PROCESS/tests/regression/input_files/stellarator.IN.DAT"
 Optimisation_switch_____________________________________________________ (ioptimz)_____________________              1    
 # Numerics #
 VMCON_error_flag________________________________________________________ (ifail)_______________________              1    
 # PROCESS found a feasible solution #
 Number_of_iteration_variables___________________________________________ (nvar)________________________             11    
 Number_of_constraints_(total)___________________________________________ (neqns+nineqns)_______________             17    
 Optimisation_switch_____________________________________________________ (ioptimz)_____________________              1    
 Figure_of_merit_switch__________________________________________________ (minmax)______________________              7    
 Objective_function_name_________________________________________________ (objf_name)___________________     "capital cost"                          
 Normalised_objective_function___________________________________________ (norm_objf)___________________      6.9106239105341150E-01 OP 
 Square_root_of_the_sum_of_squares_of_the_constraint_residuals___________ (sqsumsq)_____________________      2.2204460492503131E-16 OP 
 VMCON_convergence_parameter_____________________________________________ (convergence_parameter)_______      1.9561784292980525E-16 OP 
 Number_of_VMCON_iterations______________________________________________ (nviter)______________________             23 OP 
 bt______________________________________________________________________ (itvar001)____________________      4.7349151218140726E+00    
 bt_(final_value/initial_value)__________________________________________ (xcm001)______________________      9.0360975607138794E-01    
 bt_(range_normalised)___________________________________________________ (nitvar001)___________________      1.7163246326398093E-01    
 rmajor__________________________________________________________________ (itvar002)____________________      2.2541162859189985E+01    
 rmajor_(final_value/initial_value)______________________________________ (xcm002)______________________      1.0172004900356491E+00    
 rmajor_(range_normalised)_______________________________________________ (nitvar002)___________________      8.9309403735608617E-01    
 te______________________________________________________________________ (itvar003)____________________      7.3737478009378590E+00    
 te_(final_value/initial_value)__________________________________________ (xcm003)______________________      1.2250785514101776E+00    
 te_(range_normalised)___________________________________________________ (nitvar003)___________________      3.0707130291073481E-01    
 dene____________________________________________________________________ (itvar004)____________________      1.6318715284092725E+20    
 dene_(final_value/initial_value)________________________________________ (xcm004)______________________      7.8801634509782048E-01    
 dene_(range_normalised)_________________________________________________ (nitvar004)___________________      1.7955635199535445E-02    
 hfact___________________________________________________________________ (itvar005)____________________      1.3000000000000000E+00    
 hfact_(final_value/initial_value)_______________________________________ (xcm005)______________________      1.3000000000000000E+00    
 hfact_(range_normalised)________________________________________________ (nitvar005)___________________      1.0000000000000000E+00    
 fpnetel_________________________________________________________________ (itvar006)____________________      1.0000000000000000E+00    
 fpnetel_(final_value/initial_value)_____________________________________ (xcm006)______________________      1.5698587127158552E+00    
 fpnetel_(range_normalised)______________________________________________ (nitvar006)___________________      1.0000000000000000E+00    
 fiooic__________________________________________________________________ (itvar007)____________________      9.0000000000000002E-01    
 fiooic_(final_value/initial_value)______________________________________ (xcm007)______________________      1.2857142857142856E+00    
 fiooic_(range_normalised)_______________________________________________ (nitvar007)___________________      1.0000000000000000E+00    
 tdmptf__________________________________________________________________ (itvar008)____________________      7.3988081361647273E+00    
 tdmptf_(final_value/initial_value)______________________________________ (xcm008)______________________      3.8455343743059917E-01    
 tdmptf_(range_normalised)_______________________________________________ (nitvar008)___________________      3.6989225626951769E-02    
 fcutfsu_________________________________________________________________ (itvar009)____________________      7.6298345058435046E-01    
 fcutfsu_(final_value/initial_value)_____________________________________ (xcm009)______________________      1.0087169986175786E+00    
 fcutfsu_(range_normalised)______________________________________________ (nitvar009)___________________      7.5725218186168941E-01    
 f_nd_alpha_electron_____________________________________________________ (itvar010)____________________      4.8599439629608242E-02    
 f_nd_alpha_electron_(final_value/initial_value)_________________________ (xcm010)______________________      3.3749610853894607E-01    
 f_nd_alpha_electron_(range_normalised)__________________________________ (nitvar010)___________________      1.2127891880372152E-01    
 te0_ecrh_achievable_____________________________________________________ (itvar011)____________________      1.4880938876458854E+01    
 te0_ecrh_achievable_(final_value/initial_value)_________________________ (xcm011)______________________      9.5266665022175323E-01    
 te0_ecrh_achievable_(range_normalised)__________________________________ (nitvar011)___________________      3.5099802827286619E-01    
 Global_power_balance_consistency__normalised_residue____________________ (eq_con002)___________________     -0.0000000000000000E+00    
 Net_electric_power_lower_limit____normalised_residue____________________ (eq_con016)___________________     -2.2204460492503131E-16    
 Radial_build_consistency__________normalised_residue____________________ (eq_con011)___________________     -0.0000000000000000E+00    
 Dump_voltage_upper_limit________________________________________________ (ineq_con034)_________________      1.9437891257162998E-01    
 Dump_time_set_by_VV_stress______________________________________________ (ineq_con065)_________________      5.0286021884730934E+00    
 J_winding_pack/J_protection_limit_______________________________________ (ineq_con035)_________________      2.2204460492503131E-16    
 toroidalgap_>__tftort___________________________________________________ (ineq_con082)_________________      4.9434033768201457E-01    
 beta_>_beta_min_________________________________________________________ (ineq_con084)_________________      4.2039715854245578E+00    
 Beta_upper_limit________________________________________________________ (ineq_con024)_________________      1.5296555746095586E-01    
 available_space_>_required_space________________________________________ (ineq_con083)_________________     -0.0000000000000000E+00    
 TF_coil_conduit_stress_upper_lim________________________________________ (ineq_con032)_________________      2.5287636382011112E+00    
 Divertor_heat_load_upper_limit__________________________________________ (ineq_con018)_________________      3.1788822833235457E+00    
 Radiation_fraction_upper_limit__________________________________________ (ineq_con017)_________________      5.4118448882373116E+00    
 ECRH_ignitability_______________________________________________________ (ineq_con091)_________________      2.2204460492503131E-16    
 Neutron_wall_load_upper_limit___________________________________________ (ineq_con008)_________________      2.2204460492503131E-16    
 f_alpha_energy_confinement______________________________________________ (ineq_con062)_________________      4.4408920985006262E-16    
