 # PROCESS #
 # Power Reactor Optimisation Code #
 # PROCESS #
 # Power Reactor Optimisation Code #
 PROCESS_version_number__________________________________________________ (procver)_____________________     "3.1.0   R"
 Date_of_run_____________________________________________________________ (date)________________________     "23/05/2024"
 Time_of_run_____________________________________________________________ (time)________________________     "15:25"
 User____________________________________________________________________ (username)____________________     "root"    
 PROCESS_run_title_______________________________________________________ (runtitle)____________________     "HELIAS_DEMO_6                                                                                      
 PROCESS_tag_number______________________________________________________ (tagno)_______________________     ""                                                                                                  
 PROCESS_git_branch_name_________________________________________________ (branch_name)_________________     "main"                                                                                              
 PROCESS_last_commit_message_____________________________________________ (commsg)______________________     "Get ST to run and converge ([hash]3197)"                                                           
 Input_filename__________________________________________________________ (fileprefix)__________________     "/__w/PROCESS/PROCESS/tests/regression/input_files/stellarator.IN.DAT                                                                                                                                                                                                                                                                                                                                            "
 # Numerics #
 VMCON_error_flag________________________________________________________ (ifail)_______________________              1    
 # PROCESS found a feasible solution #
 Number_of_iteration_variables___________________________________________ (nvar)________________________             11    
 Number_of_constraints_(total)___________________________________________ (neqns+nineqns)_______________             17    
 Optimisation_switch_____________________________________________________ (ioptimz)_____________________              1    
 Figure_of_merit_switch__________________________________________________ (minmax)______________________              7    
 Objective_function_name_________________________________________________ (objf_name)___________________     "capital cost"                          
 Normalised_objective_function___________________________________________ (norm_objf)___________________      7.2207150481064819E-01 OP 
 Square_root_of_the_sum_of_squares_of_the_constraint_residuals___________ (sqsumsq)_____________________      9.9654278383530830E-08 OP 
 VMCON_convergence_parameter_____________________________________________ (convergence_parameter)_______      2.7747181163026054E-08 OP 
 Number_of_VMCON_iterations______________________________________________ (nviter)______________________             30 OP 
 bt______________________________________________________________________ (itvar001)____________________      5.2598015215615002E+00    
 bt_(final_value/initial_value)__________________________________________ (xcm001)______________________      7.6118690615940665E-01    
 bt_(range_normalised)___________________________________________________ (nitvar001)___________________      2.0232757436032164E-01    
 rmajor__________________________________________________________________ (itvar002)____________________      2.2871385612346835E+01    
 rmajor_(final_value/initial_value)______________________________________ (xcm002)______________________      1.0396084369248562E+00    
 rmajor_(range_normalised)_______________________________________________ (nitvar002)___________________      9.0745154836290576E-01    
 te______________________________________________________________________ (itvar003)____________________      5.8932793791746985E+00    
 te_(final_value/initial_value)__________________________________________ (xcm003)______________________      6.7850248665803548E-01    
 te_(range_normalised)___________________________________________________ (nitvar003)___________________      2.2247310738141132E-01    
 dene____________________________________________________________________ (itvar004)____________________      2.0445535508428184E+20    
 dene_(final_value/initial_value)________________________________________ (xcm004)______________________      8.0052997292201178E-01    
 dene_(range_normalised)_________________________________________________ (nitvar004)___________________      2.2905938353539476E-02    
 hfact___________________________________________________________________ (itvar005)____________________      1.0866232059720689E+00    
 hfact_(final_value/initial_value)_______________________________________ (xcm005)______________________      1.0866232059720689E+00    
 hfact_(range_normalised)________________________________________________ (nitvar005)___________________      8.2218600497672412E-01    
 fpnetel_________________________________________________________________ (itvar006)____________________      1.0000000000000000E+00    
 fpnetel_(final_value/initial_value)_____________________________________ (xcm006)______________________      1.0000000000000000E+00    
 fpnetel_(range_normalised)______________________________________________ (nitvar006)___________________      1.0000000000000000E+00    
 fiooic__________________________________________________________________ (itvar007)____________________      8.9999999999999991E-01    
 fiooic_(final_value/initial_value)______________________________________ (xcm007)______________________      1.1538461538461537E+00    
 fiooic_(range_normalised)_______________________________________________ (nitvar007)___________________      1.0000000000000000E+00    
 tdmptf__________________________________________________________________ (itvar008)____________________      8.3126534196552289E+00    
 tdmptf_(final_value/initial_value)______________________________________ (xcm008)______________________      4.1563267098276141E-01    
 tdmptf_(range_normalised)_______________________________________________ (nitvar008)___________________      4.1558474890650593E-02    
 fcutfsu_________________________________________________________________ (itvar009)____________________      7.6868031831405859E-01    
 fcutfsu_(final_value/initial_value)_____________________________________ (xcm009)______________________      9.6085039789257320E-01    
 fcutfsu_(range_normalised)______________________________________________ (nitvar009)___________________      7.6362451712981927E-01    
 ralpne__________________________________________________________________ (itvar010)____________________      4.1294044921874232E-02    
 ralpne_(final_value/initial_value)______________________________________ (xcm010)______________________      2.0647022460937114E-01    
 ralpne_(range_normalised)_______________________________________________ (nitvar010)___________________      1.0301086502094080E-01    
 te0_ecrh_achie__________________________________________________________ (itvar011)____________________      1.4825879505857042E+01    
 te0_ecrh_achie_(final_value/initial_value)______________________________ (xcm011)______________________      8.4719311462040237E-01    
 te0_ecrh_achie_(range_normalised)_______________________________________ (nitvar011)___________________      3.4922191954377557E-01    
 Global_power_balance_consistency__normalised_residue____________________ (eq_con002)___________________      2.8251401218426508E-10    
 Net_electric_power_lower_limit____normalised_residue____________________ (eq_con016)___________________     -9.9653877927430301E-08    
 Radial_build_consistency__________normalised_residue____________________ (eq_con011)___________________     -0.0000000000000000E+00    
 Dump_voltage_upper_limit________________________________________________ (ineq_con034)_________________     -3.6260550118072388E-11    
 Dump_time_set_by_VV_stress______________________________________________ (ineq_con065)_________________      5.8117912465424766E+00    
 J_winding_pack/J_protection_limit_______________________________________ (ineq_con035)_________________      1.4250822744088509E-11    
 toroidalgap_>__tftort___________________________________________________ (ineq_con082)_________________      4.1326890026890406E-01    
 beta_>_betalim_lower____________________________________________________ (ineq_con084)_________________      2.8822088623954780E+00    
 Beta_upper_limit________________________________________________________ (ineq_con024)_________________      2.3602493293140014E-09    
 available_space_>_required_space________________________________________ (ineq_con083)_________________      2.7200464103316335E-13    
