# PROCESS #
# Power Reactor Optimisation Code #
# PROCESS #
# Power Reactor Optimisation Code #
PROCESS_version__________________________________________________________ (procver)______________________ "0.0.1.dev1+g808481ec7" 
Date_of_run______________________________________________________________ (date)_________________________ "24/07/2026 UTC" 
Time_of_run______________________________________________________________ (time)_________________________      "14:46" 
User_____________________________________________________________________ (username)_____________________     "runner" 
PROCESS_run_title________________________________________________________ (runtitle)_____________________      "SQuID" 
PROCESS_git_tag__________________________________________________________ (tagno)________________________           "" 
PROCESS_git_branch_______________________________________________________ (branch_name)__________________           "" 
Input_filename___________________________________________________________ (fileprefix)___________________ "/home/runner/work/PROCESS/PROCESS/tests/regression/input_files/stellarator_helias.IN.DAT" 
Optimisation_switch______________________________________________________ (ioptimz)______________________            1 
Figure_of_merit_switch___________________________________________________ (minmax)_______________________            6 
# Numerics #
# PROCESS found a feasible solution #
Error_flag_______________________________________________________________ (ifail)________________________            1 
Number_of_iteration_variables____________________________________________ (nvar)_________________________            8 
Number_of_constraints_(total)____________________________________________ (neqns+nineqns)________________           14 
Optimisation_switch______________________________________________________ (ioptimz)______________________            1 
Figure_of_merit_switch___________________________________________________ (minmax)_______________________            6 
Objective_function_name__________________________________________________ (objf_name)____________________ "Cost of electricity" 
Normalised_objective_function____________________________________________ (norm_objf)____________________ 1.16607270815883890e+00 OP 
Square_root_of_the_sum_of_squares_of_the_constraint_residuals____________ (sqsumsq)______________________ 3.85126346747254979e-09 OP 
VMCON_convergence_parameter______________________________________________ (convergence_parameter)________ 0.00000000000000000e+00 OP 
Number_of_optimising_solver_iterations___________________________________ (nviter)_______________________           46 OP 
b_plasma_toroidal_on_axis________________________________________________ (itvar001)_____________________ 4.70372486374786281e+00 
b_plasma_toroidal_on_axis_(final_value/initial_value)____________________ (xcm001)_______________________ 8.55222702499611409e-01 
b_plasma_toroidal_on_axis_(range_normalised)_____________________________ (nitvar001)____________________ 1.17287477291310421e-01 
b_plasma_toroidal_on_axis_(upper_bound)__________________________________ (boundu001)____________________ 1.00000000000000000e+01 
b_plasma_toroidal_on_axis_(lower_bound)__________________________________ (boundl001)____________________ 4.00000000000000000e+00 
rmajor___________________________________________________________________ (itvar002)_____________________ 2.66943701492494156e+01 
rmajor_(final_value/initial_value)_______________________________________ (xcm002)_______________________ 1.33471850746247078e+00 
rmajor_(range_normalised)________________________________________________ (nitvar002)____________________ 8.34718507462470782e-01 
rmajor_(upper_bound)_____________________________________________________ (boundu002)____________________ 3.00000000000000000e+01 
rmajor_(lower_bound)_____________________________________________________ (boundl002)____________________ 1.00000000000000000e+01 
temp_plasma_electron_vol_avg_kev_________________________________________ (itvar003)_____________________ 5.67320820632884804e+00 
temp_plasma_electron_vol_avg_kev_(final_value/initial_value)_____________ (xcm003)_______________________ 8.10458315189835465e-01 
temp_plasma_electron_vol_avg_kev_(range_normalised)______________________ (nitvar003)____________________ 2.22767350527404040e-01 
temp_plasma_electron_vol_avg_kev_(upper_bound)___________________________ (boundu003)____________________ 1.50000000000000000e+01 
temp_plasma_electron_vol_avg_kev_(lower_bound)___________________________ (boundl003)____________________ 3.00000000000000000e+00 
nd_plasma_electrons_vol_avg______________________________________________ (itvar004)_____________________ 1.74595978482667061e+20 
nd_plasma_electrons_vol_avg_(final_value/initial_value)__________________ (xcm004)_______________________ 8.72979892413335290e-01 
nd_plasma_electrons_vol_avg_(range_normalised)___________________________ (nitvar004)____________________ 5.35540661046915001e-01 
nd_plasma_electrons_vol_avg_(upper_bound)________________________________ (boundu004)____________________ 3.00000000000000000e+20 
nd_plasma_electrons_vol_avg_(lower_bound)________________________________ (boundl004)____________________ 3.00000000000000000e+19 
hfact____________________________________________________________________ (itvar005)_____________________ 1.05558689962520380e+00 
hfact_(final_value/initial_value)________________________________________ (xcm005)_______________________ 1.05558689962520380e+00 
hfact_(range_normalised)_________________________________________________ (nitvar005)____________________ 8.68715363295639920e-01 
hfact_(upper_bound)______________________________________________________ (boundu005)____________________ 1.19999999999999996e+00 
hfact_(lower_bound)______________________________________________________ (boundl005)____________________ 1.00000000000000006e-01 
t_tf_superconductor_quench_______________________________________________ (itvar006)_____________________ 3.53199295045487958e+01 
t_tf_superconductor_quench_(final_value/initial_value)___________________ (xcm006)_______________________ 1.00914084298710849e+00 
t_tf_superconductor_quench_(range_normalised)____________________________ (nitvar006)____________________ 7.00406724582628426e-01 
t_tf_superconductor_quench_(upper_bound)_________________________________ (boundu006)____________________ 5.00000000000000000e+01 
t_tf_superconductor_quench_(lower_bound)_________________________________ (boundl006)____________________ 1.00000000000000000e+00 
f_a_tf_turn_cable_copper_________________________________________________ (itvar007)_____________________ 7.38000512119752594e-01 
f_a_tf_turn_cable_copper_(final_value/initial_value)_____________________ (xcm007)_______________________ 1.05428644588536091e+00 
f_a_tf_turn_cable_copper_(range_normalised)______________________________ (nitvar007)____________________ 7.30000853532920990e-01 
f_a_tf_turn_cable_copper_(upper_bound)___________________________________ (boundu007)____________________ 9.00000000000000022e-01 
f_a_tf_turn_cable_copper_(lower_bound)___________________________________ (boundl007)____________________ 2.99999999999999989e-01 
f_nd_alpha_thermal_electron______________________________________________ (itvar008)_____________________ 3.35904061411726323e-02 
f_nd_alpha_thermal_electron_(final_value/initial_value)__________________ (xcm008)_______________________ 3.35904061411726296e-01 
f_nd_alpha_thermal_electron_(range_normalised)___________________________ (nitvar008)____________________ 8.37469520909543130e-02 
f_nd_alpha_thermal_electron_(upper_bound)________________________________ (boundu008)____________________ 4.00000000000000022e-01 
f_nd_alpha_thermal_electron_(lower_bound)________________________________ (boundl008)____________________ 1.00000000000000005e-04 
Global_power_balance_consistency__normalised_residue_____________________ (eq_con002)____________________ 7.37541361317539668e-10 
Global_power_balance_consistency__residual_______________________________ (res_eq_con002)________________ 1.69844610597991164e-10 
Global_power_balance_consistency__constraint_value_______________________ (val_eq_con002)________________ 2.30284831366940612e-01 
Global_power_balance_consistency__units__________________________________ (eq_units_con002)______________      'MW/m³' 
Net_electric_power_lower_limit____normalised_residue_____________________ (eq_con016)____________________ -3.77998188305639360e-09 
Net_electric_power_lower_limit____residual_______________________________ (res_eq_con016)________________ 3.77998185285832733e-06 
Net_electric_power_lower_limit____constraint_value_______________________ (val_eq_con016)________________ 9.99999996220018147e+02 
Net_electric_power_lower_limit____units__________________________________ (eq_units_con016)______________         'MW' 
⟨β⟩_upper_limit__________________normalised_residue______________________ (ineq_con024)__________________ 4.79484715487643598e-07 
⟨β⟩_upper_limit__________________physical_value__________________________ (ineq_value_con024)____________ 3.99999808206113819e-02 
⟨β⟩_upper_limit__________________symbol__________________________________ (ineq_symbol_con024)___________         '<=' 
⟨β⟩_upper_limit__________________units___________________________________ (ineq_units_con024)____________           '' 
⟨β⟩_upper_limit__________________physical_bound__________________________ (ineq_bound_con024)____________ 4.00000000000000008e-02 
Neutron_wall_load_upper_limit_____normalised_residue_____________________ (ineq_con008)__________________ 4.86761273321070553e-01 
Neutron_wall_load_upper_limit_____physical_value_________________________ (ineq_value_con008)____________ 7.69858090018394114e-01 
Neutron_wall_load_upper_limit_____symbol_________________________________ (ineq_symbol_con008)___________         '<=' 
Neutron_wall_load_upper_limit_____units__________________________________ (ineq_units_con008)____________      'MW/m²' 
Neutron_wall_load_upper_limit_____physical_bound_________________________ (ineq_bound_con008)____________ 1.50000000000000000e+00 
Radiation_fraction_(fᵧ)_upper_limit____normalised_residue________________ (ineq_con017)__________________ 5.10163857212812766e-01 
Radiation_fraction_(fᵧ)_upper_limit____physical_value____________________ (ineq_value_con017)____________ 4.89836142787187234e-01 
Radiation_fraction_(fᵧ)_upper_limit____symbol____________________________ (ineq_symbol_con017)___________         '<=' 
Radiation_fraction_(fᵧ)_upper_limit____units_____________________________ (ineq_units_con017)____________           '' 
Radiation_fraction_(fᵧ)_upper_limit____physical_bound____________________ (ineq_bound_con017)____________ 1.00000000000000000e+00 
Divertor_heat_load_upper_limit____normalised_residue_____________________ (ineq_con018)__________________ 6.81861274710617415e-01 
Divertor_heat_load_upper_limit____physical_value_________________________ (ineq_value_con018)____________ 3.18138725289382585e+00 
Divertor_heat_load_upper_limit____symbol_________________________________ (ineq_symbol_con018)___________         '<=' 
Divertor_heat_load_upper_limit____units__________________________________ (ineq_units_con018)____________      'MW/m²' 
Divertor_heat_load_upper_limit____physical_bound_________________________ (ineq_bound_con018)____________ 1.00000000000000000e+01 
FW_radiation_wall_load_upper_limit_normalised_residue____________________ (ineq_con067)__________________ 5.26003862038457726e-01 
FW_radiation_wall_load_upper_limit_physical_value________________________ (ineq_value_con067)____________ 5.68795365553850685e-01 
FW_radiation_wall_load_upper_limit_symbol________________________________ (ineq_symbol_con067)___________         '<=' 
FW_radiation_wall_load_upper_limit_units_________________________________ (ineq_units_con067)____________      'MW/m²' 
FW_radiation_wall_load_upper_limit_physical_bound________________________ (ineq_bound_con067)____________ 1.19999999999999996e+00 
toroidalgap_>_dx_tf_inboard_out_t_normalised_residue_____________________ (ineq_con082)__________________ 5.66297667628702817e-01 
toroidalgap_>_dx_tf_inboard_out_t_physical_value_________________________ (ineq_value_con082)____________ 1.15510820873917086e+00 
toroidalgap_>_dx_tf_inboard_out_t_symbol_________________________________ (ineq_symbol_con082)___________         '>=' 
toroidalgap_>_dx_tf_inboard_out_t_units__________________________________ (ineq_units_con082)____________          'm' 
toroidalgap_>_dx_tf_inboard_out_t_physical_bound_________________________ (ineq_bound_con082)____________ 7.37476810833759044e-01 
available_space_>_required_space__normalised_residue_____________________ (ineq_con083)__________________ 2.07573580546238645e-09 
available_space_>_required_space__physical_value_________________________ (ineq_value_con083)____________ 2.30648609128791060e+00 
available_space_>_required_space__symbol_________________________________ (ineq_symbol_con083)___________         '>=' 
available_space_>_required_space__units__________________________________ (ineq_units_con083)____________          'm' 
available_space_>_required_space__physical_bound_________________________ (ineq_bound_con083)____________ 2.30648608650025500e+00 
Alpha_to_energy_confinement_ratio_(τ_α/τₑ)_lower_limit________normalised_residue_ (ineq_con062)__________________ 1.19134564609008731e-01 
Alpha_to_energy_confinement_ratio_(τ_α/τₑ)_lower_limit________physical_value_ (ineq_value_con062)____________ 4.47653825843603492e+00 
Alpha_to_energy_confinement_ratio_(τ_α/τₑ)_lower_limit________symbol_____ (ineq_symbol_con062)___________         '>=' 
Alpha_to_energy_confinement_ratio_(τ_α/τₑ)_lower_limit________units______ (ineq_units_con062)____________           '' 
Alpha_to_energy_confinement_ratio_(τ_α/τₑ)_lower_limit________physical_bound_ (ineq_bound_con062)____________ 4.00000000000000000e+00 
TF_coil_conduit_stress_upper_limit__normalised_residue___________________ (ineq_con032)__________________ 6.88401767149957822e-01 
TF_coil_conduit_stress_upper_limit__physical_value_______________________ (ineq_value_con032)____________ 1.24639293140016839e+08 
TF_coil_conduit_stress_upper_limit__symbol_______________________________ (ineq_symbol_con032)___________         '<=' 
TF_coil_conduit_stress_upper_limit__units________________________________ (ineq_units_con032)____________         'Pa' 
TF_coil_conduit_stress_upper_limit__physical_bound_______________________ (ineq_bound_con032)____________ 4.00000000000000000e+08 
TF_quench_dump_voltage_upper_limit__________normalised_residue___________ (ineq_con034)__________________ 8.60231443171372234e-01 
TF_quench_dump_voltage_upper_limit__________physical_value_______________ (ineq_value_con034)____________ 1.67722268194353297e+00 
TF_quench_dump_voltage_upper_limit__________symbol_______________________ (ineq_symbol_con034)___________         '<=' 
TF_quench_dump_voltage_upper_limit__________units________________________ (ineq_units_con034)____________          'V' 
TF_quench_dump_voltage_upper_limit__________physical_bound_______________ (ineq_bound_con034)____________ 1.20000000000000000e+01 
TF_quench_hotspot_current_density_upper_limit__________normalised_residue_ (ineq_con035)__________________ 1.93691651717564639e-07 
TF_quench_hotspot_current_density_upper_limit__________physical_value____ (ineq_value_con035)____________ 3.06203922707889453e+07 
TF_quench_hotspot_current_density_upper_limit__________symbol____________ (ineq_symbol_con035)___________         '<=' 
TF_quench_hotspot_current_density_upper_limit__________units_____________ (ineq_units_con035)____________       'A/m²' 
TF_quench_hotspot_current_density_upper_limit__________physical_bound____ (ineq_bound_con035)____________ 3.06203982017044500e+07 
