 # PROCESS #
 # Power Reactor Optimisation Code #
 # PROCESS #
 # Power Reactor Optimisation Code #
 PROCESS_version_________________________________________________________ (procver)_____________________     "3.1.0"
 Date_of_run_____________________________________________________________ (date)________________________     "17/02/2025 UTC"
 Time_of_run_____________________________________________________________ (time)________________________     "17:26"
 User____________________________________________________________________ (username)____________________     "runner"
 PROCESS_run_title_______________________________________________________ (runtitle)____________________     "helias_demo_6"
 PROCESS_git_tag_________________________________________________________ (tagno)_______________________     ""
 PROCESS_git_branch______________________________________________________ (branch_name)_________________     ""
 Input_filename__________________________________________________________ (fileprefix)__________________     "/home/runner/work/PROCESS/PROCESS/tests/regression/input_files/stellarator_helias_once_through.IN.DAT"
 Optimisation_switch_____________________________________________________ (ioptimz)_____________________             -2    
 Figure_of_merit_switch__________________________________________________ (minmax)______________________              7    
 # Final UNFEASIBLE Point #
 # Numerics #
 Normalised_objective_function___________________________________________ (norm_objf)___________________      6.9089153590020191E-01    
 Global_power_balance_consistency_normalised_residue_____________________ (eq_con002)___________________      9.8880606076212629E-05    
 Net_electric_power_lower_limit_normalised_residue_______________________ (eq_con016)___________________     -2.9407649837897010E-03    
 Radial_build_consistency_normalised_residue_____________________________ (eq_con011)___________________     -0.0000000000000000E+00    
 Dump_voltage_upper_limit________________________________________________ (ineq_con034)_________________      1.9470746123334104E-01    
 Dump_time_set_by_VV_stress______________________________________________ (ineq_con065)_________________      5.0265998090850461E+00    
 J_winding_pack/J_protection_limit_______________________________________ (ineq_con035)_________________      1.5543122344752192E-15    
 toroidalgap_>__tftort___________________________________________________ (ineq_con082)_________________      4.9434862107677380E-01    
 beta_>_beta_min_________________________________________________________ (ineq_con084)_________________      4.2047922622288860E+00    
 Beta_upper_limit________________________________________________________ (ineq_con024)_________________      1.5278376113911918E-01    
 available_space_>_required_space________________________________________ (ineq_con083)_________________     -0.0000000000000000E+00    
 TF_coil_conduit_stress_upper_lim________________________________________ (ineq_con032)_________________      2.5292377526130534E+00    
 Divertor_heat_load_upper_limit__________________________________________ (ineq_con018)_________________      3.1787460996395414E+00    
 Radiation_fraction_upper_limit__________________________________________ (ineq_con017)_________________      5.4130248303969175E+00    
 ECRH_ignitability_______________________________________________________ (ineq_con091)_________________     -1.1024627138545018E-04    
 Neutron_wall_load_upper_limit___________________________________________ (ineq_con008)_________________      4.4408920985006262E-16    
 f_alpha_energy_confinement______________________________________________ (ineq_con062)_________________      2.2204460492503131E-16    
 Upper_Lim._on_Radiation_Wall_load_______________________________________ (ineq_con067)_________________      4.3126438542673440E-01    
 # Power Reactor Costs (1990 US$) #
 First_wall_/_blanket_life_(years)_______________________________________ (bktlife_cal)_________________      5.0000000000000018E+00    
 Divertor_life_(years)___________________________________________________ (divlife_cal)_________________      2.4376018914563988E+00    
 Cost_of_electricity_(m$/kWh)____________________________________________ (coe)_________________________      9.3279747808322796E+01    
 # Detailed Costings (1990 US$) #
 Acc.22_multiplier_for_Nth_of_a_kind_____________________________________ (fkind)_______________________      1.0000000000000000E+00    
 Level_of_Safety_Assurance_______________________________________________ (lsa)_________________________              2    
 # Structures and Site Facilities #
 Site_improvements,_facilities,_land_(M$)________________________________ (c211)________________________      3.2640000000000001E+01    
 Reactor_building_cost_(M$)______________________________________________ (c212)________________________      7.6063326331274664E+02    
 Turbine_building_cost_(M$)______________________________________________ (c213)________________________      3.1919999999999998E+01    
 Reactor_maintenance_building_cost_(M$)__________________________________ (c2141)_______________________      5.0745969632400438E+01    
 Warm_shop_cost_(M$)_____________________________________________________ (c2142)_______________________      3.5845893443456106E+01    
 Tritium_building_cost_(M$)______________________________________________ (c215)________________________      1.2431999999999999E+01    
 Electrical_equipment_building_cost_(M$)_________________________________ (c216)________________________      1.8686907880981632E+01    
 Additional_buildings_cost_(M$)__________________________________________ (c2171)_______________________      1.5119999999999999E+01    
 Control_room_buildings_cost_(M$)________________________________________ (c2172)_______________________      1.7640000000000001E+01    
 Shop_and_warehouses_cost_(M$)___________________________________________ (c2173)_______________________      9.6599999999999984E+00    
 Cryogenic_building_cost_(M$)____________________________________________ (c2174)_______________________      7.9025527014462167E+00    
 Total_account_21_cost_(M$)______________________________________________ (c21)_________________________      9.9322658697103088E+02    
 # Reactor Systems #
 First_wall_cost_(M$)____________________________________________________ (c2211)_______________________      1.8849288545279134E+02    
 Blanket_beryllium_cost_(M$)_____________________________________________ (c22121)______________________      2.1920886600898530E+02    
 Blanket_breeder_material_cost_(M$)______________________________________ (c22122)______________________      8.1857886798241879E+01    
 Blanket_stainless_steel_cost_(M$)_______________________________________ (c22123)______________________      8.8490295536692159E+01    
 Blanket_vanadium_cost_(M$)______________________________________________ (c22124)______________________      0.0000000000000000E+00    
 Blanket_total_cost_(M$)_________________________________________________ (c2212)_______________________      3.8955704834391935E+02    
 Bulk_shield_cost_(M$)___________________________________________________ (c22131)______________________      3.5588362121234262E+01    
 Penetration_shielding_cost_(M$)_________________________________________ (c22132)______________________      3.5588362121234262E+01    
 Total_shield_cost_(M$)__________________________________________________ (c2213)_______________________      7.1176724242468524E+01    
 Total_support_structure_cost_(M$)_______________________________________ (c2214)_______________________      0.0000000000000000E+00    
 Divertor_cost_(M$)______________________________________________________ (c2215)_______________________      3.8408886681324859E+01    
 Total_account_221_cost_(M$)_____________________________________________ (c221)________________________      6.8763554472050396E+02    
 # Magnets #
 TF_coil_conductor_cost_(M$)_____________________________________________ (c22211)______________________      4.0994813663744810E+02    
 TF_coil_winding_cost_(M$)_______________________________________________ (c22212)______________________      1.7408313644375147E+02    
 TF_coil_case_cost_(M$)__________________________________________________ (c22213)______________________      7.6511794785441992E+01    
 TF_intercoil_structure_cost_(M$)________________________________________ (c22214)______________________      1.1171685149671443E+02    
 TF_coil_gravity_support_structure_(M$)__________________________________ (c22215)______________________      2.2343370299342887E+01    
 TF_magnet_assemblies_cost_(M$)__________________________________________ (c2221)_______________________      7.9460328966269878E+02    
 PF_coil_conductor_cost_(M$)_____________________________________________ (c22221)______________________      0.0000000000000000E+00    
 PF_coil_winding_cost_(M$)_______________________________________________ (c22222)______________________      0.0000000000000000E+00    
 PF_coil_case_cost_(M$)__________________________________________________ (c22223)______________________      0.0000000000000000E+00    
 PF_coil_support_structure_cost_(M$)_____________________________________ (c22224)______________________      0.0000000000000000E+00    
 PF_magnet_assemblies_cost_(M$)__________________________________________ (c2222)_______________________      0.0000000000000000E+00    
 Vacuum_vessel_assembly_cost_(M$)________________________________________ (c2223)_______________________      5.7230505254339096E+02    
 Total_account_222_cost_(M$)_____________________________________________ (c222)________________________      1.3669083422060899E+03    
 # Power Injection #
 ECH_system_cost_(M$)____________________________________________________ (c2231)_______________________      0.0000000000000000E+00    
 Lower_hybrid_system_cost_(M$)___________________________________________ (c2232)_______________________      0.0000000000000000E+00    
 Neutral_beam_system_cost_(M$)___________________________________________ (c2233)_______________________      0.0000000000000000E+00    
 Total_account_223_cost_(M$)_____________________________________________ (c223)________________________      0.0000000000000000E+00    
 # Vacuum Systems #
 High_vacuum_pumps_cost_(M$)_____________________________________________ (c2241)_______________________      3.9000000000000000E+01    
 Backing_pumps_cost_(M$)_________________________________________________ (c2242)_______________________      1.4624999999999998E+01    
 Vacuum_duct_cost_(M$)___________________________________________________ (c2243)_______________________      6.0611870837696413E+00    
 Valves_cost_(M$)________________________________________________________ (c2244)_______________________      1.6116405855185686E+01    
